stock_code,marcap_name,corp_code,dart_name,mapping_method,first_date,last_date
001290,상상인증권,00112059,상상인증권,stock_code,1998-10-20,2026-08-18
001300,제일모직,00148328,제일모직,stock_code,1998-10-20,2014-07-14
001310,풍림산업,00155498,풍림산업,stock_code,1998-10-20,2012-05-17
001340,PKC,00122472,PKC,stock_code,1998-10-20,2026-08-18
001360,삼성제약,00126414,삼성제약,stock_code,1998-10-20,2026-08-18
001370,FnC코오롱,00152914,FnC코오롱,stock_code,1998-10-20,2009-08-14
001375,FnC코오롱우,,,unmatched,1998-10-20,2009-08-14
001380,SG글로벌,00152039,SG글로벌,stock_code,1998-10-20,2026-08-18
001385,SG충남방적우,,,unmatched,1998-10-20,2013-12-06
001390,KG케미칼,00101220,KG케미칼,stock_code,1998-10-20,2026-08-18
001400,동산씨앤지,00115816,동산씨앤지,normalized_name_unique,1998-10-20,2001-04-23
001420,태원물산,00154055,태원물산,stock_code,1998-10-20,2026-08-18
001430,세아베스틸지주,00106669,세아베스틸지주,stock_code,1998-10-20,2026-08-18
001440,대한전선,00113207,대한전선,stock_code,1998-10-20,2026-08-18
001450,현대해상,00164973,현대해상,stock_code,1998-10-20,2026-08-18
001460,BYC,00122579,BYC,stock_code,1998-10-20,2026-08-18
001465,BYC우,,,unmatched,1998-10-20,2026-08-18
001470,삼부토건,00125974,삼부토건,stock_code,1998-10-20,2026-08-18
001490,천지산업,00151447,천지산업,stock_code,1998-10-20,2004-10-21
001500,현대차증권,00137997,현대차증권,stock_code,1998-10-20,2026-08-18
001510,SK증권,00131850,SK증권,stock_code,1998-10-20,2026-08-18
001515,SK증권우,,,unmatched,1998-10-20,2026-08-18
001520,동양,00117337,동양,stock_code,1998-10-20,2026-08-18
001525,동양우,,,unmatched,1998-10-20,2026-08-18
001530,DI동일,00118345,디아이동일,stock_code,1998-10-20,2026-08-18
001550,조비,00148948,조비,stock_code,1998-10-20,2026-08-18
001570,금양,00106119,금양,stock_code,1998-10-20,2026-08-18
001580,신광기업,00135670,신광기업,stock_code,1998-10-20,2005-08-04
001590,일화모직,00146719,일화모직공업,stock_code,1998-10-20,2004-09-01
001600,서광건설,00173397,서광건설산업,stock_code,1998-10-20,2010-04-14
001620,케이비아이동국실업,00114765,케이비아이동국실업,stock_code,1998-10-20,2026-08-18
001630,종근당홀딩스,00149354,종근당홀딩스,stock_code,1998-10-20,2026-08-18
001670,경남모직,00101275,경남모직,stock_code,1998-10-20,2005-04-27
001675,경남모직(1우),,,unmatched,1998-10-20,2005-04-27
001680,대상,00121941,대상,stock_code,1998-10-20,2026-08-18
001685,대상우,,,unmatched,1998-10-20,2026-08-18
001690,두산테크팩,00119511,두산테크팩,normalized_name_unique,1998-10-20,2002-01-17
001695,두산테크팩(1우),,,unmatched,1998-10-20,2002-01-17
001720,신영증권,00136721,신영증권,stock_code,1998-10-20,2026-08-18
001725,신영증권우,,,unmatched,1998-10-20,2024-04-25
001740,SK네트웍스,00131780,SK네트웍스,stock_code,1998-10-20,2026-08-18
001745,SK네트웍스우,,,unmatched,1998-10-20,2023-07-14
001750,한양증권,00162416,한양증권,stock_code,1998-10-20,2026-08-18
001755,한양증권우,,,unmatched,1998-10-20,2026-08-18
001770,SHD,00137809,SHD,stock_code,1998-10-20,2026-08-18
001780,알루코,00117027,알루코,stock_code,1998-10-20,2026-08-18
001785,동양강철(1우),,,unmatched,1998-10-20,2002-04-26
001787,동양강철(2우B),,,unmatched,1998-10-20,2002-04-26
001790,대한제당,00113234,대한제당,stock_code,1998-10-20,2026-08-18
001795,대한제당우,,,unmatched,1998-10-20,2026-08-18
001800,오리온홀딩스,00117577,오리온홀딩스,stock_code,1998-10-20,2026-08-18
001820,삼화콘덴서,00129350,삼화콘덴서공업,stock_code,1998-10-20,2026-08-18
001830,동부일렉트로닉스,00138491,동부일렉트로닉스,stock_code,1998-10-20,2007-05-18
001835,동부일렉트로닉스(1우B),,,unmatched,1998-10-20,2007-05-18
001837,동부일렉트로닉스(2우B),,,unmatched,1998-10-20,2007-05-18
001840,이화공영,00145668,이화공영,stock_code,1998-10-20,2026-08-18
001880,DL건설,00128971,디엘건설,stock_code,1998-10-20,2024-02-29
001890,영창악기,00141282,아이파크영창,stock_code,1998-10-20,2004-10-25
001920,한보철강,,,unmatched,1998-10-20,2002-04-18
001940,KISCO홀딩스,00159740,KISCO홀딩스,stock_code,1998-10-20,2026-08-18
001950,남한제지,00107923,남한제지,stock_code,1998-10-20,2009-10-14
001955,남한제지우,,,unmatched,1998-10-20,2009-10-14
001970,신성건설,00173661,에스지신성건설,stock_code,1998-10-20,2009-05-12
001975,신성건설우,,,unmatched,1998-10-20,2009-05-12
001980,대호,00113696,대호,stock_code,1998-10-20,2004-05-21
002000,한국유리,00159005,생고뱅코리아홀딩스,stock_code,1998-10-20,2018-12-12
002005,한국유리우,,,unmatched,1998-10-20,2018-12-12
002020,코오롱,00152862,코오롱,stock_code,1998-10-20,2026-08-18
002025,코오롱우,,,unmatched,1998-10-20,2026-08-18
002030,아세아,00138701,아세아,stock_code,1998-10-20,2026-08-18
002050,경향건설,,,unmatched,1998-10-20,2003-05-09
002055,경향건설(1우),,,unmatched,1998-10-20,2003-05-09
002070,비비안,00107677,비비안,stock_code,1998-10-20,2026-08-18
002100,경농,00101433,경농,stock_code,1998-10-20,2026-08-18
002105,경농(1우),,,unmatched,1998-10-20,2005-03-25
002130,피어리스,00155902,피어리스,normalized_name_unique,1998-10-20,2001-12-04
002140,고려산업,00102751,고려산업,stock_code,1998-10-20,2026-08-18
002170,SYTS,00127042,SYTS,stock_code,1998-10-20,2026-08-18
002180,삼익건설,00127796,삼익건설,normalized_name_unique,1998-10-20,2002-03-28
002200,한국수출포장,00158112,한국수출포장공업,stock_code,1998-10-20,2026-08-18
002210,동성제약,00116268,동성제약,stock_code,1998-10-20,2026-08-18
002220,한일철강,00163196,한일철강,stock_code,1998-10-20,2026-08-18
002230,피에스텍,00155638,피에스텍,stock_code,1998-10-20,2026-08-18
002240,고려제강,00103006,고려제강,stock_code,1998-10-20,2026-08-18
002250,알보젠코리아,00105244,알보젠코리아,stock_code,1998-10-20,2019-05-17
002270,롯데푸드,00120508,롯데푸드,stock_code,1998-10-20,2022-07-19
002290,삼일기업공사,00127936,삼일기업공사,stock_code,1998-10-20,2026-08-18
002300,한국제지,00159412,한국제지,stock_code,1998-10-20,2020-07-10
002310,아세아제지,00138729,아세아제지,stock_code,1998-10-20,2026-08-18
002320,한진,00163512,한진,stock_code,1998-10-20,2026-08-18
002350,넥센타이어,00173874,넥센타이어,stock_code,1998-10-20,2026-08-18
002360,SH에너지화학,00136457,SH에너지화학,stock_code,1998-10-20,2026-08-18
002365,SH에너지화학우,,,unmatched,1998-10-20,2014-07-14
002380,KCC,00105271,케이씨씨,stock_code,1998-10-20,2026-08-18
002390,한독,00161046,한독,stock_code,1998-10-20,2026-08-18
002410,범양건영,00122694,범양건영,stock_code,1998-10-20,2026-08-18
002420,세기상사,00133618,세기상사,stock_code,1998-10-20,2026-08-18
002450,삼익악기,00127857,삼익악기,stock_code,1998-10-20,2026-08-18
002460,HS화성,00174527,HS화성,stock_code,1998-10-20,2026-08-18
002470,동성,,,unmatched,1998-10-20,2002-04-19
002480,범양사,00122728,범양사,stock_code,1998-10-20,2005-05-03
002530,벽산건설,00122922,벽산건설,stock_code,1998-10-20,2014-04-24
002535,벽산건설우,,,unmatched,1998-10-20,2014-04-24
002540,고제,00103325,고제,stock_code,1998-10-20,2010-04-22
002550,KB손해보험,00120216,KB손해보험,stock_code,1998-10-20,2017-07-20
002580,삼미,,,unmatched,1998-10-20,2002-04-19
002585,삼미(1우),,,unmatched,1998-10-20,2002-04-19
002600,조흥,00149345,조흥,stock_code,1998-10-20,2026-08-18
002610,LGEI,00105846,LGEI,normalized_name_unique,1998-10-20,2003-03-10
002615,LGEI(1우),,,unmatched,1998-10-20,2003-03-10
002620,제일파마홀딩스,00148443,제일파마홀딩스,stock_code,1998-10-20,2026-08-18
002630,오리엔트바이오,00141626,오리엔트바이오,stock_code,1998-10-20,2026-08-18
002670,미주제강,00115472,미주제강,stock_code,1998-10-20,2012-04-16
002680,한탑,00140566,한탑,stock_code,1998-10-20,2026-08-18
002700,신일전자,00173698,신일전자,stock_code,1998-10-20,2026-08-18
002710,TCC스틸,00117300,TCC스틸,stock_code,1998-10-20,2026-08-18
002720,국제약품,00104722,국제약품,stock_code,1998-10-20,2026-08-18
002740,동양화학,00169020,동양화학,normalized_name_unique,1998-10-20,2001-05-17
002745,동양화학(1우),,,unmatched,1998-10-20,2001-05-17
002760,보락,00123107,보락,stock_code,1998-10-20,2026-08-18
002780,진흥기업,00150828,진흥기업,stock_code,1998-10-20,2026-08-18
002790,아모레퍼시픽홀딩스,00154462,아모레퍼시픽홀딩스,stock_code,1998-10-20,2026-08-18
002795,아모레퍼시픽홀딩스우,,,unmatched,1998-10-20,2026-08-18
002810,삼영무역,00127167,삼영무역,stock_code,1998-10-20,2026-08-18
002820,SUN&L,00132211,SUN&L,stock_code,1998-10-20,2026-08-18
002840,미원상사,00121932,미원상사,stock_code,1998-10-20,2026-08-18
002850,영풍산업,00141334,영풍산업,stock_code,1998-10-20,2004-04-22
002855,영풍산업(1우),,,unmatched,1998-10-20,2004-04-22
002860,하나은행,00130897,하나은행,stock_code,1998-10-20,2005-12-09
002870,신풍,00137368,신풍,stock_code,1998-10-20,2026-08-18
002880,디와이에이,00149804,디와이에이,stock_code,1998-10-20,2026-08-18
002900,TYM,00117230,TYM,stock_code,1998-10-20,2026-08-18
002920,유성기업,00174004,유성기업,stock_code,1998-10-20,2026-08-18
002930,삼도물산,00125406,삼도물산,stock_code,1998-10-20,2004-05-07
002950,두산건설,00115852,두산건설,stock_code,1998-10-20,2004-05-07
002955,두산건설(1우),,,unmatched,1998-10-20,2004-05-07
002960,한국쉘석유,00158149,한국쉘석유,stock_code,1998-10-20,2026-08-18
002990,금호건설,00106313,금호건설,stock_code,1998-10-20,2026-08-18
002995,금호건설우,,,unmatched,1998-10-20,2026-08-18
003000,부광약품,00123718,부광약품,stock_code,1998-10-20,2026-08-18
003010,혜인,00165343,혜인,stock_code,1998-10-20,2026-08-18
003020,남양,00107446,남양,stock_code,1998-10-20,2004-05-27
003030,세아제강지주,00124197,세아제강지주,stock_code,1998-10-20,2026-08-18
003040,한일약품,00163044,한일약품공업,stock_code,1998-10-20,2006-11-20
003050,넥상스코리아,00110547,링세오코리아,stock_code,1998-10-20,2004-12-21
003060,에이프로젠바이오로직스,00101044,에이프로젠바이오로직스,stock_code,1998-10-20,2026-08-18
003070,코오롱글로벌,00152880,코오롱글로벌,stock_code,1998-10-20,2026-08-18
003075,코오롱글로벌우,,,unmatched,1998-10-20,2026-08-18
