,닻과 돛(해자기업),닻과 돛(NASDAQ 40%),S&P500 100%
2020-11-25,571263.8146345577,103361.63418919194,100910.50286934241
2020-11-27,572540.3888917402,103260.27242904526,101152.3832455955
2020-11-30,569812.8260816549,102947.16085102854,100687.53254832115
2020-12-01,579659.9772039036,104368.6947948409,101822.40057585339
2020-12-02,582012.8766967914,104549.21632643044,102004.78147466136
2020-12-03,581942.8912346177,104822.20342317442,101941.11445453412
2020-12-04,588889.4329052549,105337.16892429629,102841.89418887363
2020-12-07,593220.2041810771,105840.0358303071,102642.82954427968
2020-12-08,591151.8270610505,106220.46068696183,102928.9103080667
2020-12-09,581613.1063646355,104836.9085056257,102110.70764908622
2020-12-10,582383.2740980305,105137.13197067237,101979.4843548304
2020-12-11,581810.5385326454,104990.17352424844,101850.48058249158
2020-12-14,582018.5685270145,105042.8307628968,101406.48796121415
2020-12-15,587837.0246292518,105968.9709385234,102716.78645806498
2020-12-16,587372.3017070838,106232.72614605917,102898.8822806634
2020-12-17,591072.6516372643,107303.16487460927,103491.33851934414
2020-12-18,589450.0770817813,107080.47878829719,103127.96816513185
2020-12-21,589862.2577686112,107034.73576225899,102725.12154342917
2020-12-22,588673.2245886372,107235.43809506987,102512.16282738525
2020-12-23,586435.109228688,107058.82683357985,102588.61755176833
2020-12-24,589381.8470418605,107187.49758036347,102951.43132861916
2020-12-28,589687.7650613976,107549.96997872411,103849.42817615143
2020-12-29,589535.268266303,107349.889892059,103618.11598223716
2020-12-30,594797.570514446,107652.8089745481,103757.12457202454
2020-12-31,594446.3352089102,107722.79371831365,104425.20066904616
2021-01-04,602502.4189114098,107943.52841760735,102884.42484432324
2021-01-05,605284.8454081477,108305.87323664411,103613.11357351289
2021-01-06,599981.332504573,107900.17548142165,104204.72815862263
2021-01-07,608517.5253732224,108813.59479562502,105751.89783547347
2021-01-08,603111.2633211165,108317.77694950753,106332.6727370925
2021-01-11,603804.5696427654,107494.28076866886,105635.6885549193
2021-01-12,602896.6125817193,107516.77140902128,105679.61065377253
2021-01-13,603075.0359026741,108002.33460627968,105920.09958662197
2021-01-14,606972.3695125303,107661.98794058485,105522.53366232432
2021-01-15,602311.5721794941,107228.14169912321,104763.82369326017
2021-01-19,610584.4331828478,107832.35944153195,105616.22192232605
