Year,Strategy,Annual_Return,Annual_MDD,Year_End_NAV
2005,닻과 돛(해자기업),0.2833740033023875,-0.07398575897900606,76115.17272715451
2005,닻과 돛(NASDAQ 40%),0.06803871942284978,-0.05489340870041126,30571.31075203904
2005,S&P500 100%,0.030010226581274058,-0.07166354179327195,34704.607595143025
2006,닻과 돛(해자기업),0.24031929427838228,-0.13429195279968464,94407.11732082145
2006,닻과 돛(NASDAQ 40%),0.12215256017351273,-0.103868783198239,34305.67462826065
2006,S&P500 100%,0.13619431738260723,-0.0769898530710843,39431.17793659477
2007,닻과 돛(해자기업),0.21227595733331328,-0.07516922230097478,114447.47852917724
2007,닻과 돛(NASDAQ 40%),0.14816200300296356,-0.050142910823254616,39388.47209555169
2007,S&P500 100%,0.03529573066347913,-0.10090409944571299,40822.93017278854
2008,닻과 돛(해자기업),-0.17561979194660804,-0.2759465208977504,94348.23616106925
2008,닻과 돛(NASDAQ 40%),-0.14668885588592262,-0.2394522102140747,33610.62218876062
2008,S&P500 100%,-0.38485793060906726,-0.48756435073974513,25111.90174509069
2009,닻과 돛(해자기업),0.43413186900436695,-0.06942473716054165,135307.81226293964
2009,닻과 돛(NASDAQ 40%),0.24414450926790687,-0.07516478332752274,41816.47104922461
2009,S&P500 100%,0.23454190488340587,-0.27620624750026546,31001.695015629182
2010,닻과 돛(해자기업),0.092186486806904,-0.0891684417475388,147781.36411298817
2010,닻과 돛(NASDAQ 40%),0.1557042654921954,-0.06532768609579487,48327.47395941978
2010,S&P500 100%,0.12782713853760153,-0.15994677274011782,34964.552979292486
2011,닻과 돛(해자기업),0.0429139610511704,-0.08182964738014031,154123.2478166218
2011,닻과 돛(NASDAQ 40%),0.02006961255731121,-0.06878455895751567,49297.38763765889
2011,S&P500 100%,-3.183666393891116e-05,-0.19388242072358508,34963.43982456951
2012,닻과 돛(해자기업),0.1037800979542376,-0.07986537583814524,170118.17357205602
2012,닻과 돛(NASDAQ 40%),0.08928060189349751,-0.06649489277221765,53698.68807772614
2012,S&P500 100%,0.13405690926620917,-0.09936294686452485,39650.53050476639
2013,닻과 돛(해자기업),0.061888688903367406,-0.06641303418711275,180646.56429306607
2013,닻과 돛(NASDAQ 40%),0.07076896691576806,-0.05702387062692427,57498.88875771889
2013,S&P500 100%,0.29601249573324084,-0.057555936154791154,51387.58299662929
2014,닻과 돛(해자기업),0.06821971973728447,-0.06282823926068393,192970.22228064237
2014,닻과 돛(NASDAQ 40%),0.05195973622938199,-0.04662089709354389,60486.515851052536
2014,S&P500 100%,0.11390633786748161,-0.07401459519995723,57240.95438763659
2015,닻과 돛(해자기업),0.06435197338324783,-0.06429404615651602,205388.2368886057
2015,닻과 돛(NASDAQ 40%),-0.013504639688509013,-0.06792562335863084,59669.66724847078
2015,S&P500 100%,-0.007265997205823771,-0.1235252506376443,56825.04177299734
2016,닻과 돛(해자기업),0.3144590731332033,-0.03996395917117679,269974.43149305944
2016,닻과 돛(NASDAQ 40%),0.054416960057394714,-0.050690099174185654,62916.70914776885
2016,S&P500 100%,0.09535022667283721,-0.10512049840551418,62243.32238674608
2017,닻과 돛(해자기업),0.24844242143298034,-0.05220824515258338,337047.5329781874
2017,닻과 돛(NASDAQ 40%),0.15351982629374095,-0.029333579383873376,72575.67140710815
2017,S&P500 100%,0.19419965523287863,-0.02796791718481173,74330.95413480108
2018,닻과 돛(해자기업),-0.03897981268986239,-0.1396808941753318,323909.4832751174
2018,닻과 돛(NASDAQ 40%),-0.011712742518890873,-0.09226662062891344,71725.61125478106
