,닻과돛_해자기업형,닻과돛_NASDAQ프록시,S&P500_100
2018-04-24,-0.051170260038941984,-0.03160039392990044,-0.08295190832610755
2018-04-25,-0.05737170230983746,-0.03336990060601541,-0.08126723635954525
2018-04-26,-0.04966194755051945,-0.02724416588177825,-0.07168099057080035
2018-04-27,-0.051162531945861955,-0.026992036121133878,-0.0706471914145641
2018-04-30,-0.05579862031423122,-0.03172073025751421,-0.07825625913762935
2018-05-01,-0.051426837604046316,-0.029506549473054422,-0.07590669242397374
2018-05-02,-0.05697364524034543,-0.03176932312857683,-0.0825655827227989
2018-05-03,-0.04940995167320661,-0.030066226556967335,-0.08463318103527162
2018-05-04,-0.04302460254323548,-0.024616712340451596,-0.07290625289999209
2018-05-07,-0.03838633082660603,-0.021516557605342213,-0.06970041324772258
2018-05-08,-0.03711200415561433,-0.02202562490933413,-0.06994753926057373
2018-05-09,-0.02782946711446499,-0.016399350680866287,-0.060942566486925975
2018-05-10,-0.020666277588766824,-0.011716729827125572,-0.052142993841566065
2018-05-11,-0.023159979587702995,-0.010594372965094245,-0.05052443743139934
2018-05-14,-0.02165101218667964,-0.011076088129576278,-0.04968558568695147
2018-05-15,-0.035982607664921784,-0.019816193939989013,-0.05618777021971855
2018-05-16,-0.03394474602921149,-0.018060632137804955,-0.05235536244752048
2018-05-17,-0.03590926463516497,-0.019301405540936845,-0.05316642526273785
2018-05-18,-0.04189700290579368,-0.021097443135399963,-0.05565867580568429
2018-05-21,-0.03625401781281046,-0.018858311635079228,-0.04868305969877884
2018-05-22,-0.03631165091373134,-0.01866461488000193,-0.05166616301002935
2018-05-23,-0.035111219773902635,-0.016929396697830112,-0.04858558599288465
2018-05-24,-0.032215252719816734,-0.01350751340937939,-0.050510500476066644
2018-05-25,-0.03165053897550041,-0.013271832022451968,-0.052748656528495474
2018-05-29,-0.04053477184735155,-0.017022885192660597,-0.0637028484757226
2018-05-30,-0.035319216978005,-0.012240780621286085,-0.051815815316986424
2018-05-31,-0.03214296426540275,-0.012319283914470236,-0.05833890528275243
2018-06-01,-0.02476676305118375,-0.008501489244961524,-0.04812260713524574
2018-06-04,-0.01688879346669081,-0.005402399632910226,-0.0438585786549075
2018-06-05,-0.015788117005487323,-0.00440924982954749,-0.043186800411582515
2018-06-06,-0.012048605889087738,0.0,-0.034989406214318786
2018-06-07,-0.018090407509054218,-0.003590353595294804,-0.03567860565180969
2018-06-08,-0.019704374562347415,-0.0027809194939371062,-0.03266422917249534
2018-06-11,-0.01854654717685056,-0.001645265684726449,-0.03163043001625887
2018-06-12,-0.016453192652566062,0.0,-0.029942188829428562
2018-06-13,-0.015404332359174933,-0.0009794995078162838,-0.03384776561712355
2018-06-14,-0.010369550103682568,0.0,-0.03145987227630276
2018-06-15,-0.015304339666034616,-0.00462269967457396,-0.032444977070309466
2018-06-18,-0.0169891756180357,-0.005352471267546344,-0.03450212266628261
2018-06-19,-0.02504521453070352,-0.007694004331492144,-0.03838670903954344
2018-06-20,-0.022534941704077327,-0.005046033972680997,-0.03674027871871122
2018-06-21,-0.03028646167141469,-0.010546980548865603,-0.042852653409336305
2018-06-22,-0.03026599912754624,-0.01097580702060974,-0.04107050773687981
2018-06-25,-0.04426588079639049,-0.019828961212420282,-0.05423149758703727
2018-06-26,-0.04469665157214808,-0.020033975603453213,-0.05214647808039885
2018-06-27,-0.05461071294931508,-0.02764598929143469,-0.060302146393099276
2018-06-28,-0.05113253112240934,-0.025092605116407873,-0.054496044794054566
2018-06-29,-0.049208740665637185,-0.024956320212558114,-0.05377897144589816
2018-07-02,-0.04758926771879135,-0.02235118785743795,-0.05087600562781058
2018-07-03,-0.05387325209643612,-0.025027860321713113,-0.055571654816288896
2018-07-05,-0.04522911434096999,-0.019591269160699754,-0.047429923458921386
2018-07-06,-0.039574829253705146,-0.01402925253446674,-0.03935090840055089
2018-07-09,-0.033862378226479306,-0.008803598662979195,-0.03087511502237239
2018-07-10,-0.033296048368027575,-0.010388209919559466,-0.02750908536521124
2018-07-11,-0.04151009957210239,-0.013273102209147347,-0.034408133199221425
2018-07-12,-0.034490787096027264,-0.008590848601021106,-0.025960128750273537
2018-07-13,-0.03498230662827995,-0.009383126028624234,-0.024908908399871144
2018-07-16,-0.035760217677031636,-0.010576641313892465,-0.025911434388043886
2018-07-17,-0.030648323089817797,-0.009676682248695778,-0.022040699988680745
2018-07-18,-0.02528813416566089,-0.011517231239283166,-0.019927806571376605
2018-07-19,-0.025899850590366702,-0.014619445779007312,-0.023802025209572863
2018-07-20,-0.019546364645576797,-0.012427964664678659,-0.024727897943415234
2018-07-23,-0.01932662168460053,-0.012028103345187224,-0.022935299554459387
2018-07-24,-0.0193898804953182,-0.011327367645434294,-0.018264040037813345
2018-07-25,-0.011692497800068646,-0.005615584384379035,-0.009328667059394058
2018-07-26,-0.011541098060130484,-0.010693210548518683,-0.012332675803643611
2018-07-27,-0.016897242590970918,-0.01790001833638577,-0.018813954903411534
2018-07-30,-0.02279006453204857,-0.023764012604538087,-0.02445986649756471
2018-07-31,-0.023268071533419254,-0.022085696266797572,-0.019694617513857593
2018-08-01,-0.0212780128078629,-0.020554482646875094,-0.020714479714761147
2018-08-02,-0.01872888821799701,-0.016096083220966673,-0.015890083652325027
2018-08-03,-0.018316805133501757,-0.015383886374682687,-0.011319697098971515
2018-08-06,-0.020934379660920266,-0.01418536342537191,-0.007821521310454327
2018-08-07,-0.016992669886953804,-0.012265117780629886,-0.0050194284556593916
2018-08-08,-0.014980259711137922,-0.01260706243119114,-0.005280491423843348
2018-08-09,-0.01692493347464341,-0.011350003406962239,-0.006714553138721269
2018-08-10,-0.02343665198751299,-0.014205061956550802,-0.013780674473854448
2018-08-13,-0.02643046183587172,-0.01829775944935108,-0.017731461384945635
2018-08-14,-0.02285576221405483,-0.016215009298272354,-0.011455497432030781
2018-08-15,-0.034984596075411156,-0.024781847673120194,-0.018970575688035063
2018-08-16,-0.03650342067019108,-0.023343233049338163,-0.011201402941513283
2018-08-17,-0.044474521905655706,-0.023228463492478868,-0.0079155107775154
2018-08-20,-0.04015345916671709,-0.021619824695688794,-0.005506712003695569
2018-08-21,-0.03415433757421038,-0.018068705166668586,-0.0034495664077224264
2018-08-22,-0.02788999102428058,-0.015165133170220946,-0.0038463447275307594
2018-08-23,-0.02815052049090072,-0.01667340131564765,-0.005531101675527839
2018-08-24,-0.01996121732196654,-0.011789529225603168,0.0
2018-08-27,-0.012825142363590558,-0.007804483265787754,0.0
2018-08-28,-0.010391134727804618,-0.003934349717164998,0.0
2018-08-29,-0.004185447408869947,-0.0013233214971047902,0.0
2018-08-30,-0.009293555381274854,-0.003986114803047669,-0.004430329054145088
2018-08-31,-0.008549460544409415,-0.0016816663550089928,-0.004296447325163988
2018-09-04,-0.013079582741630125,-0.005158502184852587,-0.005943661764149288
2018-09-05,-0.017409150130917372,-0.009117240897652867,-0.008730127611573546
2018-09-06,-0.025641442712074358,-0.01121237968418387,-0.012350547608108497
2018-09-07,-0.02786078664675884,-0.013670306417384981,-0.014536556414476709
2018-09-10,-0.025243049897898495,-0.012940670403113641,-0.012666317468264854
2018-09-11,-0.027660559572462384,-0.011759530034306742,-0.008973845978035522
2018-09-12,-0.035861363114260025,-0.011480426346580752,-0.008620374754899629
2018-09-13,-0.028105412112426564,-0.005096114442499133,-0.0033836554370227923
2018-09-14,-0.024177125104095754,-0.007000546665022367,-0.003109105733724138
2018-09-17,-0.029095933703817578,-0.013212410128512042,-0.008661511130950705
