Date,KPrice,EquityRet,BondMain,BondSynthetic,SignalAtMonthEnd,PositionStock,StrategyGross,StrategyNet10bp,StrategyNet20bp,BookProxyGross,KOSPI
1988-07-31,695.4367929098792,-0.019971928133305616,0.011191986470844073,0.011191986470844073,1.0,1.0,-0.019971928133305616,-0.019971928133305616,-0.019971928133305616,-0.019971928133305616,-0.019971928133305616
1988-08-31,692.0435194493853,-0.004879341293254846,0.009339051624850825,0.009339051624850825,1.0,1.0,-0.004879341293254846,-0.004879341293254846,-0.004879341293254846,-0.004879341293254846,-0.004879341293254846
1988-09-30,673.7792576662557,-0.026391782120380625,-0.034852036906269146,-0.034852036906269146,1.0,1.0,-0.026391782120380625,-0.026391782120380625,-0.026391782120380625,-0.026391782120380625,-0.026391782120380625
1988-10-31,712.0043175997488,0.05673231922557509,-0.007119436568644666,-0.007119436568644666,1.0,1.0,0.05673231922557509,0.05673231922557509,0.05673231922557509,0.05673231922557509,0.05673231922557509
1988-11-30,776.6774401006245,0.09083248640808317,0.04542178848078038,0.04542178848078038,1.0,1.0,0.09083248640808317,0.09083248640808317,0.09083248640808317,0.09083248640808317,0.09083248640808317
1988-12-31,882.5698526568619,0.1363402708626611,0.029895444660981596,0.029895444660981596,1.0,1.0,0.1363402708626611,0.1363402708626611,0.1363402708626611,0.1363402708626611,0.1363402708626611
1989-01-31,882.4700918222055,-0.00011303449166788493,0.008840539546488557,0.008840539546488557,1.0,1.0,-0.00011303449166788493,-0.00011303449166788493,-0.00011303449166788493,-0.00011303449166788493,-0.00011303449166788493
1989-02-28,900.4348703753406,0.02035737949604588,-0.00082429894312952,-0.00082429894312952,1.0,1.0,0.02035737949604588,0.02035737949604588,0.02035737949604588,0.02035737949604588,0.02035737949604588
1989-03-31,964.0102222429455,0.07060516419261287,0.0005511776551829772,0.0005511776551829772,1.0,1.0,0.07060516419261287,0.07060516419261287,0.07060516419261287,0.07060516419261287,0.07060516419261287
1989-04-30,957.2234745959322,-0.007040120001240879,-0.0016385218839033433,-0.0016385218839033433,1.0,1.0,-0.007040120001240879,-0.007040120001240879,-0.007040120001240879,-0.007040120001240879,-0.007040120001240879
1989-05-31,935.0669344530016,-0.023146674450585714,-0.043297740208950275,-0.043297740208950275,1.0,1.0,-0.023146674450585714,-0.023146674450585714,-0.023146674450585714,-0.023146674450585714,-0.023146674450585714
1989-06-30,899.0376165120754,-0.038531271520153565,-0.009966480329617333,-0.009966480329617333,1.0,1.0,-0.038531271520153565,-0.038531271520153565,-0.038531271520153565,-0.038531271520153565,-0.038531271520153565
1989-07-31,884.8653554840852,-0.01576381317944542,-0.002902681075585223,-0.002902681075585223,1.0,1.0,-0.01576381317944542,-0.01576381317944542,-0.01576381317944542,-0.01576381317944542,-0.01576381317944542
1989-08-31,920.5953909210425,0.04037906469669661,0.013117644402450113,0.013117644402450113,1.0,1.0,0.04037906469669661,0.04037906469669661,0.04037906469669661,0.04037906469669661,0.04037906469669661
