Date,StrategyDD,KOSPIDDD
2018-05-31,-20.883354230809324,-5.589411095438845
2018-06-30,-20.467134111845986,-9.364260498897314
2018-07-31,-19.88202275468751,-10.56708462239816
2018-08-31,-18.62140303342882,-9.490894071990208
2018-09-30,-18.621403033428795,-8.704207351760784
2018-10-31,-17.882692007010746,-20.914800932023102
2018-11-30,-17.272451867513816,-18.297577207515403
2018-12-31,-16.63812258006385,-20.472557530606363
2019-01-31,-16.806746615735214,-14.089835804960927
2019-02-28,-16.597983137798934,-14.456488704285286
2019-03-31,-15.666558927756459,-16.590556642223152
2019-04-30,-15.62641263224892,-14.138930667144646
2019-05-31,-21.64189480901414,-20.445282607170977
2019-06-30,-21.749368032741035,-16.982146614402737
2019-07-31,-20.79562168578778,-21.115076798391573
2019-08-31,-20.194036313620987,-23.32668344723863
2019-09-30,-20.868996904538662,-19.614956009444928
2019-10-31,-21.99881121537969,-18.818917886894802
2019-11-30,-21.4485784775341,-18.644358376908286
2019-12-31,-21.55962440084248,-14.36959859105541
2020-01-31,-24.55002541888063,-17.4345207016669
2020-02-29,-29.250048847136135,-22.577791978055405
2020-03-31,-30.024325010530895,-31.63189763331594
2020-04-30,-29.642483834702926,-24.114928734521502
2020-05-31,-28.872214769811823,-20.91830770789339
2020-06-30,-26.470189403870727,-17.850658104938365
2020-07-31,-21.551298866583824,-12.35515067446994
2020-08-31,-18.87283323085187,-9.362701931843908
2020-09-30,-18.812846760885016,-9.295683548545519
2020-10-31,-20.931206171228222,-11.662367619210956
2020-11-30,-9.624802858104008,0.0
2020-12-31,0.0,0.0
2021-01-31,0.0,0.0
2021-02-28,0.0,0.0
2021-03-31,0.0,0.0
2021-04-30,0.0,0.0
2021-05-31,0.0,0.0
2021-06-30,0.0,0.0
2021-07-31,-2.8622735600665195,-2.862273560066486
2021-08-31,-2.9547908805222067,-2.954790880522229
2021-09-30,-6.911802176735371,-6.911802176735382
2021-10-31,-9.38252389774833,-9.88873654707162
2021-11-30,-7.395922582383962,-13.882754771467054
2021-12-31,-7.354163260879654,-9.67731171966949
2022-01-31,-8.898266705604673,-19.211449094240272
2022-02-28,-9.096919438253526,-18.1242947450162
2022-03-31,-10.568780144642487,-16.350692211558282
2022-04-30,-11.787798665743022,-18.249572296977547
2022-05-31,-11.878102088662967,-18.527124258344752
2022-06-30,-13.458319503668392,-29.24275331545676
2022-07-31,-10.668110210410653,-25.637307836975374
2022-08-31,-13.467353545404182,-25.013953431937562
2022-09-30,-15.011442192353996,-34.61634128881176
2022-10-31,-15.29137910396221,-30.42667168181319
2022-11-30,-12.257346869376729,-24.99939332904615
2022-12-31,-12.662532149947726,-32.16205394518118
2023-01-31,-10.453660852777446,-26.43872016695581
2023-02-28,-11.476683057309877,-26.809699455209447
2023-03-31,-9.1282662400599,-24.868049067546703
2023-04-30,-8.223166366890755,-24.119720446024452
2023-05-31,-5.449899264626678,-21.826807576106845
2023-06-30,-5.9209767827252175,-22.216290328451617
2023-07-31,-4.305224921583395,-20.144509021197045
2023-08-31,-6.214849907333464,-22.459262045451744
2023-09-30,-9.560821063921466,-25.225681594816564
2023-10-31,-11.00478980281131,-30.90048169673729
2023-11-30,-7.8967147973508345,-23.09565987599641
2023-12-31,-3.0682782996247826,-19.455937488624862
2024-01-31,-8.843047459857367,-24.25440139776982
2024-02-29,-9.756246142913739,-19.847846924784886
2024-03-31,-6.816541511459995,-16.684967907106486
2024-04-30,-8.667908943447433,-18.340269604571834
2024-05-31,-10.552185050696494,-20.024994843296852
2024-06-30,-5.079845545848216,-15.132193600834732
2024-07-31,-6.0002706590939425,-15.955142749675389
2024-08-31,-9.270103774266147,-18.87869007607651
2024-09-30,-12.019504849733664,-21.33692078090682
2024-10-31,-13.580649223236795,-22.462902071174597
2024-11-30,-11.711040612921963,-25.503536891660673
2024-12-31,-12.686547034116858,-27.214955652353257
2025-01-31,-11.898254963428057,-23.639237050608465
2025-02-28,-11.152347135501506,-23.17179708069933
2025-03-31,-11.254063967429529,-24.738828154385594
2025-04-30,-9.855490970302561,-22.44894863923702
2025-05-31,-4.973569777692055,-18.170098402028678
2025-06-30,0.0,-6.824441559386996
2025-07-31,0.0,-1.554290983656259
2025-08-31,-1.831184677578368,-3.357013722896951
2025-09-30,0.0,0.0
2025-10-31,0.0,0.0
2025-11-30,-4.4043822276323645,-4.404382227632375
2025-12-31,0.0,0.0
2026-01-31,0.0,0.0
2026-02-28,0.0,0.0
2026-03-31,-19.08464429792459,-19.084644297924612
2026-04-30,0.0,0.0
2026-05-31,0.0,0.0
2026-06-30,0.0,0.0
2026-07-31,-22.19116897580127,-22.19116897580128
2026-08-31,-19.541838121484357,-19.541838121484368
