Date,Strategy_Gross,Strategy_Net,KODEX200_TR,SPY_TR_USD
2019-01-31,-0.15952022468928861,-0.1595202246892874,-0.2221106896367787,-0.15952022468928762
2019-02-28,-0.07055400486676577,-0.07055400486676411,-0.14526357717990024,-0.07055400486676511
2019-03-31,-0.05541117073572854,-0.055411170735726545,-0.165297780050775,-0.05541117073572788
2019-04-30,-0.011946656723056726,-0.011946656723054727,-0.14631033064254995,-0.011946656723055837
2019-05-31,-0.06380294276171561,-0.06380294276171561,-0.20453129643278078,-0.06380294276171583
2019-06-30,-0.06618360691035396,-0.06618360691035419,-0.186901430123674,-0.06618360691035419
2019-07-31,-0.015164895944048906,-0.015164895944049017,-0.1875229527982214,-0.015164895944048906
2019-08-31,-0.06022982480271111,-0.060229824802710885,-0.23062957993058208,-0.060229824802710885
2019-09-30,-0.03731662078280851,-0.03731662078280862,-0.21341756809651713,-0.037316620782808174
2019-10-31,-0.04178577835785291,-0.04178577835785324,-0.183562623975845,-0.04178577835785291
2019-11-30,-0.00560867584463054,-0.00560867584463054,-0.15401734840532644,-0.00560867584463054
2019-12-31,-0.018797005310729586,-0.018797005310729586,-0.16317968541527372,-0.018797005310729697
2020-01-31,-0.030787492323424925,-0.030787492323424925,-0.11695492683414588,-0.030787492323424592
2020-02-29,-0.12437170750986337,-0.12437170750986326,-0.16819687598116062,-0.12437170750986337
2020-03-31,-0.33717256183427224,-0.3371725618342726,-0.3808130896226818,-0.33717256183427213
2020-04-30,-0.26819924433217,-0.26819924433217,-0.2977550532696156,-0.2681992443321698
2020-05-31,-0.162807004280627,-0.1628070042806271,-0.22135625672875137,-0.16280700428062678
2020-06-30,-0.1062905393684771,-0.1062905393684771,-0.16957085088708024,-0.1062905393684771
2020-07-31,-0.07276541118171875,-0.07276541118171909,-0.12649448029810684,-0.07276541118171875
2020-08-31,-0.06553055202642544,-0.06553055202642555,-0.06741157866691039,-0.0182099065651945
2020-09-30,-0.11802510606222771,-0.11890708095616542,-0.0639717625840659,-0.09440446390356261
2020-10-31,-0.10778119645914941,-0.10956474184742726,-0.06480366086852607,-0.08345787621802203
2020-11-30,-0.0941641335115242,-0.09597489940863435,-0.05053067383014087,-0.07318489476697543
2020-12-31,-0.01732256289530898,-0.01732256289530887,-0.01732256289530898,-0.01488530342333183
2021-01-31,-0.06974758312326368,-0.06974758312326379,-0.06974758312326379,-0.037253924052126464
2021-02-28,-0.0638660277107046,-0.06386602771070482,-0.06386602771070482,-0.03127564527745197
2021-03-31,-0.07302731049203215,-0.0730273104920326,-0.07302731049203237,-0.0405968404181124
2021-04-30,-0.03706156206002653,-0.037061562060026976,-0.037061562060026754,-0.01219848158047021
2021-05-31,-0.04492826078998824,-0.04492826078998846,-0.04492826078998824,-0.03958594669867743
2021-06-30,-0.01925474338569333,-0.019254743385692996,-0.019254743385692885,-0.021122537338991276
2021-07-31,-0.03297562317800584,-0.03297562317800529,-0.03297562317800551,-0.027706625517219252
2021-08-31,-0.08623752472256863,-0.08623752472256818,-0.08623752472256851,-0.017428361999150432
2021-09-30,-0.08885525737841427,-0.08885525737841438,-0.08885525737841404,-0.05003469533132909
2021-10-31,-0.13164681538874168,-0.13164681538874168,-0.13164681538874157,-0.051141372289514986
2021-11-30,-0.11939468949288867,-0.12027529480339538,-0.1462050606497336,-0.030166301610632718
2021-12-31,-0.1291758234767567,-0.13004664765327967,-0.1256756295283531,-0.0409385207113262
2022-01-31,-0.16347701746555832,-0.1643135404480921,-0.19335394538094408,-0.09727641226820616
2022-02-28,-0.18149785950073916,-0.18231636164123755,-0.17918782674568767,-0.11672338445617769
2022-03-31,-0.19255479083401006,-0.19336223604317504,-0.19369656082199527,-0.1286553372307847
2022-04-30,-0.19831620056249388,-0.19911788436193045,-0.19712379156260917,-0.1348726923651674
