Date,Strategy_Gross,Strategy_Net,Position,KODEX200_TR_KRW,SPY_TR_KRW
2022-11-11,4.64021440685637,4.577962106385197,SPY_TR_KRW,1.8686822418961284,5.351926212755139
2022-11-14,4.47683825317583,4.4167777784517,SPY_TR_KRW,1.8568569676696873,5.163491575310366
2022-11-15,4.553018410230942,4.491935915916526,SPY_TR_KRW,1.8620484688519607,5.251356174591087
2022-11-16,4.491599458016507,4.431340949564087,SPY_TR_KRW,1.8585876697067982,5.1805168401347546
2022-11-17,4.546473862303368,4.485479168493049,SPY_TR_KRW,1.8340715887566432,5.243807829938636
2022-11-18,4.588713877139962,4.5271524987187695,SPY_TR_KRW,1.8300338082752359,5.292526579291488
2022-11-21,4.559363312553633,4.498195696145448,SPY_TR_KRW,1.815901213632875,5.258674252179915
2022-11-22,4.692218435949785,4.629268458569536,SPY_TR_KRW,1.8029220977197562,5.411906571865848
2022-11-23,4.697269598310195,4.634251855423996,SPY_TR_KRW,1.81503556014979,5.41773247685024
2022-11-24,4.697269598310195,4.634251855423996,SPY_TR_KRW,1.8320528195017514,5.41773247685024
2022-11-25,4.575402698812745,4.514019900819135,SPY_TR_KRW,1.8245536349461227,5.277173744709787
2022-11-28,4.559343520293504,4.4981761694147995,SPY_TR_KRW,1.8023449953976998,5.258651424201182
2022-11-29,4.570475647034022,4.5091589495006215,SPY_TR_KRW,1.8228231748806354,5.271490986273628
2022-11-30,4.662557903174625,4.600005846286093,SPY_TR_KRW,1.8502233156113317,5.377696733930534
2022-12-01,4.498933230659913,4.4385763336033985,SPY_TR_KRW,1.8611834202979347,5.18897546006202
2022-12-02,4.57608251236508,4.514690594112401,SPY_TR_KRW,1.8196508059106893,5.277957827437764
2022-12-05,4.479694317982598,4.419595526795278,SPY_TR_KRW,1.8138820814205476,5.166785700702952
2022-12-06,4.432791672965418,4.373322119415521,SPY_TR_KRW,1.7908083933180987,5.1126891712529146
2022-12-07,4.477293185871447,4.417226607850276,SPY_TR_KRW,1.780713700142957,5.164016285163236
2022-12-08,4.493186702057146,4.432906899417805,SPY_TR_KRW,1.780713700142957,5.182347534202378
2022-12-09,4.468207140078263,4.408262458849616,SPY_TR_KRW,1.8014799468436737,5.153536630046658
2022-12-12,4.486289831877932,4.4261025564360565,SPY_TR_KRW,1.7902316539534775,5.1743928284362894
2022-12-13,4.529788975266678,4.4690181229667,SPY_TR_KRW,1.7887893820915834,5.224563830317288
2022-12-14,4.44244439338196,4.382845340632447,SPY_TR_KRW,1.8089787684418672,5.123822417023919
2022-12-15,4.356301024201021,4.297857655743581,SPY_TR_KRW,1.7789832400774697,5.024466457330917
2022-12-16,4.376037269403406,4.317329122951076,SPY_TR_KRW,1.770619006967815,5.047229829619046
2022-12-19,4.311785180710205,4.253939028980644,SPY_TR_KRW,1.7709073161572195,4.97312281482393
2022-12-20,4.2928451298319406,4.235253074494234,SPY_TR_KRW,1.756198103136049,4.951277756411
2022-12-21,4.297805444055684,4.240146842014655,SPY_TR_KRW,1.7518717714936134,4.956998879055318
2022-12-22,4.2270206393732925,4.170311673823924,SPY_TR_KRW,1.7746566664634105,4.875357166317932
