Date,Strategy_Gross,Strategy_Net,Position,KODEX200_TR,SPY_TR_USD
2010-08-05,1.0361882946274181,1.033599895749345,KODEX200_TR,1.1001721386129606,1.014740327241096
2010-08-06,1.0361882946274181,1.033599895749345,KODEX200_TR,1.1001721386129606,1.0106039607180939
2010-08-09,1.0388508390021682,1.0362557890869157,KODEX200_TR,1.102999093090355,1.0159992412075334
2010-08-10,1.0321944780652927,1.0296160557429888,KODEX200_TR,1.0959317068968688,1.0105140317838193
2010-08-11,1.0179940894672714,1.0154511397227857,KODEX200_TR,1.080854455036349,0.982819017883102
2010-08-12,0.9995777967017844,0.997080850865835,KODEX200_TR,1.061300970112633,0.9767943259671483
2010-08-13,1.010893553319715,1.0083683407180761,KODEX200_TR,1.073315466148654,0.9739167822971749
2010-08-16,1.0086752981051614,1.0061556267061575,KODEX200_TR,1.07096023535128,0.9734674109660272
2010-08-17,1.0171065366925165,1.0145658040553056,KODEX200_TR,1.0799120965486135,0.9854266836368427
2010-08-18,1.0199908268240614,1.0174428892286598,KODEX200_TR,1.0829744894156772,0.9872248067552939
2010-08-19,1.0335259781516986,1.030944229741513,KODEX200_TR,1.0973454261071895,0.970050202576997
2010-08-20,1.0290882142779227,1.0265175514041127,KODEX200_TR,1.0926336336685125,0.9669030543310166
2010-08-23,1.0277569420905477,1.0251896047353273,KODEX200_TR,1.0912201564298152,0.9632163324793881
2010-08-24,1.0217660463230869,1.019213674228489,KODEX200_TR,1.0848593273769598,0.9489192719710645
2010-08-25,1.0064562452440007,1.0039421170401532,KODEX200_TR,1.0686041576532237,0.9526057204824674
2010-08-26,1.0040154466260451,1.0015074155383659,KODEX200_TR,1.0660126415654982,0.946221950623275
2010-08-27,1.0046811396944904,1.0021714457051931,KODEX200_TR,1.066719440677753,0.960879000208923
2010-08-30,1.0222095378366762,1.0196560579000555,KODEX200_TR,1.0853302041562982,0.9469413820974726
2010-08-31,1.0124471410114615,1.0099180475469913,KODEX200_TR,1.074964986706079,0.9469413820974726
2010-09-01,1.0242065030924967,1.0216480347356685,KODEX200_TR,1.08745048050725,0.975265625197887
2010-09-02,1.0295317057915125,1.0269599350756795,KODEX200_TR,1.0931045104478507,0.9843474453121377
