Date,Strategy_Gross,Strategy_Net,KODEX200_TR_KRW,SPY_TR_KRW
2014-01-31,1.4448695139763728,1.4376596006601638,1.248020793105551,1.6291904101429997
2014-02-28,1.4957973266951812,1.4883332830844826,1.2702631876954527,1.6866150448857593
2014-03-31,1.4994555611147788,1.4919732628777629,1.2705077000210032,1.6907399574656234
2014-04-30,1.4671049994943859,1.4597841308831998,1.2587217461833815,1.654262459501371
2014-05-31,1.4809989220922464,1.4736087226684274,1.2826481422870577,1.669928819153052
2014-06-30,1.5003839421996983,1.4928970113317899,1.2826481422870577,1.6917867714137893
2014-07-31,1.5115395008217145,1.5039969036047827,1.331934979321105,1.7043654360966367
2014-08-31,1.4850489232961415,1.4761608758115101,1.3067661799165489,1.7404117474483456
2014-09-30,1.5016620327253425,1.4911818808933164,1.2640792398993785,1.7835873264149493
2014-10-31,1.5368808587532985,1.5261549135029961,1.2322489616997636,1.8254182113848998
2014-11-30,1.6469838360438773,1.6354894782653122,1.2477943076659515,1.956192160926413
2014-12-31,1.637126638781535,1.6257010747273202,1.2174445328447443,1.9444843520267119
2015-01-31,1.5936958018066145,1.5825733430822075,1.2512485735772794,1.8928997153268843
2015-02-28,1.686133540027008,1.674365955095474,1.25420921737666,2.0026919154220924
2015-03-31,1.6693470934420114,1.6576966617081323,1.2793777748095925,1.9827539448720857
2015-04-30,1.636977149096148,1.6255526283356734,1.330841751526115,1.9443067968228949
2015-05-31,1.7072817385575552,1.6953665596090286,1.3008793732741375,2.027810522707605
2015-06-30,1.6885587842016412,1.6767742734062132,1.2561847946967564,2.0055724802090227
2015-07-31,1.8089149411292111,1.7962904605063308,1.2139842176428286,2.1485245636165184
2015-08-31,1.7134312835735972,1.7014731867353847,1.156793740484466,2.0351145966701893
2015-09-30,1.673797631361152,1.6621161391675208,1.180769377813525,1.9880400364528275
2015-10-31,1.74869894812136,1.7364947170191336,1.2524441553690115,2.077003489209799
2015-11-30,1.7781406165819862,1.7657309110461448,1.2232247509870022,2.1119726004948336
2015-12-31,1.7785956475378883,1.766182766325095,1.2159821773380992,2.112513059951347
2016-01-31,1.7334521295268157,1.7213543065046653,1.1750250924573573,2.0588941997553523
2016-02-29,1.7830204261104425,1.7705766642132783,1.1952536782106489,2.1177685560697896
2016-03-31,1.7491267821181544,1.7369195651475042,1.2464502762831997,2.077511645690993
2016-04-30,1.7455531114314398,1.733370835233465,1.243696034278668,2.0732670463026492
2016-05-31,1.8593766150332,1.8463999606237471,1.236065822088912,2.20846002185108
2016-06-30,1.8085171119744927,1.7958954078151896,1.2411530335014551,2.148052045151663
2016-07-31,1.8290483642971131,1.816283371809975,1.278029750895053,2.1724378794073202
2016-08-31,1.8172331745125183,1.802746090007357,1.3019463471479773,2.1577883298454457
2016-09-30,1.8229159813195515,1.8083835931606846,1.3060177616850517,2.1330894514960104
2016-10-31,1.8133270469642753,1.7988711023263995,1.2991478243363443,2.1818837530551294
2016-11-30,1.9352382443321023,1.9178906063935004,1.2930414284456033,2.30400588077171
2016-12-31,2.0377518926227847,2.0194853137426625,1.3396029390841278,2.4260539279374
2017-01-31,2.01212539388287,1.9940885330868516,1.3861649336658992,2.395544194072188
2017-02-28,1.9818164723320117,1.9620872519476584,1.3925258837045662,2.4145662332510813
2017-03-31,2.0669111923856316,2.046334843869627,1.452317797787218,2.3815107830821356
2017-04-30,2.116296524062906,2.095228538654172,1.4870184643706463,2.4329684725649603
2017-05-31,2.251763538589369,2.229346962823397,1.5822045357096883,2.4434605300591086
2017-06-30,2.3062441604003667,2.283285223518019,1.6204854144344785,2.5186337860359798
2017-07-31,2.323402195225162,2.300272448050769,1.6325415295897419,2.508930922457931
2017-08-31,2.2753983015291968,2.2527464388669447,1.5988115321739989,2.527069209393785
2017-09-30,2.341126717767585,2.3178205208480542,1.644995688065669,2.6293859571738727
2017-10-31,2.467074155867205,2.442514137114118,1.7334928168303847,2.638525158342261
2017-11-30,2.404981764289328,2.3810398827324613,1.6898635183254789,2.6156062138821117
2017-12-31,2.423092152781657,2.398969980137901,1.702588806005542,2.6199644380389193
2018-01-31,2.491468081222536,2.4666652180203807,1.7506332397387094,2.775516416329313
2018-02-28,2.3425193477554713,2.319199287037588,1.6459742213111184,2.6916789409524373
2018-03-31,2.362477966995819,2.33895921583255,1.6599981706945264,2.5757219934254127
2018-04-30,2.4221482361652384,2.3980354603244716,1.7019255617855182,2.607195665439829
2018-05-31,2.3321610595740543,2.3089441168558396,1.6386959568477486,2.69679526861476
2018-06-30,2.424794653583038,2.398254876807522,1.583106726907922,2.8142460926435047
2018-07-31,2.4959083290520785,2.4685902013882313,1.5738826476341468,2.896781487146513
2018-08-31,2.5831040943368544,2.5548315946633995,1.5820678217424087,2.9979819501981533
2018-09-30,2.5911465997081318,2.562786073489024,1.590780373004097,3.007316179504018
2018-10-31,2.4671470894097305,2.4401437582498957,1.3978232474721224,2.863400843485223
2018-11-30,2.4672331375256693,2.4402288645550354,1.438608411514365,2.8635007119725198
2018-12-31,2.2485472986172406,2.2239365781645564,1.4078870892652677,2.609691274231017
2019-01-31,2.4126969517270336,2.3862895862904643,1.5373935687814018,2.8002053530996776
2019-02-28,2.504607100621073,2.477193763469971,1.5257405783508957,2.9068773869632962
2019-03-31,2.593893258623418,2.5655026697701877,1.4923712396399849,3.010503985163665
2019-04-30,2.7687419458094213,2.7384376092825264,1.5342881049653545,3.213435492782237
2019-05-31,2.6481524834570074,2.6191680184530823,1.4196002096442146,3.0734778997803764
2019-06-30,2.75408499960144,2.7239410857643582,1.497943241200218,3.1964244631946603
2019-07-31,2.87024560807496,2.8388302972499138,1.4392291897144638,3.3312418746536645
2019-08-31,2.8717881166910617,2.840355922855207,1.3963278628388691,3.333032128867283
2019-09-30,2.905451529962785,2.8736508845253024,1.4802420490544232,3.372102294716173
2019-10-31,2.8846511998675215,2.853078217468131,1.4964172471565915,3.3479611792572648
2019-11-30,3.0232583449326995,2.9901682845060686,1.4985813203713974,3.5088303134067274
2019-12-31,3.056491825400702,3.023038019057775,1.6111099819102015,3.547401494027659
2020-01-31,3.136556802900719,3.1022266721947176,1.5642340291469339,3.6403258782653354
2020-02-29,2.9471027340022617,2.9148462092778415,1.4734635769794004,3.4204431874382792
2020-03-31,2.590485114406719,2.5621318282531598,1.3051990506969267,3.006548451638039
2020-04-30,2.9105561656706067,2.878699649154716,1.4225460931745613,3.378026796848291
2020-05-31,3.11212619175784,3.0780634581137964,1.4751614918615263,3.6119714145798647
2020-06-30,3.0660299840335314,3.032471780973713,1.546509002796224,3.5584715966541998
2020-07-31,3.2226725766755084,3.1873998946448157,1.6519955641761979,3.7402728900679874
2020-08-31,3.339606899280618,3.2997512974815497,1.6969795408152895,3.992855688976373
2020-09-30,3.3765392527227127,3.3362428921108016,1.715746255005183,3.768039032351505
2020-10-31,3.279119887722458,3.239986151196574,1.6662438212545938,3.5659280170971233
2020-11-30,3.7735986595768307,3.7285637048466835,1.9175070341150953,3.86564235498658
2020-12-31,4.297452598925763,4.2461658562944535,2.1836968715004854,3.94384282611556
2021-01-31,4.479466017702267,4.426007086978277,2.2761847172658367,3.9966073016526353
2021-02-28,4.5426425684054585,4.488429674857758,2.308287092556082,4.132994654848715
2021-03-31,4.594925247468964,4.540088400952971,2.334853883015431,4.351786714807469
2021-04-30,4.679133346663581,4.623291542207633,2.3776431770293436,4.4984237346547635
2021-05-31,4.730576973323842,4.674121229335154,2.4037836134880792,4.571620326355486
2021-06-30,4.856142927384842,4.798188651737936,2.4675883849749174,4.725605312635611
2021-07-31,4.706172072264533,4.650007581722104,2.391382567783511,4.894624848998315
2021-08-31,4.650786042172661,4.595282540670906,2.3632388482537876,5.112177771412707
2021-09-30,4.452502530625554,4.399365388074984,2.262483558028183,4.980411529033433
2021-10-31,4.55725077057372,4.49836067599523,2.190064354772987,5.25623769045959
2021-11-30,4.611134146329159,4.551547755396967,2.1113742149230674,5.318385648689958
2021-12-31,4.820945140293236,4.758647511840842,2.2490113039463635,5.560377259392552
2022-01-31,4.635073383439462,4.575177642855795,2.048172436722001,5.345996663908283
2022-02-28,4.460567540277742,4.402926813983534,2.0682306744523458,5.144725275474993
2022-03-31,4.693591975853939,4.632940041324544,2.095068473130019,5.4134907840536455
2022-04-30,4.485374934104633,4.427413639590193,2.0353218077409627,5.1733376044863695
2022-05-31,4.387553740785776,4.330856519638443,2.0313091923083997,5.0605126867600205
2022-06-30,4.174790417392853,4.120842584608864,1.7696580166650697,4.815115921063817
2022-07-31,4.585577130220292,4.526320994341331,1.856206789917333,5.28890872102241
2022-08-31,4.558468301453424,4.499562473593567,1.847322317817145,5.2576419651026605
2022-09-30,4.408009377290757,4.351047822572794,1.6206339850113098,5.084105789925217
2022-10-31,4.737878412973599,4.676654196469427,1.7285092902585129,5.464569834051849
2022-11-30,4.662557903174625,4.602306999785986,1.8502233156113317,5.377696733930534
2022-12-31,4.178011121803591,4.124021670158382,1.7071660622215512,4.818830614146505
2023-01-31,4.339413856059118,4.283338712235872,1.8590301148203747,5.004989150915005
2023-02-28,4.528646322733008,4.470125862989974,1.844576544819436,5.223245918791906
2023-03-31,4.618718985737431,4.55903458134656,1.8899609844954262,5.327133843770921
2023-04-30,4.847737877703339,4.785094025854537,1.9120690848342834,5.591279442154781
2023-05-31,4.805938550233315,4.743834841218859,1.9908964225947294,5.5430689723903255
2023-06-30,5.122512295695199,5.05631773042774,1.990310004365168,5.908198506944604
2023-07-31,5.10970021694759,5.043671213016817,2.0207859673880324,5.893421323375696
2023-08-31,5.210388723685665,5.143058594145772,1.967746513430877,6.009553340408881
2023-09-30,5.0502003774786335,4.984940247447965,1.9267210715664953,5.824795453407682
2023-10-31,4.833418137321491,4.76618836991389,1.802710130577567,5.699277339598686
2023-11-30,5.0493976731602315,4.974184604219874,1.9964456788223532,5.9443750077101365
2023-12-31,5.236816636575784,5.158811877154989,2.126680855882669,6.1650129281536445
2024-01-31,5.523313681671931,5.441041418798486,1.9946448050144263,6.502289962938363
2024-02-29,5.841171654012044,5.75416475244814,2.1128616144927452,6.876486472914858
2024-03-31,6.106473062957373,6.015514376556428,2.2375638684100236,7.188811064267132
2024-04-30,6.015082989995286,5.925485600189121,2.18720546004129,7.081222614944494
2024-05-31,6.274442063489838,6.180981402628842,2.1490112071577143,7.386551625313162
2024-06-30,6.54930683974158,6.451751943349207,2.3002957377182462,7.710134637032678
2024-07-31,6.537663276381324,6.440281816147167,2.284228337974349,7.696427317562222
2024-08-31,6.519041731128919,6.421937647258736,2.1748852328589723,7.674505208160598
2024-09-30,6.568332030047702,6.470493744815173,2.0802203683969576,7.732531935303284
2024-10-31,6.822699756456591,6.721072548548337,2.049201784008386,8.03198491039184
2024-11-30,7.306811314813551,7.197973045632175,1.962328042865757,8.601902519325114
2024-12-31,7.510205893412232,7.398337969715121,1.9274582381174994,8.84134764287963
2025-01-31,7.576678044736034,7.463819988190661,2.0173127067042596,8.919601609117668
2025-02-28,7.523041292602738,7.410982179812059,2.037518910082377,8.856458044377131
2025-03-31,7.212146414872811,7.104718222319649,2.042645804841175,8.490458798362859
2025-04-30,6.915449319946657,6.812440565215495,2.07286975441816,8.14117381229136
2025-05-31,7.074686442718202,6.969305778807351,2.2075589031523095,8.328634819360433
2025-06-30,7.319305193150808,7.210280821983904,2.547183256725117,8.6166108673192
2025-07-31,7.72670383789781,7.611611079105896,2.6939119455583205,9.096218630217662
2025-08-31,7.845017708064801,7.728162610505081,2.6494474819948914,9.23550296835258
2025-09-30,8.704726450876013,8.566490535993973,2.9214453642592426,9.693944591486423
2025-10-31,10.651288941072304,10.482140527305223,3.5747428567557025,10.072644513529173
2025-11-30,10.194243189037804,10.032352916928817,3.421350995326076,10.357205043289015
2025-12-31,11.155047555543323,10.977899173788266,3.7438123016437617,10.198854389139967
2026-01-31,14.176000834935959,13.950878028855284,4.757692519882808,10.283306280584155
2026-02-28,17.2594938779737,16.98540348121201,5.792562082659442,10.219839110494732
2026-03-31,13.832168039173443,13.612505489811566,4.642296736577108,10.19683696553688
2026-04-30,18.40183392606698,18.109602531705214,6.175949666030765,11.0482776976364
2026-05-31,24.832024436186686,24.437678027292474,8.33402440429006,11.797597635873638
2026-06-30,25.525512643152698,25.120153254437597,8.566770133732877,12.092525932493839
2026-07-31,20.084937487111254,19.765977468718027,6.740826129838101,11.096805168734349
2026-08-31,19.862530303946688,19.547102235766324,6.666182723419659,10.9612361940965
