Date,Strategy_Gross,Strategy_Net,Korea_TR_USD,SPY_TR_USD
2005-02-28,-0.021947547675514545,-0.023902674527710777,-0.014542765590337625,-0.022742782833251263
2005-03-31,-0.08566771311277455,-0.08566771311277455,-0.08566771311277477,-0.04725357163542587
2005-04-30,-0.11168799806809904,-0.11168799806809948,-0.11168799806809959,-0.06957376656097847
2005-05-31,-0.1095749818884324,-0.10957498188843295,-0.10957498188843284,-0.053876167467208136
2005-06-30,-0.06272639459067797,-0.06272639459067841,-0.06272639459067864,-0.02329625916015554
2005-07-31,-0.05556226354342697,-0.055562263543427526,-0.05556226354342764,-0.019191816972118025
2005-08-31,-0.07637017070979357,-0.07637017070979324,-0.07637017070979335,-0.031750951261298566
2005-09-30,-0.03997286246034826,-0.039972862460348146,-0.039972862460347924,-0.02642189134499051
2005-10-31,-0.08812037290923991,-0.08812037290924013,-0.08812037290924046,-0.05444307627385647
2005-11-30,-0.046493693446668205,-0.04649369344666843,-0.04649369344666854,-0.02980359412047806
2005-12-31,-0.01588550101019426,-0.01588550101019426,-0.01588550101019448,-0.020654963349755806
2006-01-31,-0.07882115798985179,-0.07882115798985201,-0.07882115798985201,-0.025829131471427957
2006-02-28,-0.07940102665458826,-0.07940102665458804,-0.07940102665458837,-0.029618776568007044
2006-03-31,-0.08302451343709671,-0.0830245134370966,-0.08302451343709683,-0.01606662321127339
2006-04-30,-0.024827233171231144,-0.024827233171231256,-0.024827233171231144,-0.018090019711636485
2006-05-31,-0.1301467887584381,-0.1301467887584381,-0.13014678875843821,-0.05617512569399663
2006-06-30,-0.2061628481325276,-0.20616284813252783,-0.20616284813252783,-0.07593101510581024
2006-07-31,-0.18054130729384332,-0.18054130729384366,-0.18054130729384354,-0.06586347901689849
2006-08-31,-0.14369846878680792,-0.14369846878680803,-0.14369846878680803,-0.03829537319419829
2006-09-30,-0.11729169041376941,-0.11729169041376963,-0.11729169041376952,-0.016104169116181066
2006-10-31,-0.12585331256253396,-0.12585331256253451,-0.12585331256253396,-0.00713375912982861
2006-11-30,-0.07688995275909649,-0.0768899527590976,-0.07688995275909682,-0.017740503278908082
2006-12-31,-0.05679040490393461,-0.05679040490393583,-0.056790404903935054,-0.011170042526266188
2007-01-31,-0.027023603540869856,-0.02799657993733018,-0.06946819154729789,-0.013823605330383959
2007-02-28,-0.04478254906659451,-0.044782549066594624,-0.04496118140253558,-0.044782549066594735
2007-03-31,-0.05950432027460406,-0.05950432027460417,-0.0802072435610024,-0.05950432027460428
2007-04-30,-0.022707287426891987,-0.023684580139465283,-0.0156528984644686,-0.02270728742689232
2007-05-31,-0.011854770217986088,-0.012842915447768277,-0.011854770217986088,-0.010452287921477899
2007-06-30,-0.03778422785407354,-0.037784227854073205,-0.037784227854073316,-0.03355512659166826
2007-07-31,-0.0677194518948312,-0.06771945189483108,-0.06771945189483108,-0.06422908079113865
2007-08-31,-0.21175214844819112,-0.211752148448191,-0.21175214844819112,-0.09047545622755149
2007-09-30,-0.1159888335431607,-0.11598883354316059,-0.11598883354316059,-0.05984451005947233
2007-10-31,-0.08175011823917311,-0.081750118239173,-0.08175011823917322,-0.04351998976031013
2007-11-30,-0.1616596777753253,-0.1616596777753253,-0.16165967777532553,-0.09924592390836862
2007-12-31,-0.13652615316707084,-0.13652615316707073,-0.13652615316707128,-0.07291629535174515
2008-01-31,-0.2366983005958947,-0.2366983005958947,-0.23669830059589492,-0.1601877689380934
2008-02-29,-0.2177444272787462,-0.217744427278746,-0.21774442727874643,-0.1452188974579005
2008-03-31,-0.31050982123151605,-0.31050982123151616,-0.31050982123151616,-0.1776627494806179
2008-04-30,-0.2118296181858308,-0.21182961818583101,-0.21182961818583101,-0.14176176342875468
2008-05-31,-0.20652394614875313,-0.20652394614875336,-0.20652394614875302,-0.11135284333756101
2008-06-30,-0.27290222908850137,-0.27290222908850137,-0.27290222908850137,-0.17250760235044926
2008-07-31,-0.3273979254027808,-0.3273979254027807,-0.3273979254027809,-0.21494320344020557
2008-08-31,-0.30529808540949843,-0.30599278732408874,-0.38686382696976396,-0.1889888237362619
2008-09-30,-0.3773598861355961,-0.37798252624946005,-0.45909512248951667,-0.273115446310787
2008-10-31,-0.5307000736664462,-0.5311693735927798,-0.7025645552858089,-0.45212834845774996
2008-11-30,-0.5782168399730945,-0.5786386231331215,-0.7170161112337232,-0.5076005268485634
2008-12-31,-0.5409858547014056,-0.5414448688467045,-0.6949635841977488,-0.46413620852082593
2009-01-31,-0.5459386585835329,-0.5463927199249496,-0.6424895166629883,-0.46991822699218055
2009-02-28,-0.5833592441847391,-0.5837758849405544,-0.6830633414257339,-0.5136038891553564
2009-03-31,-0.6161583328063676,-0.6165421744735612,-0.7030589273890973,-0.5518943082325594
2009-04-30,-0.5399076409823428,-0.5403677333413603,-0.5897947472964025,-0.4628774767422097
2009-05-31,-0.5011407545180837,-0.5016396137635658,-0.510297947472964,-0.4176201116318887
2009-06-30,-0.49038856197766667,-0.49089817341568887,-0.5131317589935996,-0.4050677519269955
2009-07-31,-0.49792323722090703,-0.49842531398368595,-0.5129640256014124,-0.4138639070885769
2009-08-31,-0.451233242298125,-0.4523302270467713,-0.4258662546899139,-0.34489498468519497
2009-09-30,-0.419244701074971,-0.4204056309175226,-0.39239902891194,-0.3348328377497731
2009-10-31,-0.40147422684232437,-0.402670679862867,-0.37380710659898464,-0.3137880728256659
2009-11-30,-0.415877930315794,-0.41704559033309296,-0.3888766276760097,-0.3015354029710241
2009-12-31,-0.38913783874729646,-0.3903589522076407,-0.36090046347384674,-0.2661163980239051
2010-01-31,-0.37085264517552796,-0.37211031073782186,-0.34177002869123807,-0.27710961354116415
2010-02-28,-0.3966983064170263,-0.39790430650249853,-0.3688104171264621,-0.287206443297373
2010-03-31,-0.37643017768634424,-0.377676693761149,-0.3476053851246965,-0.24681781678524672
2010-04-30,-0.3060992647095604,-0.30748637227940556,-0.27402339439417345,-0.2037694858615895
2010-05-31,-0.4281046241254354,-0.4292478429818082,-0.4016685058485985,-0.2756194909195008
2010-06-30,-0.39674049652679033,-0.3979464122742329,-0.36885455749282714,-0.2989986711800211
2010-07-31,-0.3817461315166226,-0.38298202099972045,-0.35316707128669167,-0.3059260141112288
2010-08-31,-0.34559764547072747,-0.34690579577743075,-0.31534760538512474,-0.28534802215021104
2010-09-30,-0.3277765431063644,-0.32912031779669393,-0.2967027146325314,-0.26341223904446076
2010-10-31,-0.25934418506896617,-0.26082475604301236,-0.2251070403884352,-0.22335034672498533
2010-11-30,-0.25525174442184706,-0.2567404961847467,-0.2208254248510262,-0.19324042833283683
2010-12-31,-0.24024050336777414,-0.24175926260154101,-0.2051202824983448,-0.17378143904803933
2011-01-31,-0.153809844505003,-0.15550137862583635,-0.114694327962922,-0.1284604887662758
2011-02-28,-0.20577118369049008,-0.20735884709429186,-0.16905760317810636,-0.10436948489817766
2011-03-31,-0.21903575420032873,-0.22059690172768132,-0.18293533436327525,-0.13395145368501538
2011-04-30,-0.12309544459672617,-0.12484837680297611,-0.08256014124917233,-0.09999614635324583
2011-05-31,-0.1527213396730891,-0.1544150497150817,-0.11812545010626874,-0.09041432895967372
2011-06-30,-0.15137125616063718,-0.15306766501957103,-0.11672024029087824,-0.12439840101185773
2011-07-31,-0.09626253478674718,-0.0980691059797073,-0.05936133213890493,-0.1040547933516337
2011-08-31,-0.28417728367612605,-0.28560821328605657,-0.25494897331857846,-0.2223088986896914
2011-09-30,-0.3686250073799836,-0.36988712599023,-0.34284484727125797,-0.21410730617017015
2011-10-31,-0.31033515172987913,-0.31240207796980834,-0.3291879643779311,-0.23451016364923838
2011-11-30,-0.27012112518469766,-0.27230857290239685,-0.26897472378844545,-0.1898748184141006
