,미국주식,한국주식,금,한국10년국채,미국10년국채
1992-10-31,-0.0019215349310961471,0.014522435436,-0.01275290731356804,0.06687151481901221,-0.012113452956068915
1992-11-30,0.03744483837163304,0.18388695194299998,-0.0041266346908439555,0.06358820150379785,-0.011261727057398807
1992-12-31,0.023510686491726718,0.008060765741,-0.003561471386010151,-0.03180299150409438,0.017146505896203923
1993-01-31,0.006913950166461458,0.070736583032,-0.0020578259390640063,0.03095885551863331,0.023988426304563326
1993-02-28,0.016614411840910392,-0.039494470796,-0.004244508793351587,0.03726123563631112,0.03359660641120521
1993-03-31,0.01914823691041634,-0.034240430684,-0.009933942587500022,0.061876058998986405,0.02413715804424532
1993-04-30,-0.02191504121368404,0.104660164036,0.028403809617599363,0.031575901060130196,0.008125534510668997
1993-05-31,0.03359788134064612,0.008829712907,0.033208468923001,-0.0008074943474407625,0.006659572142148074
1993-06-30,0.00563368819898491,0.056404556679000004,0.027713634926167074,-0.022968415149136834,0.01401136308202
1993-07-31,-0.0006612016756146755,-0.011046817301,0.01593588290521364,-0.011206671939019253,0.019875719567738814
1993-08-31,0.04015834017129993,-0.057845744801,0.014398061399707451,0.01015833333333327,0.016911990322937775
1993-09-30,-0.007419768386679126,-0.022582921777,0.01211387948923659,-0.03712730520081975,0.029764354582143993
1993-10-31,0.020911123338917426,0.058483754618,0.0024963781942026753,0.04813376837153949,0.0068929902995367165
1993-11-30,-0.011539644607692301,0.089222373799,0.0006864953376288785,0.015993059185173575,-0.026509358943696215
1993-12-31,0.012864764638527815,0.063126252579,0.002980036178260148,0.029197802510007254,0.0016247385959766714
1994-01-31,0.033766982568524506,0.049010367628,0.04895104895104896,0.013999125098344889,0.006313421101013628
1994-02-28,-0.02726658579142094,0.048180592863,-0.006789103907309135,0.009908333333333186,-0.011718104072829694
1994-03-31,-0.045655647608487726,-0.047251687454000005,-0.015247110916961293,-0.0015198040940173074,-0.03392395901939149
1994-04-30,0.013900430027341315,-0.005859199329,0.007797462569071101,0.010646638425423127,-0.0285087902716904
1994-05-31,0.01453355452784355,0.066052783325,-0.014974073394801612,0.016382812395702384,-0.010461142400516099
1994-06-30,-0.025172308812968835,-0.016649334571,0.012947092786087966,0.011699686143085364,0.010892647352367169
1994-07-31,0.028680521053587427,0.019391598023,0.009503073000043383,0.007081355412966506,-0.012029653115791739
1994-08-31,0.04256838221592241,-0.006076260247,-0.01161845644527204,-0.0036446581732886285,0.012057082130886299
1994-09-30,-0.03040250646941356,0.067609594018,0.0006431018948058753,3.835873659885358e-05,-0.015296163315931977
1994-10-31,0.019916037937677267,0.082741420628,0.010895579842340464,-0.006378166015441278,-0.015491971459837384
1994-11-30,-0.03967819553237373,0.023181675764,-0.009850993377483408,0.001731166499499004,-0.011748159944708458
1994-12-31,0.00858296930587632,-0.062836560081,-0.019148900593595752,-0.021194055148013313,0.010918520871228576
