,최신 K-올웨더 성장형,한국주식만 계절형,강환국 원본 계절형,강환국 정적,한국주식만 계절형(최소매매),5~10월 미국30년채100%
2003-12-31,-0.14456913685844752,-0.1380635898162026,-0.13327029944345303,-0.13957046160835362,-0.1502970206063563,-0.14896635022327276
2004-01-31,-0.14456913685844763,-0.1380635898162027,-0.13327029944345314,-0.13957046160835362,-0.1502970206063563,-0.14896635022327243
2004-02-29,-0.14456913685844763,-0.1380635898162027,-0.13327029944345314,-0.13957046160835362,-0.1502970206063563,-0.14896635022327243
2004-03-31,-0.14456913685844763,-0.1380635898162026,-0.13327029944345314,-0.1395704616083535,-0.1502970206063563,-0.14896635022327254
2004-04-30,-0.14456913685844763,-0.13806358981620281,-0.13327029944345303,-0.13957046160835374,-0.1502970206063563,-0.14896635022327254
2004-05-31,-0.14456913685844774,-0.1380635898162027,-0.13327029944345303,-0.13957046160835374,-0.1502970206063563,-0.14896635022327254
2004-06-30,-0.1445691368584473,-0.1380635898162027,-0.13327029944345303,-0.13957046160835362,-0.1502970206063563,-0.14896635022327265
2004-07-31,-0.14456913685844786,-0.13806358981620281,-0.13327029944345314,-0.1395704616083535,-0.1502970206063563,-0.14896635022327254
2004-08-31,-0.14456913685844774,-0.1380635898162027,-0.13327029944345314,-0.13957046160835374,-0.1502970206063563,-0.14896635022327231
2004-09-30,-0.14456913685844763,-0.1380635898162027,-0.13327029944345314,-0.13957046160835374,-0.1502970206063563,-0.14896635022327243
2004-10-31,-0.1445691368584474,-0.1380635898162026,-0.13327029944345303,-0.1395704616083535,-0.1502970206063564,-0.14896635022327254
2004-11-30,-0.14456913685844763,-0.1380635898162027,-0.13327029944345303,-0.13957046160835362,-0.1502970206063563,-0.14896635022327265
2004-12-31,-0.14456913685844763,-0.1380635898162027,-0.13327029944345314,-0.13957046160835362,-0.1502970206063564,-0.14896635022327254
2005-01-31,-0.14456913685844774,-0.1380635898162027,-0.13327029944345314,-0.13957046160835362,-0.1502970206063562,-0.14896635022327243
2005-02-28,-0.14456913685844752,-0.1380635898162026,-0.13327029944345303,-0.13957046160835374,-0.1502970206063563,-0.14896635022327243
2005-03-31,-0.14456913685844763,-0.13806358981620248,-0.13327029944345303,-0.13957046160835374,-0.1502970206063562,-0.14896635022327231
2005-04-30,-0.14456913685844774,-0.1380635898162026,-0.13327029944345303,-0.13957046160835362,-0.1502970206063563,-0.14896635022327254
2005-05-31,-0.14456913685844763,-0.1380635898162027,-0.13327029944345303,-0.13957046160835362,-0.1502970206063564,-0.14896635022327243
2005-06-30,-0.14456913685844752,-0.1380635898162027,-0.13327029944345314,-0.13957046160835362,-0.1502970206063562,-0.14896635022327254
2005-07-31,-0.14456913685844786,-0.13806358981620281,-0.13327029944345314,-0.13957046160835374,-0.1502970206063562,-0.14896635022327243
2005-08-31,-0.14456913685844763,-0.1380635898162027,-0.13327029944345314,-0.13957046160835374,-0.1502970206063564,-0.14896635022327276
2005-09-30,-0.14456913685844752,-0.1380635898162026,-0.13327029944345314,-0.13957046160835374,-0.1502970206063563,-0.14896635022327243
2005-10-31,-0.14456913685844786,-0.1380635898162027,-0.13327029944345314,-0.13957046160835362,-0.1502970206063563,-0.14896635022327243
2005-11-30,-0.14456913685844763,-0.1380635898162027,-0.13327029944345314,-0.13957046160835374,-0.1502970206063563,-0.14896635022327243
2005-12-31,-0.14456913685844763,-0.13806358981620293,-0.13327029944345303,-0.13957046160835374,-0.1502970206063563,-0.14896635022327243
2006-01-31,-0.1445691368584474,-0.1380635898162027,-0.13327029944345314,-0.13957046160835374,-0.1502970206063563,-0.14896635022327254
2006-02-28,-0.14456913685844763,-0.13806358981620281,-0.13327029944345314,-0.13957046160835362,-0.1502970206063562,-0.14896635022327254
2006-03-31,-0.14456913685844763,-0.1380635898162027,-0.13327029944345314,-0.13957046160835374,-0.1502970206063562,-0.14896635022327243
2006-04-30,-0.14456913685844774,-0.13806358981620281,-0.13327029944345303,-0.13957046160835362,-0.1502970206063564,-0.14896635022327254
2006-05-31,-0.14456913685844763,-0.1380635898162026,-0.13327029944345314,-0.13957046160835374,-0.1502970206063563,-0.14896635022327265
2006-06-30,-0.14456913685844763,-0.1380635898162027,-0.13327029944345303,-0.13957046160835362,-0.1502970206063563,-0.14896635022327243
2006-07-31,-0.14456913685844763,-0.13806358981620281,-0.13327029944345303,-0.13957046160835362,-0.1502970206063562,-0.14896635022327254
2006-08-31,-0.14456913685844763,-0.13806358981620281,-0.13327029944345303,-0.13957046160835385,-0.1502970206063563,-0.14896635022327254
2006-09-30,-0.14456913685844752,-0.1380635898162027,-0.13327029944345314,-0.13957046160835374,-0.1502970206063563,-0.14896635022327265
2006-10-31,-0.14456913685844763,-0.1380635898162026,-0.13327029944345314,-0.13957046160835374,-0.1502970206063563,-0.14896635022327243
2006-11-30,-0.14456913685844774,-0.1380635898162027,-0.13327029944345303,-0.13957046160835362,-0.1502970206063562,-0.14896635022327254
2006-12-31,-0.14456913685844763,-0.13806358981620281,-0.13327029944345314,-0.1395704616083535,-0.1502970206063562,-0.14896635022327254
2007-01-31,-0.14456913685844752,-0.13806358981620281,-0.13327029944345314,-0.13957046160835362,-0.1502970206063563,-0.14896635022327243
2007-02-28,-0.14456913685844774,-0.1380635898162027,-0.13327029944345314,-0.13957046160835362,-0.1502970206063562,-0.14896635022327254
2007-03-31,-0.14456913685844774,-0.13806358981620281,-0.13327029944345314,-0.1395704616083535,-0.1502970206063563,-0.14896635022327254
2007-04-30,-0.1445691368584474,-0.13806358981620293,-0.13327029944345303,-0.13957046160835374,-0.1502970206063562,-0.14896635022327254
2007-05-31,-0.14456913685844774,-0.13806358981620248,-0.13327029944345314,-0.13957046160835362,-0.1502970206063563,-0.14896635022327254
2007-06-30,-0.14456913685844763,-0.13806358981620281,-0.13327029944345314,-0.13957046160835385,-0.1502970206063562,-0.14896635022327254
