,최신 K-올웨더 성장형,한국주식만 계절형,강환국 원본 계절형,강환국 정적,한국주식만 계절형(최소매매),5~10월 미국30년채100%
1998-09-30,45918146.1910743,28677656.391269833,30679835.87377391,31876262.089127637,31512285.73524999,62162214.06006592
1998-10-31,47945663.01383105,30058483.703002784,32234956.901185967,33896234.43904158,32911495.827102277,60933651.55400703
1998-11-30,49157651.199652724,31422447.353414748,33696910.60736458,35251102.084423736,34164891.14519233,61509828.95582649
1998-12-31,51646785.79492469,33864100.84852797,36277315.21978975,37679491.348306164,36562048.91171948,63513229.41109644
1999-01-31,52066145.8634675,35261607.29976907,37830273.64409262,38361764.4333843,37976149.93417358,64419596.95347816
1999-02-28,51343865.23968053,33706783.66476917,36249167.51415048,37348496.380905636,36663871.98666579,63008375.76715031
1999-03-31,53309983.342795,35215347.388144195,37948351.98115976,38484036.66271584,38357911.841604084,65604863.91526558
1999-04-30,54194359.33455789,38341442.209237844,41239829.47779627,40495907.414894864,41183370.47703793,67599233.35206579
1999-05-31,53498344.439263955,37367390.93397559,40152646.1255296,39802735.55564588,40079637.04758515,65269889.130336106
1999-06-30,55009539.6863313,37385667.96173032,40018510.73536327,40624981.102990955,40483861.31477029,61985864.38304161
1999-07-31,57540818.60652721,38473977.84958558,41235293.04138748,42574432.88888557,41685132.06061935,65337010.325329185
1999-08-31,56081785.33021863,37188935.34832561,39820616.9951137,41111782.12383698,40354428.40454829,63616041.146240994
1999-09-30,56785388.81711711,37491916.21366026,40155180.51878753,41318358.19042488,40530033.33322189,65886826.32865189
1999-10-31,56484991.50752412,37440428.1003152,39968484.845951706,40576474.63559984,40846052.87806179,63633554.14660313
1999-11-30,57123494.55996214,39062548.2542126,41737699.23831074,42218170.685825355,41776173.39941822,64466621.26478867
1999-12-31,56818601.534237854,38989935.24454139,41824022.78856999,42234443.442123406,42321415.91671246,63757858.33621563
2000-01-31,55706232.90504652,37266327.55233823,39846486.016967565,40675337.01876543,40233478.76127702,62318174.318618804
2000-02-29,56752178.75769237,36224003.83721851,38677761.654211864,40163577.601627134,39030520.02661693,63270970.08845708
2000-03-31,56635503.164298035,36751738.50285392,39445063.116554886,40578330.29881433,40355435.4664927,63157703.92650692
2000-04-30,55729962.92297321,35288629.601627685,37746228.39450432,39663072.57715886,38704149.5587826,61990789.8883205
2000-05-31,55838806.654770106,35201914.85281374,37633207.49020401,39592507.249315836,38674142.67754844,60850160.28308269
2000-06-30,57224115.77117782,36169746.03079578,38674435.356961876,40830181.824959695,39447077.816192575,62210446.11994188
2000-07-31,56142947.72260706,35384731.05307408,37889946.88526196,39734456.930877924,38719232.41303042,63201046.152775444
2000-08-31,56936383.42986667,35780270.420301855,38171237.08965748,40144455.87507777,39606499.74905801,64370016.57814672
2000-09-30,55232563.49942481,35112733.30544021,37623002.82773942,39237840.1292029,38567256.603652135,64552154.410265155
2000-10-31,55183313.264193416,34895627.236821406,37389717.17018432,38809768.30868001,38615417.64287005,66638169.37472491
2000-11-30,58347678.21256264,35664956.299306534,38029918.49250424,40037077.175430365,39159608.10952372,70266833.14703515
2000-12-31,61558379.111286074,36991732.78204638,39343919.0272408,41975512.727119215,40698942.39468964,73945596.59846362
2001-01-31,63750129.38151744,39477920.30123294,42041017.63314456,44295648.24410644,43436638.693164386,76413211.90404524
2001-02-28,61881715.8496297,38322142.94532618,40464461.92413386,43222052.71667935,41371941.81453418,74354562.96694434
2001-03-31,61856238.43041873,37620010.22001925,39639484.086451426,42695363.202817366,40845972.56281952,74428434.48346663
2001-04-30,62328449.94833276,38562970.668180086,40966716.796182714,43425165.75132568,42325514.677804366,74758840.24745622
2001-05-31,61927909.72755581,38282430.71185942,40733280.61763751,43334472.499021135,41731908.04503713,71828394.9489327
2001-06-30,62668268.19845984,38929031.18278185,41545367.25212689,43775079.466960415,42207511.80152591,74221307.27728617
2001-07-31,61473566.62166338,38846789.86740332,41545019.070172384,43268677.4603278,42104176.06464851,75194064.13491453
2001-08-31,61008262.10657201,39242869.278966434,42270395.57583158,43620247.0029888,41734722.743047215,75959205.46845531
2001-09-30,60268825.89903198,39351235.94308472,42651079.6105907,43170506.54144159,41024638.47893489,77844718.79978225
