Date,AGG,BIL,BND,BWX,DBC,EDV,EEM,EFA,EMLC,EWJ,GLD,HYG,IEF,IWD,IWM,IWN,LQD,LTPZ,MTUM,QQQ,REM,SHY,SPY,TLT,VGK,VNQ,VT,VWO
1993-11-12,,,,,,,,,,,,,,,,,,,,,,,46.46875,,,,,
1993-11-15,,,,,,,,,,,,,,,,,,,,,,,46.6875,,,,,
1993-11-16,,,,,,,,,,,,,,,,,,,,,,,46.65625,,,,,
1993-11-17,,,,,,,,,,,,,,,,,,,,,,,46.8125,,,,,
1993-11-18,,,,,,,,,,,,,,,,,,,,,,,46.46875,,,,,
1993-11-19,,,,,,,,,,,,,,,,,,,,,,,46.25,,,,,
1993-11-22,,,,,,,,,,,,,,,,,,,,,,,46.1875,,,,,
1993-11-23,,,,,,,,,,,,,,,,,,,,,,,46.28125,,,,,
1993-11-24,,,,,,,,,,,,,,,,,,,,,,,46.40625,,,,,
1993-11-26,,,,,,,,,,,,,,,,,,,,,,,46.59375,,,,,
1993-11-29,,,,,,,,,,,,,,,,,,,,,,,46.625,,,,,
1993-11-30,,,,,,,,,,,,,,,,,,,,,,,46.28125,,,,,
1993-12-01,,,,,,,,,,,,,,,,,,,,,,,46.59375,,,,,
1993-12-02,,,,,,,,,,,,,,,,,,,,,,,46.5,,,,,
1993-12-03,,,,,,,,,,,,,,,,,,,,,,,46.5,,,,,
1993-12-06,,,,,,,,,,,,,,,,,,,,,,,46.78125,,,,,
1993-12-07,,,,,,,,,,,,,,,,,,,,,,,46.875,,,,,
1993-12-08,,,,,,,,,,,,,,,,,,,,,,,46.84375,,,,,
1993-12-09,,,,,,,,,,,,,,,,,,,,,,,46.84375,,,,,
1993-12-10,,,,,,,,,,,,,,,,,,,,,,,46.71875,,,,,
1993-12-13,,,,,,,,,,,,,,,,,,,,,,,46.59375,,,,,
1993-12-14,,,,,,,,,,,,,,,,,,,,,,,46.90625,,,,,
1993-12-15,,,,,,,,,,,,,,,,,,,,,,,46.59375,,,,,
1993-12-16,,,,,,,,,,,,,,,,,,,,,,,46.65625,,,,,
1993-12-17,,,,,,,,,,,,,,,,,,,,,,,46.40625,,,,,
1993-12-20,,,,,,,,,,,,,,,,,,,,,,,46.53125,,,,,
1993-12-21,,,,,,,,,,,,,,,,,,,,,,,46.5625,,,,,
1993-12-22,,,,,,,,,,,,,,,,,,,,,,,46.59375,,,,,
1993-12-23,,,,,,,,,,,,,,,,,,,,,,,46.75,,,,,
1993-12-27,,,,,,,,,,,,,,,,,,,,,,,46.75,,,,,
1993-12-28,,,,,,,,,,,,,,,,,,,,,,,46.96875,,,,,
1993-12-29,,,,,,,,,,,,,,,,,,,,,,,47.125,,,,,
1993-12-30,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,
1993-12-31,,,,,,,,,,,,,,,,,,,,,,,46.9375,,,,,
1994-01-03,,,,,,,,,,,,,,,,,,,,,,,46.59375,,,,,
1994-01-04,,,,,,,,,,,,,,,,,,,,,,,46.53125,,,,,
1994-01-05,,,,,,,,,,,,,,,,,,,,,,,46.71875,,,,,
1994-01-06,,,,,,,,,,,,,,,,,,,,,,,46.8125,,,,,
1994-01-07,,,,,,,,,,,,,,,,,,,,,,,46.84375,,,,,
1994-01-10,,,,,,,,,,,,,,,,,,,,,,,47.09375,,,,,
1994-01-11,,,,,,,,,,,,,,,,,,,,,,,47.5625,,,,,
