rebalance_month,cost_scenario,cost_rate,final_asset_usd,cagr,mdd,mdd_date,sharpe_excess_dtb3_sqrt252,annualized_volatility,average_annual_rebalance_turnover,cumulative_trading_cost_usd_nominal
1,base_10bp,0.001,1138658.3997115213,0.08721138482779578,-0.1884866597194531,1980-03-27,0.5564405278874366,0.07350178117728931,0.10159937797868422,1463.0205894981777
2,base_10bp,0.001,1161398.982505612,0.08759110586923669,-0.2166754242726633,1980-03-27,0.5530147146601295,0.07476639179998133,0.09923006046892612,1494.7402481551733
3,base_10bp,0.001,1177544.4713215937,0.08785629439778164,-0.21851578679061412,1980-03-27,0.5570386665985969,0.07464400399019878,0.09873256975938409,1530.7971005149275
4,base_10bp,0.001,1163527.2609523954,0.08762626918550587,-0.2577496002654629,1980-03-27,0.5456279376008993,0.07600674177434395,0.10051453845269853,1533.837629591799
5,base_10bp,0.001,1066392.703571399,0.0859532434561523,-0.255403928606593,1980-03-27,0.52421995975305,0.07620404093790774,0.09732593758499176,1382.346830700039
6,base_10bp,0.001,1054921.4632507882,0.08574585859773887,-0.24612412056132305,1980-03-27,0.5266320688380353,0.07537030683753249,0.0948787450107712,1306.1583889277804
7,base_10bp,0.001,1104351.5606299415,0.08662419593792148,-0.24555716614405232,1980-03-27,0.5354303186879849,0.0756841516967204,0.10168071945599433,1420.5719594213333
8,base_10bp,0.001,1094829.34384433,0.08645803698080279,-0.2438999875012201,1980-03-27,0.534249667255982,0.07554546958862329,0.10045348120469137,1416.4479632359357
9,base_10bp,0.001,1115885.2721045054,0.0868235801054893,-0.2346591436257207,1980-03-27,0.5397496868775009,0.07537559062838822,0.10402826541921163,1386.7326959549455
10,base_10bp,0.001,1126148.4823249339,0.08699930611301232,-0.2133902571311881,1980-03-27,0.5473674558435402,0.07450392618612393,0.10393214528284998,1418.6233509800775
11,base_10bp,0.001,1061346.1644131523,0.08586228002316965,-0.21909413484281703,1980-03-27,0.5300186591963795,0.0750462335763798,0.09726721923246509,1300.3837387474791
12,base_10bp,0.001,1131719.3534452966,0.08709403260092197,-0.2101519314148157,1980-03-27,0.5469554763551603,0.07475396068522251,0.09971673053287566,1390.7204239067778
1,conservative_30bp,0.003,1125771.415611043,0.08699287788881871,-0.18848665971945366,1980-03-27,0.5537508268101942,0.07349485107872024,0.10159937797868428,4350.631123801031
2,conservative_30bp,0.003,1148331.2621328663,0.08737380411446982,-0.2173907030767771,1980-03-27,0.5503531058393247,0.07476502876006975,0.09923006046892606,4445.153074114481
3,conservative_30bp,0.003,1164361.0701908586,0.08764002811939364,-0.21912388873688038,1980-03-27,0.5543790000065126,0.07464358142478741,0.09873256975938415,4552.449928951885
4,conservative_30bp,0.003,1150267.132970475,0.08740614831916393,-0.2577496002654629,1980-03-27,0.5429811405935181,0.07600434691683941,0.10051453845269856,4560.909445925485
5,conservative_30bp,0.003,1054623.2893973137,0.08574043851787616,-0.25540392860659333,1980-03-27,0.5216306918609337,0.07620753368928598,0.09732593758499176,4111.663525292162
6,conservative_30bp,0.003,1043569.8953794171,0.08553844493186569,-0.24612412056132305,1980-03-27,0.524113827163924,0.0753677000571699,0.09487874501077115,3885.8311252148674
7,conservative_30bp,0.003,1091620.917448397,0.08640173129355633,-0.2455571661440521,1980-03-27,0.5327237120248148,0.07568475244128392,0.10168071945599431,4223.531509373581
8,conservative_30bp,0.003,1082360.0550667802,0.08623829298138497,-0.24389998750121988,1980-03-27,0.5315731770155457,0.07554568915365881,0.10045348120469136,4211.63840004377
9,conservative_30bp,0.003,1102956.1520334366,0.08659993481687511,-0.23465914362572105,1980-03-27,0.5370221468927134,0.07537518906976447,0.10402826541921155,4122.734043380534
10,conservative_30bp,0.003,1113112.4332120263,0.08677583129883382,-0.2133902571311881,1980-03-27,0.5446441246637976,0.07449848899998297,0.10393214528285002,4217.610103572979
11,conservative_30bp,0.003,1049843.979846912,0.08565335617632686,-0.21909413484281703,1980-03-27,0.5274687310775156,0.07504429415327048,0.09726721923246513,3868.496166846635
12,conservative_30bp,0.003,1119146.9275441542,0.08687959746315399,-0.21015193141481558,1980-03-27,0.5443135419674848,0.07475463822484413,0.09971673053287566,4136.18097348871
