,강환국 정적 K-올웨더,강환국 계절형 K-올웨더
2010-11-30,25120317.116539158,27535670.38892319
2010-12-31,25467904.276563685,28298881.94740964
2011-01-31,25144637.32450957,28061715.664083652
2011-02-28,25193286.83754096,28074709.765691288
2011-03-31,25604345.55076323,28651988.17652562
2011-04-30,25958599.329006214,29218770.842832774
2011-05-31,26147135.46071859,29634559.424858775
2011-06-30,25945903.75541529,29582322.45380772
2011-07-31,26090396.361373115,29761692.92615258
2011-08-31,26571341.485486098,30923871.254711412
2011-09-30,27041618.36510174,32013605.963403292
2011-10-31,27199382.000623103,31656440.746085785
2011-11-30,27518167.832201038,31840252.634003356
2011-12-31,27323819.80176981,31644103.045172583
2012-01-31,28110051.75405976,32751123.69704538
2012-02-29,28569614.927978743,33468104.64828305
2012-03-31,28411583.770517554,33466204.14249026
2012-04-30,28481719.494998034,33456835.19930398
2012-05-31,28275400.77352481,33742933.01333996
2012-06-30,28277172.905227166,33685708.53691055
2012-07-31,28777902.95474778,34302085.38908152
2012-08-31,29023711.344474435,34503781.23233977
2012-09-30,29505459.75117009,34855739.40113168
2012-10-31,28812270.47163438,34236219.36233725
2012-11-30,28913951.05242595,34390431.222214386
2012-12-31,28684973.801223233,34270658.99300821
2013-01-31,29107328.615165878,34853954.90983379
2013-02-28,29248083.10334617,35156808.90204632
2013-03-31,29717436.6871386,35713328.45345119
2013-04-30,29409925.319751658,35276449.090299465
2013-05-31,29608754.911812305,35241585.26237073
2013-06-30,28390815.910466053,33758850.06920396
2013-07-31,28709242.741019737,33917174.92887156
2013-08-31,28565532.70216576,33854713.16704695
2013-09-30,28395007.795685824,33486997.9869004
2013-10-31,28828129.437350698,33862195.094859205
2013-11-30,28582074.91113554,33610553.88729195
2013-12-31,28519457.397644732,33493762.861628972
2014-01-31,28603713.07527692,33355967.976394437
2014-02-28,29251403.72604417,34197275.20494934
2014-03-31,29176017.89820558,34134364.58508855
2014-04-30,28810248.85257196,33674534.122387
2014-05-31,28970101.023135234,33852288.1188655
2014-06-30,29308476.77240955,34213193.63374621
2014-07-31,29656987.02867849,34624798.25361982
2014-08-31,29713158.362812042,34672524.55663617
2014-09-30,29790985.81166598,34917501.95005331
2014-10-31,30251609.59989111,35568658.92167597
2014-11-30,31003031.354675908,36518748.95141149
2014-12-31,30637036.916218188,35921016.599986516
2015-01-31,31542239.921340637,36786764.39031984
2015-02-28,31518154.39314724,36979938.01252717
2015-03-31,31637855.369607344,37090901.09110579
2015-04-30,31532091.167848345,37092790.65134795
2015-05-31,31755070.25665264,37354653.443884976
2015-06-30,31314900.166722957,36934593.65392086
2015-07-31,31490344.23895888,37203778.22977636
2015-08-31,31568140.918538667,37700362.61658062
2015-09-30,31693491.969204642,37933939.51829147
2015-10-31,32053208.226257756,37995919.71357037
2015-11-30,31488811.4736643,37311241.94490655
2015-12-31,31743697.175945327,37461815.72770879
2016-01-31,32138786.826396674,37616528.79498105
2016-02-29,33428456.946125112,38997322.022206075
2016-03-31,32815764.790367726,38593880.08409401
2016-04-30,33156522.69399555,38961695.39789021
2016-05-31,33488292.359572925,39392277.139968395
2016-06-30,33948508.417867824,39983039.34138067
2016-07-31,34094614.85054494,40014991.07110958
2016-08-31,34022834.55848685,39848937.583297215
2016-09-30,33907446.67353556,39696388.734328
2016-10-31,33856772.4002015,39647346.58535138
2016-11-30,33438354.599568896,39503681.597646706
2016-12-31,33680485.55042187,40021618.57067083
2017-01-31,33570829.610421255,39987572.359802544
2017-02-28,33803093.40115621,40379946.568699904
2017-03-31,33816430.139566556,40532359.598477945
2017-04-30,34540611.37484367,41455485.57822081
2017-05-31,34796526.45245989,41500725.807292044
2017-06-30,35312533.95956029,42077175.06779112
2017-07-31,35235402.615202,41831112.363402
2017-08-31,35355164.30331047,42077331.12660604
2017-09-30,35769820.166123964,42408909.215645805
2017-10-31,35726618.46485221,41963879.93901049
2017-11-30,35439302.85400263,41624162.6808852
2017-12-31,35298713.00968767,41479724.636636265
2018-01-31,35705692.128356285,42331620.76215886
2018-02-28,35012006.03911793,41260054.74647011
2018-03-31,34781451.79061006,40870065.584966004
2018-04-30,34957117.42827601,41184523.90972132
2018-05-31,34936780.677469365,41194375.62521292
2018-06-30,35180756.23655917,41632025.80925603
2018-07-31,35327661.15521188,41727866.88423056
2018-08-31,35762946.25948484,42180310.231245846
2018-09-30,35542988.843240865,41855843.8679341
2018-10-31,35011940.18640343,41863389.47820459
2018-11-30,35192256.67464436,42183807.413317844
2018-12-31,34915808.03976568,41474722.94515926
2019-01-31,36093304.30099429,43361208.88286683
2019-02-28,36472149.74108569,43836989.21590125
2019-03-31,36767743.6155761,44041319.91307808
2019-04-30,37644507.782037914,45278108.353814095
2019-05-31,37360423.88730201,45591119.46582816
2019-06-30,38342650.739478126,46452823.12904093
2019-07-31,38809784.575990714,47118824.73211708
2019-08-31,39732357.60061401,48590745.381014094
2019-09-30,39592415.8604531,48031349.83845165
2019-10-31,39159371.52413951,47283145.91889113
2019-11-30,39618328.4449613,47882217.23411661
2019-12-31,40092531.68735248,48876733.65408982
2020-01-31,40949725.525299914,49647639.53680009
2020-02-29,40990818.88685905,48942011.707879625
2020-03-31,39692152.77797301,46343734.9195115
2020-04-30,41348826.43708845,48986703.108486965
2020-05-31,42416163.34154,50029142.576675
2020-06-30,42534395.67943378,50007226.60265811
2020-07-31,44074119.00834178,51448953.82442748
2020-08-31,44362686.881163195,51406040.25004491
2020-09-30,43623422.71812933,50754623.78344656
2020-10-31,42337840.993314855,49417766.508841306
2020-11-30,43277937.44193183,51639384.01810463
2020-12-31,44754387.51577726,54114927.82468868
2021-01-31,45446116.077150375,55263015.50268611
2021-02-28,45040188.03900488,55217285.05250311
2021-03-31,45114963.043862835,55672576.26103553
2021-04-30,45718867.49235878,56772997.28730788
2021-05-31,46360764.553092845,57556486.59386173
2021-06-30,46696925.22970431,57697789.448910154
2021-07-31,47674964.53798118,59154007.30329953
2021-08-31,48020552.70633701,59379917.75506559
2021-09-30,46995012.17837539,58259127.6080873
2021-10-31,46709608.428568915,57662685.177682385
2021-11-30,47326236.779506445,58074219.0477477
2021-12-31,48205880.163688585,59537700.43890839
2022-01-31,46339346.88243063,56633563.38817353
2022-02-28,46614318.88635334,56982158.02577424
2022-03-31,46867450.686545335,57933076.45797921
2022-04-30,46110393.079810224,56749114.298173085
2022-05-31,45274292.65604811,55853248.33564381
2022-06-30,43894787.320942864,54874662.032501146
2022-07-31,45505796.8669606,56734852.34337126
2022-08-31,44781220.79393317,55590934.62668325
2022-09-30,43439813.866484985,54504494.15800256
2022-10-31,43926189.32419937,54576899.469760045
2022-11-30,44171074.65790951,55269151.02804776
2022-12-31,42605882.58908707,52832499.73857234
2023-01-31,44196040.67841233,55249620.89635274
2023-02-28,44366097.21059195,55436142.61791928
2023-03-31,45681860.554533556,57108360.84132862
2023-04-30,46575985.21248418,58240289.93543129
2023-05-31,46510725.74080445,57798416.27553749
2023-06-30,46316356.55892007,57157551.99170193
2023-07-31,46180590.329301134,56770221.06956204
2023-08-31,46480548.63867678,57232319.277823396
2023-09-30,45688308.15299761,56439658.235314995
2023-10-31,44793991.97426164,55622423.83462069
2023-11-30,46683600.703906074,58420588.06599106
2023-12-31,48625001.13058625,61035664.72396557
2024-01-31,48613348.68532771,60873383.59605773
2024-02-29,49013845.3223263,61983559.7601074
2024-03-31,51043660.82170349,65014147.734094955
2024-04-30,50857634.438962206,64591547.81097234
2024-05-31,51218512.2656903,65064506.13354246
2024-06-30,52644416.89033567,66483115.27678636
2024-07-31,53229588.88661427,67452575.02118444
2024-08-31,52903832.62388399,67210245.90591606
2024-09-30,52904350.12316069,67382753.78720498
2024-10-31,54088436.664156064,68559853.18645133
2024-11-30,54432077.80852669,68743343.72534421
2024-12-31,54919079.16993736,69361458.5006708
2025-01-31,56087787.24065868,70976441.10526659
2025-02-28,56545895.69687517,71184594.15807463
2025-03-31,57030996.35615875,71358315.09114909
2025-04-30,57275175.61253779,71518891.48059201
2025-05-31,57319205.702575386,70759610.63558346
2025-06-30,59133299.51957178,71935440.721716
2025-07-31,60816167.82508071,73532296.67910853
2025-08-31,61331519.02686221,74275109.12261541
2025-09-30,64382173.371905886,76955659.04073264
2025-10-31,68651519.245115,80287461.96751276
2025-11-30,69083194.21188724,80885055.3345663
2025-12-31,70667525.8575328,82592511.54414994
2026-01-31,75409952.07590233,90207549.42218992
2026-02-28,79430343.11441217,96468564.39405791
2026-03-31,74153018.4363445,88021422.0982922
2026-04-30,79513165.51770501,97726911.46813507
2026-05-31,87637589.25461741,101957567.95906493
2026-06-30,88020807.4049646,101989370.77263574
2026-07-31,79245849.43852812,95196881.0005864
2026-08-31,78897990.89243071,94723566.66183831
