,60/40 비용전,60/40 비용후(5bp),S&P500 100%
1976-04-30,2.24106304566564,2.2398525498763435,2.29159984774676
1976-05-31,2.2239791047668076,2.2227778367583015,2.265703012561861
1976-06-30,2.301867069426941,2.3006237307353095,2.3655163399832713
1976-07-31,2.3114476229997982,2.3101991094337775,2.3536260813864818
1976-08-31,2.3200630319135627,2.3188098647898325,2.348809943501015
1976-09-30,2.376904018269945,2.375620148853043,2.4093122256030153
1976-10-31,2.367418416551309,2.3661396707211626,2.3632137034311045
1976-11-30,2.3928550110205316,2.391562525777494,2.3524642072721877
1976-12-31,2.455330912740685,2.454004681541187,2.4837390991139516
1977-01-31,2.378495715377487,2.3771638464798333,2.3661252655710237
1977-02-28,2.350384874082238,2.349068746207352,2.3228814656355947
1977-03-31,2.3480243179732945,2.346709511921795,2.2984278007865524
1977-04-30,2.354334788727528,2.3530164490477463,2.307159431460322
1977-05-31,2.3411799117519547,2.3398689383126845,2.2611899404193365
1977-06-30,2.4099386736554607,2.408589197873794,2.3723047437232894
1977-07-31,2.385175998642435,2.383840389035284,2.342490805256652
1977-08-31,2.3701863707661186,2.3688591547915596,2.3019944824351732
1977-09-30,2.361336361914154,2.360014101614502,2.3052059548267008
1977-10-31,2.3126468537366156,2.3113518577457297,2.2142137231724015
1977-11-30,2.3531980509032686,2.3518803477542747,2.2831399321365744
1977-12-31,2.353029621112925,2.351712012278333,2.2990100370111635
1978-01-31,2.27461446114596,2.273294204926592,2.167083580700432
1978-02-28,2.2515348142061504,2.250227954123989,2.1230472302859655
1978-03-31,2.289111935996947,2.287783264997113,2.1857336668323497
1978-04-30,2.4061285582097054,2.4047319671619314,2.382306578265709
1978-05-31,2.416554400563803,2.415151758036341,2.4023852389988343
1978-06-30,2.39311933632793,2.3917302962328084,2.370247223081267
1978-07-31,2.496255823273951,2.494806919588467,2.5082546157334296
1978-08-31,2.545968147668142,2.5444903894200133,2.5836237830096094
1978-09-30,2.5391259453337875,2.537652158510418,2.5753277051637933
1978-10-31,2.374608472802214,2.3732301769818323,2.3500360883262545
1978-11-30,2.413626903020428,2.4122259597026146,2.3997641694760308
1978-12-31,2.448071000386692,2.4466500646549805,2.4462010941876104
1979-01-31,2.526392469668007,2.5248916613567696,2.554273512817194
1979-02-28,2.478081074609995,2.476608965776016,2.47196116022168
1979-03-31,2.5728996739582266,2.5713712379527305,2.6194195220327097
1979-04-30,2.5897064017898197,2.5881679817152934,2.635076434289495
1979-05-31,2.5826415305715145,2.58110730739734,2.577100365477751
1979-06-30,2.6536660273470187,2.652089611933775,2.6882944367111774
1979-07-31,2.6734960723328087,2.671907876843158,2.7235527687539856
1979-08-31,2.759446964908077,2.7578077101251917,2.8800356184285163
1979-09-30,2.713798954046686,2.7121868165525487,2.892132365212892
1979-10-31,2.5887209911487687,2.587183156459332,2.7059653872249814
1979-11-30,2.701982742106452,2.7003776240557715,2.8337147027562084
1979-12-31,2.7354601995567123,2.7338351941579724,2.893795861678953
1980-01-31,2.7517106870165233,2.7499791846620747,3.0732841550665455
1980-02-29,2.7045566110362196,2.702854780185381,3.07272330405886
1980-03-31,2.627250356291002,2.625597170075202,2.7730023781520123
1980-04-30,2.8109396109314346,2.809170839026195,2.9003183963649946
1980-05-31,2.9615645893520974,2.9597010373139003,3.048789041389049
1980-06-30,3.0059860294242844,3.004094525382108,3.1445775878128845
1980-07-31,3.0576270690336704,3.0557030700849275,3.3628210520498847
1980-08-31,3.021534604155716,3.0196333162384095,3.396325484741663
1980-09-30,3.0835456791396725,3.0816053710147377,3.495840631221535
1980-10-31,3.086949682636291,3.0850072325565003,3.5660119967738586
1980-11-30,3.3019904756578473,3.299912712065203,3.945380513066295
1980-12-31,3.2615009613179717,3.2594486755816083,3.826146568204909
1981-01-31,3.163825057593632,3.1616275708908654,3.6656906461201686
1981-02-28,3.20082813129402,3.1986049434981343,3.7290727482360833
1981-03-31,3.251441847824135,3.249183505439413,3.8783074979910577
1981-04-30,3.181693614016573,3.179483716414209,3.802349326412758
1981-05-31,3.2448178497272697,3.2425641081493173,3.811208675847838
1981-06-30,3.2117926517332,3.2095618483494035,3.786848166784452
1981-07-31,3.1911883643900065,3.188971872052691,3.793950917730529
1981-08-31,3.054404165729081,3.0522826791054922,3.573991169265785
1981-09-30,3.0000570614483326,2.9979733224994147,3.397411520160047
1981-10-31,3.2329609871655687,3.230715480966418,3.5803649154403985
