,해자+과열회피,기존 해자기업 고정,NASDAQ 40%,S&P500 100%
2019-04-10,276202.00525662536,359425.7858964615,78044.15332030461,80297.19873595821
2019-04-11,275310.56112436857,358259.3842894501,77860.88336345385,80300.2599114462
2019-04-12,275444.7122749154,359410.7423848154,77945.44833605157,80830.99036323601
2019-04-15,274234.22432606615,357030.2111122319,77769.08902169074,80780.1178348934
2019-04-16,274178.6301814862,358475.00813362567,77718.63188128886,80821.26383446816
2019-04-17,274517.3639093186,359650.64733283554,77693.73918770782,80637.49149225657
2019-04-18,274380.71231529745,360878.5143204072,77701.19439060768,80764.82553251104
2019-04-22,275520.39282613795,361495.1503368294,77781.1535455597,80846.56095429912
2019-04-23,276623.1316118796,362268.5271219956,78133.84267141062,81561.34203698124
2019-04-24,276705.8340507226,362249.1205569994,78090.261699587,81382.57889102273
2019-04-25,278010.6180778166,361497.4214507028,78317.53174926399,81352.55086361943
2019-04-26,276368.59618021245,360196.8337972943,78495.77537584116,81733.71133081181
2019-04-29,276799.18340377754,360469.545833145,78487.67314271281,81821.29081489514
2019-04-30,276538.66993936984,358590.46813104645,78249.37164826642,81899.13698268181
2019-05-01,277756.05208280956,357283.86661900574,78078.58001717908,81284.71630081008
2019-05-02,277057.7089670326,357172.91525231855,77808.34393443845,81112.06871829875
2019-05-03,278505.4110087775,359277.1269077025,78486.71028934747,81893.84949774801
2019-05-06,277187.29091083317,357079.8335925519,78315.29974579478,81527.70304425727
2019-05-07,274048.4036119446,354287.4052148447,77672.8036739561,80181.54603276547
2019-05-08,274387.48285959044,354644.36238591035,77653.29232511984,80052.82054910739
2019-05-09,273414.08422627026,352829.17516766937,77528.60200837653,79810.94696038311
2019-05-10,272958.9020910376,352148.3323440039,77574.25527725989,80107.86740766087
2019-05-13,267906.6997682575,346000.52954300574,76556.58175854228,78174.81993110289
2019-05-14,269414.28817512875,349184.629645709,76982.5948464676,78801.46495234022
2019-05-15,270605.08198676613,350616.30758666806,77374.10653619707,79261.58474204222
2019-05-16,270338.1425309365,350554.3125080671,77578.6406093978,79966.6392959565
2019-05-17,268508.9879085897,347039.1139932381,77043.82646122978,79499.84736544586
2019-05-20,265587.32828099,341206.6205541727,76490.04174543553,78963.2728513608
2019-05-21,267068.2910972458,343127.9131985408,76755.26141074678,79634.13183518968
2019-05-22,266219.21739610826,341873.86083398433,76650.70037313495,79409.21349340332
2019-05-23,264006.2871706379,340210.3852169983,76288.82000880782,78463.12021680694
2019-05-24,263311.4903543432,339347.3844579035,76308.54975477364,78569.32467991256
2019-05-28,262675.83691816777,338409.2422671062,76115.43695666458,77911.25340033951
2019-05-29,261785.69655830908,336876.802081275,75914.0536529036,77372.73765301818
2019-05-30,261865.82962000807,337210.4239260437,75991.7615678696,77535.10212940021
2019-05-31,259931.69934698436,336883.1709931096,75744.25254075366,76511.99755105932
2019-06-03,257998.95282737887,336243.5801205956,75592.38770322068,76300.42349089026
2019-06-04,262644.1561747939,340426.128711498,76551.72066085234,77935.72244165708
2019-06-05,263575.8526226319,339577.31020015903,76943.4566613475,78571.82249051031
2019-06-06,264772.71908313397,341204.35731838626,77125.34177353422,79053.90672340333
2019-06-07,267426.0471412728,343796.89304787293,77759.49461435505,79883.79071944552
2019-06-10,268332.7700628537,345099.4085955263,77910.7366624875,80256.05273638344
2019-06-11,269411.9828096434,345969.5212167629,77837.17472065092,80227.97272974525
2019-06-12,268233.28851840686,344305.74221742543,77845.07610803323,80064.50188616912
2019-06-13,269365.17670688767,345664.8177861664,78097.76362515317,80392.55672804429
