Date,WealthMultiple_Net,Drawdown_Net
2011-12-31,1.4834155943212508,-0.033447865344925165
2012-01-31,1.5389699451831163,-0.021091405900943827
2012-02-29,1.5339174281408212,-0.016509871334777326
2012-03-31,1.5259680197143317,-0.03069305849760584
2012-04-30,1.5397270006909818,-0.030592431326191494
2012-05-31,1.5238182653534333,-0.03503310933200354
2012-06-30,1.5411116620545848,-0.021776206400065945
2012-07-31,1.564069753388338,-0.013146115439009232
2012-08-31,1.587324090890754,-0.012969662342661503
2012-09-30,1.6059681928551304,-0.0046918174201827645
2012-10-31,1.5842622580497527,-0.024818512508438917
2012-11-30,1.5892452775095693,-0.02563500719877665
2012-12-31,1.5734889883608507,-0.026587141367022893
2013-01-31,1.579597549863637,-0.02712764581600724
2013-02-28,1.5697012857462382,-0.03400834937004682
2013-03-31,1.587155346187015,-0.027887034216622753
2013-04-30,1.5852746940915152,-0.0418505525710946
2013-05-31,1.5464744026553747,-0.04100882181326826
2013-06-30,1.4920682617234908,-0.08027330011939049
2013-07-31,1.5278436674897844,-0.07998369270310768
2013-08-31,1.525311834996596,-0.06446600098493549
2013-09-30,1.5260982068937134,-0.06113027265545101
2013-10-31,1.5514484046561186,-0.06254176449314319
2013-11-30,1.5387829168435312,-0.0544150286061682
2013-12-31,1.533959796461385,-0.05719585159858187
2014-01-31,1.5543466513157909,-0.048402733834406964
2014-02-28,1.598051784792503,-0.03959268643755609
2014-03-31,1.5911643535129136,-0.013640751545734187
2014-04-30,1.604512045104461,-0.014646079897593811
2014-05-31,1.6137936187239774,-0.006719726141346749
2014-06-30,1.6457428839133907,-0.0094767983888141
2014-07-31,1.6278413736720478,-0.014606259809242905
2014-08-31,1.666107218651699,-0.012847387139957478
2014-09-30,1.6257629813889598,-0.02607975399063356
2014-10-31,1.6365589767291635,-0.02411331730042021
2014-11-30,1.660141522319556,-0.022575035795026732
2014-12-31,1.679051769300419,-0.009678967203457178
2015-01-31,1.7443058438183274,-0.008805251817165072
2015-02-28,1.712277134781842,-0.027510130281812706
2015-03-31,1.7009470644452722,-0.04371408395757248
2015-04-30,1.6894610051522672,-0.03292781525795452
2015-05-31,1.6872675428639416,-0.0420880444410453
2015-06-30,1.6553659504848197,-0.052444323129751225
2015-07-31,1.6553663725272865,-0.05798179797827696
2015-08-31,1.640339499794571,-0.06711100376478296
2015-09-30,1.6304929679317384,-0.07006362258107013
2015-10-31,1.6716401621925423,-0.06529295220229514
2015-11-30,1.642458646876223,-0.06716965640675543
2015-12-31,1.6319403024869037,-0.06706522200863774
2016-01-31,1.6552374613696226,-0.0703369338099622
2016-02-29,1.7145478395532723,-0.05095192208506749
2016-03-31,1.7366281846301475,-0.019701320612669937
2016-04-30,1.7590779575918998,-0.010524862357443321
2016-05-31,1.7396355236592262,-0.013600644154444064
2016-06-30,1.812976405295354,-0.011231451673956894
2016-07-31,1.8487344333971756,-0.01580102478824308
2016-08-31,1.827707034146239,-0.013601920081408814
2016-09-30,1.8240424177620647,-0.026181955911543597
2016-10-31,1.7811208673656773,-0.042907495805184825
2016-11-30,1.7197428839561573,-0.07167583367596786
2016-12-31,1.7186477029805842,-0.07866176138368719
2017-01-31,1.753417538033558,-0.06748500486419762
2017-02-28,1.7920333448869143,-0.05557518162980779
2017-03-31,1.7876454477706305,-0.05176293855143188
2017-04-30,1.8073703473445342,-0.033501047743977
2017-05-31,1.8217106024786343,-0.03583419871964966
2017-06-30,1.8185404199211574,-0.018344524056828515
2017-07-31,1.8359686069389896,-0.02800363767664016
