Date,Strategy_Gross,Strategy_Net,KOSPI,SP500,Position,Mom12_KR,Mom12_US
2004-05-31,-0.06837884196374766,-0.06837884196374766,-0.06837884196374766,0.01208345009735412,KOSPI,0.26904739351457185,0.16302579154758212
2004-06-30,-0.022454717356688025,-0.022454717356688025,-0.022454717356688025,0.017988998771432563,KOSPI,0.17294344185213384,0.17069262782997696
2004-07-31,-0.06420290408378826,-0.06420290408378826,-0.06420290408378826,-0.034290519520026264,KOSPI,0.030580782598946143,0.11250009938220318
2004-08-31,0.0022873503233691306,0.0012850629730458696,0.09278701009057033,0.0022873503233691306,SP500,0.05806680974890388,0.09546530246373708
2004-09-30,0.009363875526838816,0.009363875526838816,0.0392249586221487,0.009363875526838816,SP500,0.19722731964674867,0.11908992122305384
2004-10-31,-0.00029936893029491873,-0.0012990695613646075,-0.00029936893029491873,0.014014243690939843,KOSPI,0.06707909402321177,0.07565359917540881
2004-11-30,0.03859493629597055,0.03755634135967467,0.05177039911839376,0.03859493629597055,SP500,0.10284106609058252,0.10926100968833663
2004-12-31,0.03245821284320516,0.03245821284320516,0.02034029565177775,0.03245821284320516,SP500,0.10510540143824532,0.08993452410946756
2005-01-31,0.041052772568979545,0.040011719796410494,0.041052772568979545,-0.025290467442294018,KOSPI,0.09923394225103133,0.04432736682078575
2005-02-28,0.084335799292377,0.084335799292377,0.084335799292377,0.018903346132113308,KOSPI,0.1448235267483191,0.05123415828051159
2005-03-31,-0.04516690397089074,-0.04516690397089074,-0.04516690397089074,-0.01911765556028966,KOSPI,0.09674048835888693,0.048285849680768766
2005-04-30,-0.056312650153259924,-0.056312650153259924,-0.056312650153259924,-0.020108582083263493,KOSPI,0.056163367484122206,0.04474841919338135
2005-05-31,0.06464391528585556,0.06464391528585556,0.06464391528585556,0.02995204663120865,KOSPI,0.20696904856687892,0.06319372425212211
2005-06-30,0.03911524309170167,0.03911524309170167,0.03911524309170167,-0.00014271417986777557,KOSPI,0.282989093778236,0.044256856129746946
2005-07-31,0.10229527059196952,0.10229527059196952,0.10229527059196952,0.03596828690361842,KOSPI,0.511260097369924,0.12023026406907711
2005-08-31,-0.02515994924817111,-0.02515994924817111,-0.02515994924817111,-0.011222104598600069,KOSPI,0.34814639670470515,0.10513110089019007
2005-09-30,0.127089621814221,0.127089621814221,0.127089621814221,0.00694902431673361,KOSPI,0.46212983031769017,0.10248713151401567
2005-10-31,-0.0515147296090942,-0.0515147296090942,-0.0515147296090942,-0.01774077993231349,KOSPI,0.3872238991902639,0.06796147753687976
2005-11-30,0.12030808817815242,0.12030808817815242,0.12030808817815242,0.035186096519093324,KOSPI,0.47762111928569806,0.06445625193103988
