Date,Strategy_Gross,Strategy_Net,KOSPI,SP500
2001-07-31,-0.44861595037677426,-0.4499944105008322,-0.5050139749206829,-0.23294223457422358
2001-08-31,-0.46867312189809884,-0.47000143909335346,-0.48527912071309864,-0.2608447630902764
2001-09-30,-0.5395534813177512,-0.5418528361204206,-0.5573727149116181,-0.36770847518635086
2001-10-31,-0.5288271480469726,-0.531180067476413,-0.5470614896510047,-0.32008034554915576
2001-11-30,-0.4655594625185068,-0.46822832495255484,-0.4862422571385405,-0.29025964456668585
2001-12-31,-0.367657114798864,-0.37081487708183714,-0.39212872035050617,-0.2671624569486081
2002-01-31,-0.3040947497849372,-0.3075699266281985,-0.3310262124187944,-0.2794311845837817
2002-02-28,-0.285195972117375,-0.28876552473161377,-0.312858815531047,-0.29283249867816963
2002-03-31,-0.19455256238958696,-0.19857476553115372,-0.22572329657047896,-0.25904438856634315
2002-04-30,-0.176361015487131,-0.18047406266604193,-0.2082357606889258,-0.30246947323061735
2002-05-31,-0.21772419259633302,-0.22163068240955486,-0.2479981870373169,-0.31291816671237926
2002-06-30,-0.3105776984650781,-0.314020501083368,-0.3372582716422421,-0.36264775889814005
2002-07-31,-0.3145362262197702,-0.3179592609400851,-0.341063604774135,-0.4777604437386158
2002-08-31,-0.3381695209537384,-0.3414745369084754,-0.36378229339779433,-0.4536027150108144
2002-09-30,-0.36504429002777694,-0.3682151001044506,-0.3896170116331773,-0.46625112922993717
2002-10-31,-0.42631797770462376,-0.42918280230346106,-0.4485194138087325,-0.4914694789846553
2002-11-30,-0.363836104137387,-0.3670129475923508,-0.38845558241426204,-0.4263744878107101
2002-12-31,-0.38357962966327075,-0.3866578788876396,-0.4074350355038526,-0.42689167192521793
2003-01-31,-0.42699574052118383,-0.4298571805419561,-0.449170947273002,-0.4470493453503218
2003-02-28,-0.43496190927814493,-0.437783568243687,-0.45682882610666264,-0.46488286696856185
2003-03-31,-0.4590655523193252,-0.4631124266081368,-0.5134839099561868,-0.475776779132534
2003-04-30,-0.42005244538498565,-0.42439118708962953,-0.49146396736667186,-0.4379689141299351
2003-05-31,-0.3809920448882922,-0.3856230078244708,-0.4378116029611724,-0.40011521661715
2003-06-30,-0.3467415687358206,-0.35162876858187864,-0.398568514881402,-0.36692284922055163
2003-07-31,-0.3387700676866261,-0.3437169044494628,-0.36286636954222695,-0.3591976138004844
2003-08-31,-0.34778190341040605,-0.35266132023642427,-0.3377964949388126,-0.3679310445688595
2003-09-30,-0.3271708576548561,-0.3322044711889808,-0.3427443722616711,-0.34795674114309716
2003-10-31,-0.312139833771063,-0.3172858983874781,-0.3349731832603112,-0.3333900745403643
2003-11-30,-0.316867463818575,-0.3236732143793808,-0.2883649342801028,-0.3232883015934209
2003-12-31,-0.2775738595105095,-0.2865591473709034,-0.2589515032482249,-0.30665937182528946
2004-01-31,-0.236862697430394,-0.2482384508805252,-0.22452409729566403,-0.2742985028632732
2004-02-29,-0.22363049911488964,-0.23520349914847782,-0.21107795739537705,-0.2624880204127691
2004-03-31,-0.21127177456459412,-0.22302900069087728,-0.1985194138087325,-0.28552630905960474
2004-04-30,-0.19822542173104873,-0.21017712412360579,-0.18526212418794374,-0.27507098245082373
2004-05-31,-0.32261180280643,-0.33270933190814767,-0.31165961625623206,-0.29025964456668585
2004-06-30,-0.3134960819163247,-0.32372949507588744,-0.302396510046835,-0.2689562782627153
2004-07-31,-0.3210971621284614,-0.33121726931522355,-0.31012048647832,-0.2902793041961641
2004-08-31,-0.3448154973630384,-0.356195590602821,-0.3205261368786826,-0.30392284730253893
2004-09-30,-0.31998793447513896,-0.33179926499151136,-0.22963249735609614,-0.277545698249302
2004-10-31,-0.33566401118941325,-0.3488350516486578,-0.23691267563076002,-0.2832545030141568
2004-11-30,-0.3154345444784634,-0.33068413513142925,-0.21092687717177827,-0.2598758470423286
2004-12-31,-0.2872407877846781,-0.3031184312338838,-0.2028629702371959,-0.22939391120496577
2005-01-31,-0.2867448833958366,-0.30437698982933437,-0.17770811300800715,-0.2381142355536886
2005-02-28,-0.24530132441810182,-0.26395794119280447,-0.12992899229490862,-0.2247521608010643
2005-03-31,-0.21744568329492464,-0.23679090870014874,-0.09781500226620332,-0.23706020769519454
2005-04-30,-0.2536064170669997,-0.2720577268286626,-0.1395037014654782,-0.2552996287366882
2005-05-31,-0.25154242954478834,-0.27004476235111197,-0.13712418794379821,-0.24446461554395793
2005-06-30,-0.20592994338925374,-0.22555984498810122,-0.0845388276174649,-0.2204771503958458
2005-07-31,-0.16619818358668614,-0.18681027879525403,-0.03873319232512473,-0.21802209422684582
2005-08-31,-0.12922659757374233,-0.1507526531934168,-0.05933358107271147,-0.21104316551362134
2005-09-30,-0.09383576390915882,-0.11623670276684672,-0.021102086319477742,-0.20770430510722004
2005-10-31,-0.08322148729777301,-0.08879807982880705,-0.08322148729777301,-0.22954447519658028
2005-11-30,-0.04445980374034575,-0.050272176355687814,-0.04445980374034575,-0.2125750981862633
2005-12-31,-0.012439447401471182,-0.012439447401471293,-0.012439447401471293,-0.18276742370625254
2006-01-31,-0.08746720683082587,-0.08746720683082598,-0.08746720683082587,-0.18276742370625254
2006-02-28,-0.08295880544946854,-0.08295880544946876,-0.08295880544946865,-0.17851854622314545
2006-03-31,-0.07874580634270889,-0.07874580634270889,-0.07874580634270889,-0.1670943834836096
2006-04-30,-0.029568361009713162,-0.029568361009713162,-0.02956836100971305,-0.15851806991667516
2006-05-31,-0.1153410254659657,-0.11534102546596592,-0.1153410254659657,-0.17734016721234125
2006-06-30,-0.17808424933433487,-0.17808424933433487,-0.17808424933433475,-0.19887265610864646
2006-07-31,-0.15790264217928585,-0.15790264217928596,-0.15790264217928585,-0.1918020623750495
2006-08-31,-0.12107598825698107,-0.12107598825698107,-0.12107598825698096,-0.17120580339475444
2006-09-30,-0.09330238274049296,-0.09330238274049307,-0.09330238274049296,-0.15282884486410553
2006-10-31,-0.09920120161125134,-0.09920120161125157,-0.09920120161125145,-0.1284092674534355
2006-11-30,-0.06168498668669353,-0.061684986686693755,-0.06168498668669353,-0.1068177996686952
2006-12-31,-0.02410852713038214,-0.026548255812556265,-0.05988939714617336,-0.08559962509246422
2007-01-31,-0.015025331977403078,-0.0174877686474596,-0.07435652352017474,-0.07708876370659767
2007-02-28,-0.041543360474285196,-0.041543360474285196,-0.055847613845838584,-0.0840741657124554
2007-03-31,-0.05861562496262873,-0.05861562496262862,-0.06386264225900151,-0.10038886107770562
2007-04-30,-0.02406692123626808,-0.024066921236267858,-0.013632394531402525,-0.06737323055342981
2007-05-31,-0.013956277330703482,-0.013956277330703593,-0.010213168760158653,-0.026946638970564152
2007-06-30,-0.04134745692397046,-0.04134745692397057,-0.04134745692397046,-0.031484349664599676
2007-07-31,-0.060372613784913876,-0.060372613784913876,-0.06037261378491399,-0.06297804317293842
2007-08-31,-0.18268952510203473,-0.18268952510203473,-0.18268952510203473,-0.09425142878970871
2007-09-30,-0.0951492351139096,-0.0951492351139096,-0.09514923511390982,-0.06527674540359751
2007-10-31,-0.07530417466061157,-0.07530417466061157,-0.07530417466061146,-0.041222897821187376
2007-11-30,-0.14140010170230288,-0.14140010170230266,-0.14140010170230277,-0.10090409944571344
2007-12-31,-0.10898128193331236,-0.10898128193331236,-0.10898128193331247,-0.07619077924791462
2008-01-31,-0.23042351744678802,-0.23042351744678802,-0.23042351744678802,-0.16270007375771822
2008-02-29,-0.20973436327093975,-0.20973436327093986,-0.20973436327093975,-0.15250938856902774
2008-03-31,-0.23750393491052624,-0.23750393491052624,-0.23750393491052613,-0.186423042357302
2008-04-30,-0.17560597622103313,-0.17560597622103302,-0.17560597622103302,-0.1513146180435072
2008-05-31,-0.1279850836622517,-0.1279850836622516,-0.12798508366225148,-0.12089574018564908
2008-06-30,-0.18884180448943022,-0.1888418044894301,-0.1888418044894301,-0.1832220650148899
2008-07-31,-0.2699711843475313,-0.2699711843475313,-0.2699711843475313,-0.22377406943177391
2008-08-31,-0.24780506979002948,-0.2496855571155544,-0.2860740489623943,-0.20198703620554792
2008-09-30,-0.33367743954708096,-0.3353432459482131,-0.327917282127031,-0.29309010210729314
2008-10-31,-0.48875245009543367,-0.49003056897019504,-0.5453664915127008,-0.45761111096812446
2008-11-30,-0.5468558692897831,-0.5479887296165586,-0.540552582512047,-0.5192537515864695
2008-12-31,-0.5084514649889738,-0.5096803363265012,-0.5125360195655859,-0.47851004105614936
2009-01-31,-0.5150700355232805,-0.5162823604344724,-0.47047000992808186,-0.48553176491526984
2009-02-28,-0.5437083966080173,-0.5459870028024559,-0.489168704748529,-0.5303389353166571
2009-03-31,-0.5592729847156439,-0.5614738652482201,-0.5065936993001914,-0.5677538774277282
2009-04-30,-0.46646080076646934,-0.46912516214264166,-0.4026878465748117,-0.4817876852453912
2009-05-31,-0.41080377169678484,-0.41374607036187383,-0.3403782357071943,-0.43933807887856446
2009-06-30,-0.41144400489298516,-0.4143831063935507,-0.34109499479381067,-0.4294221230570745
2009-07-31,-0.40383907273811925,-0.40681615136863314,-0.33258105915683955,-0.43830943285329593
2009-08-31,-0.33123316756902355,-0.3345728219384756,-0.2512967043610915,-0.37403445983682826
2009-09-30,-0.30449477982771156,-0.30796795902094687,-0.22136232656125143,-0.36443792321288837
2009-10-31,-0.31620931695818766,-0.31962399668162755,-0.23447708065961204,-0.3449765549974656
2009-11-30,-0.34051654891392813,-0.34380984439778906,-0.2616897111170303,-0.33368687434724964
2009-12-31,-0.32095482923002383,-0.32434581105155624,-0.23978981524081655,-0.3023416769168602
2010-01-31,-0.30680481041400187,-0.3102664538919968,-0.22394847083323244,-0.31388686172802704
2010-02-28,-0.32827857788655856,-0.3316329867382374,-0.24798895803569276,-0.324831502571147
2010-03-31,-0.3102006418938482,-0.3136453274383907,-0.22775019977238053,-0.2871546218994675
2010-04-30,-0.26433105218625796,-0.26983478699691676,-0.17412887134658694,-0.2472926191040523
2010-05-31,-0.33311464801143276,-0.33810379447108063,-0.24409521272731682,-0.31766927482132057
2010-06-30,-0.35636929956907415,-0.3611844718034024,-0.2104026926895416,-0.3414625148644381
2010-07-31,-0.3619194766735204,-0.36827639374226784,-0.19034312419788368,-0.34665686922078787
2010-08-31,-0.3428627836505328,-0.3494095542138206,-0.16616219095818108,-0.33091399906205954
2010-09-30,-0.3264739513171242,-0.33318399664619547,-0.14536649151270065,-0.30978499044082186
2010-10-31,-0.29112002632775236,-0.2981822873427695,-0.10050609003075284,-0.27353288083515226
2010-11-30,-0.27653266787915265,-0.2837402563638539,-0.08199627091556305,-0.24713928541039265
2010-12-31,-0.2636399162205001,-0.27097594954889415,-0.06563672906022233,-0.22942214645489145
2011-01-31,-0.21004988482939868,-0.2179198121928102,-0.02172340938417261,-0.188735916561513
2011-02-28,-0.2598308676250781,-0.26720484883802087,-0.08337232770396419,-0.16683384406868074
2011-03-31,-0.2657009244785439,-0.2730164248834347,-0.09064182370763207,-0.19695876735308837
2011-04-30,-0.20254247141537574,-0.21048719185384446,-0.019259022826377703,-0.16612465623732375
2011-05-31,-0.22297316994372596,-0.23071434827198545,-0.08662784437585247,-0.15900711831784675
2011-06-30,-0.22916382808177638,-0.23684333159166127,-0.09390478070490271,-0.19150239644340705
2011-07-31,-0.20822796340796434,-0.21807575167289261,-0.05349131433493659,-0.17434111162560306
2011-08-31,-0.3727996155555622,-0.3821490169191739,-0.23251202354461276,-0.2847586854451305
2011-09-30,-0.35891507803519673,-0.37005027149171965,-0.25852864116000285,-0.278305567533938
2011-10-31,-0.37612899740143135,-0.3869651972055992,-0.25233292656664996,-0.2976839514919579
2011-11-30,-0.3423936256825557,-0.35381578512724376,-0.20303639365443982,-0.25970672084353175
2011-12-31,-0.3159003019274571,-0.3277826317414859,-0.20279861460053117,-0.22988214753587055
2012-01-31,-0.28624567053551253,-0.29864308040542387,-0.18061786662838286,-0.19649876627210927
2012-02-29,-0.24850909347035677,-0.26156196109884355,-0.12100710645323398,-0.15401722188516365
2012-03-31,-0.24281102563964763,-0.25782295753039086,-0.11072877036824347,-0.1417052906129752
2012-04-30,-0.25478785057600983,-0.27138842563668797,-0.11977783360849914,-0.13197460650526383
2012-05-31,-0.28954748479850556,-0.3053737435555134,-0.20031763692484383,-0.1724627348819101
2012-06-30,-0.2989710004338041,-0.3145873380579369,-0.2000170483095256,-0.1834392747487874
2012-07-31,-0.2678590296800528,-0.28416842713444,-0.20621724930012209,-0.14719995594970992
2012-08-31,-0.2512718262646998,-0.2679507253644321,-0.17060871437800584,-0.1278791306213548
