Date,gross,min,base,conservative
2018-02-22,1.0645687783957152,1.0589134320593891,1.050467857307637,1.0364914587236582
2018-02-23,1.0731063135699337,1.0674056129838414,1.0588923071535785,1.0448038218759628
2018-02-26,1.0780390882419195,1.0723121831026454,1.0637597439462216,1.0496064977754256
2018-02-27,1.083184077723784,1.0774298406750953,1.0688365846225274,1.0546157914550804
2018-02-28,1.0752724031321954,1.069560195551986,1.0610297054197897,1.046912782213404
2018-03-02,1.0701983258995196,1.0645130735190778,1.0560228377127967,1.0419725305177847
2018-03-05,1.0514863731332074,1.0459005249206033,1.037558737198698,1.0237540935206462
2018-03-06,1.0743509861664922,1.0686436734621865,1.0601204932342625,1.046015667030002
2018-03-07,1.067719555480771,1.062047471160008,1.0535769002558817,1.039559136081174
2018-03-08,1.0831263416930623,1.0773724113575294,1.0687796133439098,1.054559578175189
2018-03-09,1.0989195539980925,1.0930817248228033,1.084363634054221,1.0699362546212536
2018-03-12,1.1061994456492592,1.1003229432483281,1.0915470987015286,1.077024143792904
2018-03-13,1.107720720013642,1.1018361360931532,1.093048222775765,1.0785052955203052
2018-03-14,1.1017793212754852,1.095926300057443,1.0871855218131392,1.072720597368391
2018-03-15,1.1049167663139345,1.099047077935758,1.0902814093065964,1.0757752943034902
2018-03-16,1.0957748805153773,1.0899537569001425,1.0812606138620473,1.0668745198874765
2018-03-19,1.0920835073570978,1.0862819935539205,1.0776181353949026,1.0632805043319158
2018-03-20,1.0904005349464136,1.0846079616570388,1.0759574550724686,1.0616419192406168
2018-03-21,1.0882298051476076,1.0824487635028424,1.0738154780327307,1.0595284410498982
2018-03-22,1.0894194311123016,1.0836320697754904,1.0749893466107785,1.0606866913917308
2018-03-23,1.0558142887959978,1.0502054492440982,1.0418293267417722,1.0279678631798683
2018-03-26,1.0574450406868974,1.0518275380341078,1.043438478239917,1.0295556050341448
2018-03-27,1.0680427266936146,1.062368925578999,1.0538957908511999,1.039873783860271
2018-03-28,1.0640186836280239,1.0583662595795689,1.049925048910792,1.0359558723531288
2018-03-29,1.0664821834894174,1.0608166725036048,1.0523559180790345,1.038354398983554
2018-03-30,1.077529938270653,1.071805737906761,1.0632573380047565,1.0491107763085403
2018-04-02,1.068232087052351,1.0625572799920107,1.054082643006117,1.0400581499608312
2018-04-03,1.0771036228097395,1.0713816871765336,1.0628366693754945,1.0486957046448526
2018-04-04,1.060305707177278,1.054673007704814,1.0462612533011493,1.0323408232781033
2018-04-05,1.0696643616448227,1.0639819458615578,1.0554959461695794,1.041452649228301
2018-04-06,1.064670756468318,1.0590148683902734,1.0505684846128838,1.0365907471899138
2018-04-09,1.0631663118795107,1.0575184159156124,1.0490839673926586,1.0351259813635372
2018-04-10,1.0614013814987338,1.0557628614368582,1.047342414687923,1.0334075998911123
2018-04-11,1.071348167048163,1.0656568063259593,1.057157448451128,1.0430920453426087
2018-04-12,1.0759487321924441,1.0702329317254706,1.06169707605208,1.0475712735278793
2018-04-13,1.0741160718276732,1.0684100070671096,1.0598886904920088,1.045786948406407
2018-04-16,1.0704502447932516,1.064763654135169,1.056271419773331,1.0422178052120497
2018-04-17,1.0746827316532193,1.0689736566056423,1.0604478445315069,1.0463386629420006
2018-04-18,1.0816389814245084,1.0758929524454832,1.0673119541507603,1.053111446081062
2018-04-19,1.1048512167609355,1.098981876603965,1.0902167280009976,1.0757114735779674
2018-04-20,1.1112307181139185,1.105327487906501,1.0965117286181096,1.081922719668847
2018-04-23,1.1265333428024906,1.1205488199212459,1.1116116598710362,1.0968217474326154
2018-04-24,1.11724055065851,1.1113053942053177,1.1024419569359158,1.0877740467293828
2018-04-25,1.1073329945683148,1.1014504703754084,1.092665633011682,1.07812779608526
2018-04-26,1.1110946383057885,1.1051921309999437,1.0963774512774904,1.081790228878497
2018-04-27,1.1101213455561203,1.1042240087077395,1.0954170504372387,1.0808426061017058
2018-04-30,1.1469801364909493,1.1408869933851384,1.1317876221861198,1.1167292700337477
2018-05-02,1.1874275101105467,1.1790737683637007,1.1666257121734642,1.146097813444942
2018-05-03,1.1831052739737444,1.1747819398468569,1.1623791945811528,1.1419260174040025
2018-05-04,1.1894308143131442,1.181062979002012,1.168593921745969,1.1480313904816137
2018-05-08,1.1879108663946534,1.179553724159327,1.1671006008419327,1.1465643459916555
2018-05-09,1.1785206780309212,1.1702295972670336,1.1578749132997415,1.137500993273385
2018-05-10,1.1839902256464656,1.1756606657435458,1.1632486433404554,1.1427801673781899
2018-05-11,1.2000028229649051,1.191560611888288,1.1789807260076595,1.1582354289566668
2018-05-14,1.2162606145252441,1.2077040272943669,1.1949537075125958,1.1739273505266947
2018-05-15,1.2258903761496145,1.2172660420112345,1.2044147713817037,1.1832219378995772
2018-05-16,1.193712195781539,1.1853142402695505,1.1728003003771896,1.1521637538449945
2018-05-17,1.2010458898367091,1.192596340618439,1.1800055200450232,1.159242190759701
2018-05-18,1.2137044008715083,1.2051657970110103,1.1924422745629082,1.1714601086493592
2018-05-21,1.2169721921583019,1.208410598865388,1.1956528194633165,1.174614160931877
2018-05-23,1.2033628642492604,1.1948970147467946,1.1822819048357704,1.16147852037597
2018-05-24,1.190901219443896,1.1825230395983637,1.1700385677712977,1.1494506165740561
2018-05-25,1.1632454866540614,1.1550618692955685,1.1428673184218396,1.1227574714264454
2018-05-28,1.2028481350284455,1.1943859067280687,1.1817761928333983,1.160981706861487
2018-05-29,1.1879484938679683,1.1795910869173711,1.1671375691431383,1.146600663800132
2018-05-30,1.1829434434732589,1.174621247849729,1.1622201990877246,1.14176981958883
2018-05-31,1.1972569272365308,1.1888340339739132,1.1762829339046532,1.155585107094118
2018-06-01,1.192470780015586,1.1840815580613269,1.171580632195573,1.1509655468952478
2018-06-04,1.189339707108315,1.1809725127508859,1.16850441059113,1.1479434543614255
2018-06-05,1.1949662568571235,1.1865594788256368,1.1740323923431883,1.1533741659707164
2018-06-07,1.2078653978801983,1.1993678723361727,1.1867055614034787,1.165824338462078
2018-06-08,1.1968400561017332,1.188420095593976,1.1758733656738545,1.1551827456093018
2018-06-11,1.1973446623080106,1.1889211518151848,1.1763691320004328,1.1556697884516993
2018-06-12,1.1854053771270576,1.177065861407971,1.1646390036696728,1.1441460629834288
2018-06-14,1.1617751646931587,1.153601891283952,1.1414227541093598,1.1213383256090355
2018-06-15,1.1551056398933883,1.146979287653918,1.1348700685322282,1.114900940821629
2018-06-18,1.1283118214359265,1.1203739679788236,1.1085456341784437,1.0890397101473634
2018-06-19,1.1016237010599919,1.0938736027824103,1.0823250462477771,1.0632804986187654
2018-06-20,1.115241679176713,1.1073957762530942,1.095704459545439,1.0764244883025333
2018-06-21,1.1028243642401203,1.0950658191057443,1.0835046757625653,1.0644393714204414
2018-06-22,1.0925136948639216,1.0848276869315832,1.0733746325375493,1.0544875760252725
2018-06-25,1.1010290620210532,1.0932831471238647,1.0817408243172753,1.0627065566336642
2018-06-26,1.0937266483434378,1.0860321070900902,1.0745663370456775,1.0556583113491953
2018-06-27,1.0765922557087528,1.0690182576379075,1.0577321110909175,1.0391202997517621
2018-06-28,1.064469525815043,1.0569808130807228,1.045821751700289,1.0274195145620448
2018-06-29,1.067034143213818,1.059527387987433,1.0483414411750762,1.0298948676829989
2018-07-02,1.045353073597882,1.0379988481510622,1.0270401886219676,1.008968431106118
2018-07-03,1.0410106442916642,1.0336869685269674,1.022773831611713,1.004777144740829
2018-07-04,1.045689744338756,1.0383331503596267,1.0273709614392519,1.009293383658321
2018-07-05,1.0511502054496795,1.0437551962565257,1.0327357641561212,1.0145637875241098
2018-07-06,1.0581579601979452,1.0507136503334713,1.0396207544433778,1.0213276298014358
2018-07-09,1.056119544179,1.0486895748960352,1.0376180481564177,1.0193601630530977
2018-07-10,1.0647964357473507,1.0573054231495647,1.0461429347024915,1.0277350460411632
2018-07-11,1.0608759701519408,1.0534125386543336,1.0422911492854003,1.0239510364840938
2018-07-12,1.0608298360097177,1.0533667290731523,1.042245823338285,1.023906508090506
2018-07-13,1.0619217640780183,1.0544509752534967,1.0433186226034838,1.024960430423333
2018-07-16,1.0627089344710956,1.0552326077774254,1.044092003052064,1.025720202500898
2018-07-17,1.059427540120526,1.051974298558993,1.0408680933914238,1.0225530206239273
2018-07-18,1.045253939626881,1.037900411603344,1.0269427913168396,1.0088727476000217
2018-07-19,1.0335417581886537,1.0262706272278375,1.015435788240749,0.9975682212834863
2018-07-20,1.0327666700177969,1.0255009919257707,1.0146742783535148,0.9968201108933511
2018-07-23,1.0114766133892072,1.0043607142380735,0.9937571888764236,0.9762710776745789
2018-07-24,1.0122024314336742,1.0050814260369405,0.9944702917697157,0.9769716328382746
2018-07-25,0.9973839285930358,0.9903671737250727,0.9799113849879495,0.962668903989924
2018-07-26,1.004610566464779,0.997542971047844,0.9870114239225009,0.9696440109272665
2018-07-27,1.0164904458169504,1.0093392735557474,0.9986831871179411,0.9811103982507718
2018-07-30,1.0178548098482463,1.0106940390686756,1.0000236497113388,0.9824272741187274
2018-07-31,1.0221197836971965,1.0149290081469868,1.004213908157911,0.986543800947575
2018-08-01,1.0299208314958166,1.0226751743312688,1.0118782942920312,0.9940733248540453
2018-08-02,1.022644661400025,1.0154501932515383,1.004729590857404,0.9870504097151971
2018-08-03,1.030236134778642,1.0229882594052568,1.0121880739743654,0.9943776536656496
2018-08-06,1.0290291698056968,1.0217897856232228,1.0110022530639171,0.9932126984118603
2018-08-07,1.027744967909877,1.0205146182923739,1.0097405482958122,0.9919731945496969
2018-08-08,1.033299906593844,1.0260304770975355,1.015198173492368,0.9973347875945832
2018-08-09,1.0317871186546967,1.0245283318625986,1.013711887136487,0.9958746538731562
2018-08-10,1.0366291395109786,1.0293362883305943,1.0184690836657242,1.0005481429651537
2018-08-13,1.0133117564449843,1.0061829467700283,0.9955601832117886,0.9780423465947241
2018-08-14,1.01978313562152,1.012608798762861,1.0019181943546056,0.9842884824312688
2018-08-16,1.0126983047207831,1.0055738107764585,0.99495747816366,0.9774502467201847
2018-08-17,1.0155623060858974,1.0084176634355986,0.997771306884818,0.9802145634252568
2018-08-20,1.0263020688237936,1.019081870231283,1.008322926454004,0.9905805171243374
2018-08-21,1.0388756635883418,1.0315670077530956,1.0206762522965271,1.0027164743462227
2018-08-22,1.0336873747188375,1.0264152193225276,1.0155788538062533,0.9977087694731008
2018-08-23,1.0297740710035852,1.022529446322486,1.0117341048048325,0.9939316725192169
2018-08-24,1.0267392532690212,1.0195159790142745,1.0087524521390856,0.9910024848928801
2018-08-27,1.0265887719473266,1.0193665563526568,1.0086046070053019,0.9908572412360758
2018-08-28,1.030630124406552,1.0233794772533535,1.0125751615450473,0.9947579300591329
2018-08-29,1.0355330658722584,1.0282479257445787,1.0173922114537546,0.9994902193529622
2018-08-30,1.0427471877535537,1.0354112951288892,1.024479953657646,1.006453245932419
2018-08-31,1.0502519275608735,1.0428632378958054,1.0318532226343569,1.0136967751671775
2018-09-03,1.0497872382691127,1.042401817767259,1.0313966739429008,1.0132482598879848
2018-09-04,1.0581007233238557,1.0506568161299115,1.0395645202661934,1.0212723851185526
2018-09-05,1.0618774358250211,1.0544069588568228,1.0432750709093535,1.0249176450630464
2018-09-06,1.0561843806324847,1.048753955214738,1.0376817487807315,1.0194227428038085
2018-09-07,1.0542112348848753,1.0467946908618784,1.0357431693361536,1.0175182745245341
2018-09-10,1.0607843604595804,1.0533215734507564,1.0422011444457937,1.0238626153659949
2018-09-11,1.059755652564557,1.0523001026796963,1.0411904578393008,1.0228697127600497
2018-09-12,1.0554090093221082,1.0479840387650834,1.0369199607141215,1.0186743591291303
2018-09-13,1.0584639098596615,1.0510174475905654,1.0399213443648259,1.0216229305548132
2018-09-14,1.0598235438686447,1.0523675163576414,1.0412571597982054,1.02293524103399
2018-09-17,1.0595587550141954,1.0521045903349764,1.0409970096136532,1.022679668441537
2018-09-18,1.0542354183945915,1.04681870423675,1.035766929190128,1.0175416163010813
2018-09-19,1.040076513639638,1.0327594096329291,1.0218560654088045,1.0038755275148137
