Code,Name,Market,Marcap,Amount,stock_code,year,quarter,available_date,equity,operating_cashflow,net_income,revenue,quarter_end,EY,BY,CFY,SY,EY_rank,BY_rank,CFY_rank,SY_rank,avg_rank,signal_date,exec_tradeable,execution_date
006200,한국전자홀딩스,KOSPI,42263231808.0,85851222.0,006200,2017,Q4,2018-04-02,262543366769.0,10311861937.0,3092736916.0,148426358374.0,2017-12-31,0.2927118238425464,6.212098685725762,0.9759653008881417,14.047800134953654,49.0,5.0,105.0,14.0,43.25,2018-04-30,True,2018-05-02
015750,성우하이텍,KOSDAQ,354000000000.0,2091821680.0,015750,2017,Q3,2017-11-14,1207404614003.0,267035690741.0,18095560291.0,796143923710.0,2017-09-30,0.2044696078079096,3.410747497183616,3.0173524377514123,8.995976539096045,103.0,30.0,15.0,30.0,44.5,2018-04-30,True,2018-05-02
021820,세원정공,KOSPI,122000000000.0,11267450.0,021820,2017,Q3,2017-05-15,545451735823.0,32028559662.0,15514043900.0,92993891673.0,2017-09-30,0.5086571770491803,4.470915867401639,1.0501167102295081,3.048980054852459,17.0,10.0,91.0,283.0,100.25,2018-04-30,True,2018-05-02
006120,SK디스커버리,KOSPI,811964515750.0,3273084250.0,006120,2017,Q3,2017-11-14,2869755262600.0,70981341392.0,58695006380.0,1851532014045.0,2017-09-30,0.289150598290785,3.5343358077036755,0.34967706107913127,9.12124595659093,52.0,26.0,302.0,29.0,102.25,2018-04-30,True,2018-05-02
079960,동양이엔피,KOSDAQ,91962000000.0,83390500.0,079960,2017,Q3,2017-11-14,196962783789.0,19984483419.0,4544500186.0,118764243933.0,2017-09-30,0.19766861033905309,2.141784473902264,0.8692496213218504,5.165796478241012,108.0,128.0,122.0,116.0,118.5,2018-04-30,True,2018-05-02
003960,사조대림,KOSPI,173452732500.0,469602250.0,003960,2017,Q3,2017-11-14,291434058066.0,25172548203.0,15312884871.0,256473077864.0,2017-09-30,0.3531310150100979,1.6801929486236258,0.5805050826282024,5.914535312702554,34.0,236.0,192.0,90.0,138.0,2018-04-30,True,2018-05-02
002020,코오롱,KOSPI,625975501500.0,1128507200.0,002020,2017,Q4,2018-04-02,913935633828.0,126473200186.0,44463084241.0,1236243097041.0,2017-12-31,0.2841202835219902,1.4600182141920452,0.8081670920535219,7.8996260657398905,56.0,334.0,136.0,46.0,143.0,2018-04-30,True,2018-05-02
002880,대유에이텍,KOSPI,114841133750.0,1572511095.0,002880,2017,Q3,2017-11-14,176783826932.0,26639662293.0,4797048046.0,295315954911.0,2017-09-30,0.16708466346014283,1.539377234962207,0.9278787634051897,10.286068946476245,152.0,296.0,111.0,24.0,145.75,2018-04-30,True,2018-05-02
014710,사조씨푸드,KOSPI,119324502990.0,308441190.0,014710,2017,Q4,2018-04-02,209512669156.0,28931841029.0,10200803300.0,103621506474.0,2017-12-31,0.3419516710949093,1.7558226844117526,0.9698541474394287,3.4736036229770515,37.0,206.0,106.0,237.0,146.5,2018-04-30,True,2018-05-02
003070,코오롱글로벌,KOSPI,291180558900.0,2907183200.0,003070,2017,Q4,2018-04-02,465432241338.0,129417480195.0,8131180533.0,1041017100748.0,2017-12-31,0.11169949757246654,1.5984317191239514,1.7778313316507615,14.300640189450505,266.0,265.0,45.0,12.0,147.0,2018-04-30,True,2018-05-02
000700,유수홀딩스,KOSPI,178125994080.0,832723260.0,000700,2017,Q4,2018-04-02,292199732815.0,65705549394.0,10828852882.0,156439090387.0,2017-12-31,0.24317288305796722,1.6404103978432658,1.4754848046375602,3.512998564751645,75.0,250.0,60.0,232.0,154.25,2018-04-30,True,2018-05-02
079660,사조해표,KOSPI,76612000000.0,89504250.0,079660,2017,Q4,2018-04-02,148829733481.0,54689115925.0,1555332337.0,115708600504.0,2017-12-31,0.08120567728293218,1.9426425818540176,2.8553811896308674,6.041278155067092,380.0,168.0,16.0,86.0,162.5,2018-04-30,True,2018-05-02
018670,SK가스,KOSPI,850186281300.0,1227821300.0,018670,2017,Q3,2017-11-17,1816008057744.0,69776435662.0,33555605826.0,1466725376145.0,2017-09-30,0.15787413447646276,2.136011951365746,0.3282877515045596,6.900724739534797,162.0,131.0,318.0,69.0,170.0,2018-04-30,True,2018-05-02
012700,리드코프,KOSDAQ,176009933400.0,471084590.0,012700,2017,Q4,2018-04-02,317307360307.0,69921457726.0,8557829339.0,109171081032.0,2017-12-31,0.19448514464354658,1.8027809804682309,1.5890343544894494,2.4810209042894846,112.0,194.0,51.0,390.0,186.75,2018-04-30,True,2018-05-02
054040,한국컴퓨터,KOSDAQ,57695931100.0,120190835.0,054040,2017,Q4,2018-04-02,94670192894.0,5682431177.0,3663634275.0,62158239000.0,2017-12-31,0.25399602399344934,1.6408469555663345,0.39395715217082267,4.309367251029596,69.0,249.0,271.0,161.0,187.5,2018-04-30,True,2018-05-02
004100,태양금속,KOSPI,62573500000.0,182709535.0,004100,2017,Q3,2017-11-14,110189138212.0,10208312113.0,1516533915.0,112747182804.0,2017-09-30,0.0969441642228739,1.7609553279263586,0.6525645593102511,7.207343863073026,317.0,204.0,171.0,63.0,188.75,2018-04-30,True,2018-05-02
002460,화성산업,KOSPI,206060740000.0,4205978750.0,002460,2017,Q4,2018-04-02,348653647090.0,76412559838.0,10724990675.0,132769163071.0,2017-12-31,0.20819086013182328,1.6919945404932546,1.4833016680033275,2.5772820784978254,102.0,233.0,58.0,363.0,189.0,2018-04-30,True,2018-05-02
012620,원일특강,KOSDAQ,47080000000.0,327995400.0,012620,2017,Q4,2018-03-30,103211761736.0,3869065446.0,1535964258.0,59402209041.0,2017-12-31,0.13049823772302463,2.1922634183517418,0.3287226377230246,5.046916655989804,218.0,116.0,317.0,119.0,192.5,2018-04-30,True,2018-05-02
000880,한화,KOSPI,2106340453500.0,5993336300.0,000880,2018,Q2,2018-08-14,16561805000000.0,600154000000.0,416142000000.0,12622249000000.0,2018-06-30,0.7902654090102439,7.862833841737256,1.1397093931377604,23.970007277838192,15.0,5.0,70.0,8.0,24.5,2018-10-31,True,2018-11-01
084870,TBH글로벌,KOSPI,74667412020.0,97051490.0,084870,2018,Q1,2018-05-14,247829949405.0,33781560279.0,9433041253.0,194402176934.0,2018-03-31,0.5053364512204236,3.31911797530384,1.8097083782655523,10.414298375946311,37.0,88.0,32.0,61.0,54.5,2018-10-31,True,2018-11-01
024910,경창산업,KOSDAQ,54086697550.0,340051345.0,024910,2018,Q2,2018-08-14,187603387082.0,36727990435.0,4194841884.0,151100082234.0,2018-06-30,0.31023094949527014,3.468567976600376,2.716230947622351,11.174657657315223,115.0,72.0,10.0,48.0,61.25,2018-10-31,True,2018-11-01
017940,E1,KOSPI,415716000000.0,266759600.0,017940,2018,Q2,2018-08-14,1326616965893.0,238316509836.0,39204874241.0,1032175188877.0,2018-06-30,0.37722747492037834,3.1911616726154395,2.2930703637675722,9.931541618576142,71.0,103.0,18.0,69.0,65.25,2018-10-31,True,2018-11-01
123040,엠에스오토텍,KOSDAQ,49921215370.0,99083710.0,123040,2018,Q2,2018-08-14,126567693697.0,38674452138.0,5737939396.0,188583685537.0,2018-06-30,0.4597595914660521,2.5353488042893377,3.098838988703091,15.110504352851056,48.0,189.0,5.0,19.0,65.25,2018-10-31,True,2018-11-01
006120,SK디스커버리,KOSPI,514973977750.0,1277828000.0,006120,2018,Q2,2018-08-14,2437591538432.0,85044721554.0,89406575457.0,1736466764646.0,2018-06-30,0.6944550934214656,4.733426626879692,0.6605749045850696,13.487802022408111,19.0,30.0,191.0,27.0,66.75,2018-10-31,True,2018-11-01
004140,동방,KOSPI,46015183500.0,144400785.0,004140,2018,Q2,2018-08-14,131818164029.0,13992660617.0,5442573259.0,124695093249.0,2018-06-30,0.4731110772599657,2.8646667035240663,1.216351608551121,10.839473735794186,45.0,133.0,59.0,51.0,72.0,2018-10-31,True,2018-11-01
013580,계룡건설,KOSPI,173259595800.0,129293350.0,013580,2018,Q2,2018-08-14,393224892035.0,115206514098.0,29209472908.0,616460585376.0,2018-06-30,0.6743516345661473,2.269570641783755,2.659743342146248,14.23206795628459,22.0,249.0,12.0,23.0,76.5,2018-10-31,True,2018-11-01
021820,세원정공,KOSPI,79600000000.0,20285340.0,021820,2017,Q3,2017-05-15,545451735823.0,32028559662.0,15514043900.0,92993891673.0,2017-09-30,0.7796001959798995,6.852408741494975,1.6094753598994975,4.673059883065327,16.0,11.0,36.0,248.0,77.75,2018-10-31,True,2018-11-01
