start,end,final_asset,cum_return,cagr,ann_vol_monthly,mdd_daily,mdd_date,max_recovery_days,max_recovery_months,max_recovery_peak,max_recovery_date,sharpe_monthly_rf0,scenario,period,cost_case
2001-01-02,2026-08-31,61986.22909451525,5.171198449720574,0.0729247134819837,0.10257412119430828,-0.28147111130194324,2008-11-20,1401,46.02874743326489,2021-11-09,2025-09-10,0.7397905791609776,tips_2_5x,from_2001,gross
2001-01-02,2026-08-31,61907.35029455014,5.163397356377036,0.07287166634023556,0.102574917610369,-0.28147111130194336,2008-11-20,1401,46.02874743326489,2021-11-09,2025-09-10,0.7393012580365786,tips_2_5x,from_2001,net_5bp_one_way
2021-01-04,2026-08-31,12077.22692522722,0.20529472327664733,0.03639201475946785,0.11516910971789636,-0.26864893050107364,2022-10-24,1401,46.02874743326489,2021-11-09,2025-09-10,0.3677631928920299,tips_2_5x,from_2021,gross
2021-01-04,2026-08-31,12073.566719935345,0.2049690571470042,0.03634185470398288,0.11516178333090375,-0.26869380788013086,2022-10-24,1401,46.02874743326489,2021-11-09,2025-09-10,0.36735823776557597,tips_2_5x,from_2021,net_5bp_one_way
2000-12-29,2026-08-31,61986.22909451525,5.198622909451525,0.07366462640315685,0.10246527302710369,-0.28147111130194324,2008-11-20,1401,46.02874743326489,2021-11-09,2025-09-10,0.747236681225953,tips_2_5x,longest,gross
2000-12-29,2026-08-31,61907.35029455014,5.190735029455014,0.07361136287255143,0.10246603781897527,-0.28147111130194336,2008-11-20,1401,46.02874743326489,2021-11-09,2025-09-10,0.7467453071950294,tips_2_5x,longest,net_5bp_one_way
2001-01-02,2026-08-31,63378.87920668562,5.304728582570472,0.07379933214119716,0.10453482231469333,-0.29107970046629916,2008-11-20,1401,46.02874743326489,2021-11-09,2025-09-10,0.735740627835363,tips_3_0x,from_2001,gross
2001-01-02,2026-08-31,63297.39243935001,5.296678418174878,0.07374570669473024,0.10453566675948239,-0.2910797004662993,2008-11-20,1401,46.02874743326489,2021-11-09,2025-09-10,0.7352554044889148,tips_3_0x,from_2001,net_5bp_one_way
2021-01-04,2026-08-31,12077.22692522723,0.20529472327664844,0.03639201475946807,0.11516910971789628,-0.26864893050107364,2022-10-24,1401,46.02874743326489,2021-11-09,2025-09-10,0.3677631928920312,tips_3_0x,from_2021,gross
2021-01-04,2026-08-31,12073.566719935336,0.20496905714700397,0.03634185470398266,0.11516178333090389,-0.26869380788013164,2022-10-24,1401,46.02874743326489,2021-11-09,2025-09-10,0.3673582377655754,tips_3_0x,from_2021,net_5bp_one_way
2000-12-29,2026-08-31,63378.87920668562,5.337887920668562,0.07459444956785277,0.1044306370767533,-0.29107970046629916,2008-11-20,1401,46.02874743326489,2021-11-09,2025-09-10,0.7435020516496793,tips_3_0x,longest,gross
2000-12-29,2026-08-31,63297.39243935001,5.329739243935001,0.07454058711706302,0.1044314450176547,-0.2910797004662993,2008-11-20,1401,46.02874743326489,2021-11-09,2025-09-10,0.7430147044268473,tips_3_0x,longest,net_5bp_one_way
2001-01-02,2026-08-31,59364.22926817403,4.906159689978955,0.07120157215160372,0.1014792728283797,-0.26864893050107386,2022-10-24,1401,46.02874743326489,2021-11-09,2025-09-10,0.7306664261639799,em_cash_pre2010,from_2001,gross
2001-01-02,2026-08-31,59286.88383458907,4.898516225434954,0.07114735092681035,0.10148027033764091,-0.2686938078801314,2022-10-24,1401,46.02874743326489,2021-11-09,2025-09-10,0.7301590787990442,em_cash_pre2010,from_2001,net_5bp_one_way
2021-01-04,2026-08-31,12077.226925227218,0.2052947232766471,0.03639201475946785,0.1151691097178964,-0.26864893050107397,2022-10-24,1401,46.02874743326489,2021-11-09,2025-09-10,0.3677631928920306,em_cash_pre2010,from_2021,gross
2021-01-04,2026-08-31,12073.566719935345,0.20496905714700442,0.03634185470398288,0.11516178333090375,-0.26869380788013153,2022-10-24,1401,46.02874743326489,2021-11-09,2025-09-10,0.36735823776557547,em_cash_pre2010,from_2021,net_5bp_one_way
2000-12-29,2026-08-31,59364.22926817403,4.936422926817403,0.07185819115038705,0.10136012368511275,-0.26864893050107386,2022-10-24,1401,46.02874743326489,2021-11-09,2025-09-10,0.73748821012707,em_cash_pre2010,longest,gross
2000-12-29,2026-08-31,59286.88383458907,4.928688383458907,0.07180374718496907,0.1013610909947643,-0.2686938078801314,2022-10-24,1401,46.02874743326489,2021-11-09,2025-09-10,0.7369786059153584,em_cash_pre2010,longest,net_5bp_one_way
