Date,NAV_Gross,NAV_Net,NAV_SPY
2008-04-30,23318.130332250104,23310.202380643437,11688.365670313768
2008-05-31,23433.17752069379,23425.2104540925,11865.05646300342
2008-06-30,23383.10193280492,23375.151891446723,10873.416997245022
2008-07-31,22699.553130466964,22691.83548946628,10775.714488454007
2008-08-31,22486.486008510456,22478.84080838765,10942.236759408843
2008-09-30,20893.596941463147,20886.49330909292,9911.767687348392
2008-10-31,17545.881079639323,17539.915640124498,8274.476199486864
2008-11-30,18251.795070811713,18245.589626979185,7698.518873938734
2008-12-31,20493.162137301017,20486.194649111465,7773.936236115166
2009-01-31,18796.262028643137,18787.199746261766,7135.586447077074
2009-02-28,17841.621444985452,17833.019425529168,6368.8695460208
2009-03-31,19394.129253328247,19384.77871993142,6899.467245150593
2009-04-30,19680.87101302721,19671.382232206877,7584.9017500940645
2009-05-31,21068.260205372204,21058.10251960606,8028.270022233803
2009-06-30,21038.503028484818,21028.359689610585,8023.009603103283
2009-07-31,21989.544007857585,21978.942141543255,8621.573755572546
2009-08-31,22442.273737794076,22431.453595917887,8940.050775028796
2009-09-30,23511.355376528896,23500.019796014738,9257.04013570045
2009-10-31,23288.379270856218,23277.15119429316,9079.070731372183
2009-11-30,24377.531203218008,24365.778011482995,9638.405204553106
2009-12-31,23956.633991442606,23945.083727788766,9822.50725920722
2010-01-31,23643.439535937545,23629.965779631835,9465.532225473584
2010-02-28,23755.8177008842,23742.279903303686,9760.806813855697
2010-03-31,24189.108988354754,24175.3242697961,10355.039545502685
2010-04-30,24831.22034036292,24817.069699922846,10515.23453603024
2010-05-31,24256.171962951586,24242.349027018696,9679.750585129288
2010-06-30,24632.064385030444,24618.027238179355,9178.910567017878
2010-07-31,25306.234493359963,25291.813155209868,9805.836650379933
2010-08-31,25986.96604914737,25972.156780506957,9364.766094715495
2010-09-30,26896.064886299377,26880.737546835513,10203.422696482934
2010-10-31,27090.112482608158,27074.674560670846,10593.215428940883
2010-11-30,26487.37123970984,26472.276803694276,10593.215428940883
2010-12-31,27038.743448874033,27023.3348007588,11301.395975391926
2011-01-31,26536.862258661786,26521.293955839497,11564.719689853353
2011-02-28,27230.312127073066,27214.337000058887,11966.44883413419
2011-03-31,27528.408685304046,27512.258674860037,11967.886033262863
2011-04-30,28629.38157218298,28612.58565721813,12314.492508768526
2011-05-31,28562.192711361986,28545.43621388822,12176.391639015259
2011-06-30,28122.56349224299,28106.064910748362,11970.98119251488
2011-07-31,28959.20503051131,28942.215618989583,11731.504170805963
2011-08-31,29510.126602071196,29492.813983013715,11086.559484951109
2011-09-30,29198.018402725033,29180.88888726561,10316.921780775341
2011-10-31,30263.655694886736,30245.901005135755,11442.983066730663
2011-11-30,30326.71517340615,30308.923488736626,11396.479988466388
2011-12-31,30359.117346301904,30341.306652345043,11515.55756793472
2012-01-31,31608.260903774073,31586.95073615852,12049.585622602344
2012-02-29,32049.304372648152,32027.69685522661,12572.60175842892
2012-03-31,31407.5884808244,31386.413605782578,12976.987243168245
2012-04-30,31800.493678504045,31779.05390829305,12890.356123527054
2012-05-31,31201.472629365748,31180.43671683618,12116.21399399441
2012-06-30,31799.51201102444,31778.072902649874,12607.905496272973
2012-07-31,32714.497882179232,32692.441893858646,12757.050723217526
2012-08-31,32919.036017581384,32896.84213043864,13076.650470018181
2012-09-30,33257.99413804967,33235.57172664916,13408.157794552611
2012-10-31,33212.54557578488,33190.153805629816,13164.145711267145
2012-11-30,33579.16286349043,33556.52392137371,13238.651195375734
2012-12-31,33729.799623861014,33707.059123021325,13356.927727806195
2013-01-31,33680.06405019644,33656.52554902369,14040.681295461562
2013-02-28,33463.78621349025,33440.39886571512,14219.820282529025
2013-03-31,33582.42614915022,33558.955885669806,14759.762929723669
2013-04-30,34412.70125929652,34388.65072875887,15043.33448219157
2013-05-31,32616.58497669443,32593.789725397386,15398.492067246496
2013-06-30,31117.157159898154,31095.40983663863,15193.025754698487
2013-07-31,31666.38416210203,31644.25299217237,15978.152771113642
2013-08-31,31202.951957501715,31181.144673520586,15498.924803849346
2013-09-30,31947.46794677557,31925.14033152486,15989.403472255068
2013-10-31,32689.54012326296,32666.69388468747,16729.830442040093
2013-11-30,32248.593278737237,32226.05521142299,17225.657833974212
2013-12-31,32203.734145662464,32181.22742973623,17672.258227289207
2014-01-31,32300.75063919421,32275.78434481957,17049.34278550816
2014-02-28,33191.788329832874,33166.13332362203,17825.356427636565
2014-03-31,33487.55645921575,33461.67284425624,17973.230251464778
