Date,NAV_Gross,NAV_Net,NAV_SPY,Turnover,TradedFraction,Cost
2022-11-22,44615.81102367864,44567.88494042644,44954.09297642117,0.0,0.0,0.0
2022-11-23,45058.03058246482,45009.62946915255,45237.38069332448,0.0,0.0,0.0
2022-11-25,44991.013335829884,44942.68421211208,45227.26353231088,0.0,0.0,0.0
2022-11-28,44706.71411160216,44658.690380703076,44505.56790765863,0.0,0.0,0.0
2022-11-29,44700.25121758379,44652.23442909347,44429.132341710785,0.0,0.0,0.0
2022-11-30,45571.68957884813,45522.73669558573,45828.67415001364,0.0,0.0,0.0
2022-12-01,46252.974865740085,46203.290149196415,45794.95268280904,0.0,0.0,0.0
2022-12-02,46567.4064332084,46517.383955832105,45742.114214529916,0.0,0.0,0.0
2022-12-05,45820.71676440134,45771.49637736947,44919.25418826387,0.0,0.0,0.0
2022-12-06,45803.010525036225,45753.809157959,44271.7522791318,0.0,0.0,0.0
2022-12-07,46166.53326731863,46116.94140591189,44196.437638397794,0.0,0.0,0.0
2022-12-08,46317.204941035445,46267.451228862985,44542.666567549284,0.0,0.0,0.0
2022-12-09,45724.869011776354,45675.75158392569,44209.92838783632,0.0,0.0,0.0
2022-12-12,45803.39734398557,45754.19556138934,44847.3059274325,0.0,0.0,0.0
2022-12-13,46237.41049830871,46187.74250093145,45186.79488825644,0.0,0.0,0.0
2022-12-14,46199.72664700582,46150.09912943501,44897.895336761685,0.0,0.0,0.0
2022-12-15,45718.3356683238,45669.22525855832,43799.61209139485,0.0,0.0,0.0
2022-12-16,45339.38806633785,45290.68472020978,43282.508745964726,0.0,0.0,0.0
2022-12-19,45023.84157719715,44975.477189545025,42915.49043857081,0.0,0.0,0.0
2022-12-20,44907.69320318353,44859.45358153957,42974.214665287844,0.0,0.0,0.0
2022-12-21,45286.553660157275,45237.90706848665,43616.785945183496,0.0,0.0,0.0
2022-12-22,44912.65659081515,44864.411637524776,42994.53548958236,0.0,0.0,0.0
2022-12-23,44830.07486750258,44781.91862309043,43241.85628459226,0.0,0.0,0.0
2022-12-27,44641.826268251636,44593.87223955254,43071.33508590511,0.0,0.0,0.0
2022-12-28,44276.095627736766,44228.53446508052,42536.04824303513,0.0,0.0,0.0
2022-12-29,44782.40617258292,44734.301133646775,43301.708645045415,0.0,0.0,0.0
2022-12-30,44544.32254086736,44496.47325018936,43187.65180134195,0.0,0.0,0.0
2023-01-03,44789.081257096215,44738.13257901304,43005.83124398801,0.06339757194975063,0.12679514389950125,2.836468804310566
2023-01-04,45277.0859321675,45225.58213680138,43337.84857147343,0.0,0.0,0.0
2023-01-05,45193.65396290902,45142.24507345354,42843.21058571477,0.0,0.0,0.0
2023-01-06,46127.53508358749,46075.06388146004,43825.70333777089,0.0,0.0,0.0
2023-01-09,46378.7976552135,46326.04063575029,43800.85556148738,0.0,0.0,0.0
2023-01-10,46172.43287043512,46119.91059597432,44108.021508428144,0.0,0.0,0.0
2023-01-11,46693.52561916259,46640.41058892378,44665.89265158714,0.0,0.0,0.0
2023-01-12,47327.685026604406,47273.84862449111,44828.50970559925,0.0,0.0,0.0
2023-01-13,47195.9054305171,47142.218930925366,45002.42972253928,0.0,0.0,0.0
2023-01-17,47003.3545808807,46949.88711260146,44919.98585327484,0.0,0.0,0.0
2023-01-18,47238.30192682467,47184.56720017889,44210.79341050938,0.0,0.0,0.0
2023-01-19,47353.901024904175,47300.034801450034,43888.94730795464,0.0,0.0,0.0
2023-01-20,47271.8889220428,47218.115989366466,44706.555925743014,0.0,0.0,0.0
2023-01-23,47358.5885358793,47304.7169802665,45242.97090234911,0.0,0.0,0.0
2023-01-24,47694.15583452523,47639.90256288267,45194.39987925706,0.0,0.0,0.0
2023-01-25,47844.222313604645,47789.79833766276,45211.347115126664,0.0,0.0,0.0
2023-01-26,47915.039889310014,47860.535356639426,45708.24136835754,0.0,0.0,0.0
2023-01-27,47760.65157362267,47706.32266144653,45813.255120866444,0.0,0.0,0.0
2023-01-30,47305.82437996375,47252.01284487199,45238.45476314353,0.0,0.0,0.0
2023-01-31,47459.55642644124,47405.570017377366,45903.61394758934,0.0,0.0,0.0
2023-02-01,48037.295863613464,47982.652261774594,46391.46510962566,0.0,0.0,0.0
2023-02-02,47951.05938201405,47896.51387628738,47066.7811019576,0.0,0.0,0.0
2023-02-03,47189.46488636102,47135.78571304618,46566.50244751838,0.0,0.0,0.0
2023-02-06,46876.1502131725,46822.82744298036,46281.92080086663,0.0,0.0,0.0
2023-02-07,46980.63895528728,46927.19732658909,46887.21681207588,0.0,0.0,0.0
2023-02-08,47042.100456148866,46988.588913486514,46374.52868653947,0.0,0.0,0.0
2023-02-09,46731.14320266418,46677.985381501814,45972.494982192504,0.0,0.0,0.0
2023-02-10,46445.16217466396,46392.329663932716,46079.77581495703,0.0,0.0,0.0
2023-02-13,46752.91231923358,46699.72973516738,46620.70332650756,0.0,0.0,0.0
2023-02-14,46717.87058297174,46664.727859739694,46599.254368476926,0.0,0.0,0.0
2023-02-15,46414.88795687741,46362.08988381116,46750.57566808339,0.0,0.0,0.0
2023-02-16,46025.986600374876,45973.63091213687,46106.88346297391,0.0,0.0,0.0
2023-02-17,46111.81594959492,46059.36262836779,45991.69127701205,0.0,0.0,0.0
2023-02-21,45472.874373851926,45421.14786433298,45069.06530245363,0.0,0.0,0.0
2023-02-22,45488.518508622954,45436.774203517125,45006.949466005986,0.0,0.0,0.0
2023-02-23,45813.17823599473,45761.06462248892,45246.351699296305,0.0,0.0,0.0
2023-02-24,45196.32498071564,45144.91305291192,44763.01667646556,0.0,0.0,0.0
2023-02-27,45377.958925349674,45326.34038448056,44915.466109808134,0.0,0.0,0.0
2023-02-28,45398.61741558386,45346.97537517559,44749.468258848836,0.0,0.0,0.0
2023-03-01,45462.55689006912,45410.84211694094,44577.81532216444,0.0,0.0,0.0
2023-03-02,45409.17448843916,45357.52043910168,44924.50559674156,0.0,0.0,0.0
2023-03-03,46240.77587167087,46188.17585537049,45644.99018965153,0.0,0.0,0.0
2023-03-06,45981.17591657653,45928.87120159004,45676.61397687397,0.0,0.0,0.0
2023-03-07,45568.54613434571,45516.71079585349,44976.45381251966,0.0,0.0,0.0
2023-03-08,45566.79751839746,45514.964168998755,45049.86540337295,0.0,0.0,0.0
2023-03-09,45283.64980124638,45232.13853931824,44218.70115944556,0.0,0.0,0.0
2023-03-10,45955.56426702301,45903.28868591583,43580.646018755484,0.0,0.0,0.0
2023-03-13,45990.59219766483,45938.27677142772,43518.5265780467,0.0,0.0,0.0
2023-03-14,45768.56871649604,45716.50584741241,44237.89385000397,0.0,0.0,0.0
2023-03-15,45795.20376330153,45743.11059619911,43961.2199522884,0.0,0.0,0.0
2023-03-16,45811.87985877854,45759.76772220864,44732.521022979214,0.0,0.0,0.0
2023-03-17,45917.03848622803,45864.8067291411,44209.481459455244,0.0,0.0,0.0
2023-03-20,46006.8465592971,45954.51264332511,44634.586039344824,0.0,0.0,0.0
2023-03-21,46127.43799095753,46074.96689927533,45220.656921645415,0.0,0.0,0.0
2023-03-22,46429.12569471841,46376.3114258763,44449.806383596806,0.0,0.0,0.0
2023-03-23,46502.608802448995,46449.71094477016,44569.968845667594,0.0,0.0,0.0
2023-03-24,46508.26102298457,46455.3567357663,44862.436615688704,0.0,0.0,0.0
2023-03-27,46121.73422656154,46069.26962305118,44946.32218940824,0.0,0.0,0.0
2023-03-28,46331.729053329684,46279.025575555155,44845.43531590203,0.0,0.0,0.0
2023-03-29,46505.111561287136,46452.210856658756,45497.26594266051,0.0,0.0,0.0
2023-03-30,46798.5958598914,46745.36130967761,45763.64607056673,0.0,0.0,0.0
2023-03-31,47206.785927657926,47153.08705123392,46408.67185229718,0.0,0.0,0.0
2023-04-03,47421.00257472802,47367.06002161574,46585.522133542174,0.0,0.0,0.0
2023-04-04,47564.89684225822,47510.79060588858,46327.06417161669,0.0,0.0,0.0
2023-04-05,47663.04113068251,47608.82325277846,46205.75915876524,0.0,0.0,0.0
2023-04-06,47797.5345593502,47743.16369187347,46386.00465400198,0.0,0.0,0.0
2023-04-10,47466.82146974883,47412.826796520065,46433.60973510912,0.0,0.0,0.0
2023-04-11,47634.28749581306,47580.10232587366,46446.08408290681,0.0,0.0,0.0
2023-04-12,47646.574740637785,47592.37559365612,46256.770266647545,0.0,0.0,0.0
2023-04-13,47824.600533116005,47770.198877430514,46871.18866279639,0.0,0.0,0.0
2023-04-14,47452.19443741772,47398.216402796854,46756.69570349526,0.0,0.0,0.0
2023-04-17,47189.42228417098,47135.743159317164,46924.463246673185,0.0,0.0,0.0
2023-04-18,47294.65949998579,47240.86066521876,46955.067027993646,0.0,0.0,0.0
2023-04-19,47110.90436697614,47057.31455817826,46947.14125775177,0.0,0.0,0.0
2023-04-20,47211.65645549076,47157.95203872193,46690.95037608191,0.0,0.0,0.0
2023-04-21,47107.54033361544,47053.954351488,46727.227264433175,0.0,0.0,0.0
2023-04-24,47345.581280848106,47291.72452130681,46775.9676877987,0.0,0.0,0.0
2023-04-25,47301.83362874063,47248.02663322623,46033.4502465538,0.0,0.0,0.0
2023-04-26,47044.76266323251,46991.24809224433,45838.466927524874,0.0,0.0,0.0
2023-04-27,47163.793707853925,47110.14373613403,46751.02980498675,0.0,0.0,0.0
2023-04-28,47458.89605062817,47404.91039275796,47150.050347022574,0.0,0.0,0.0
2023-05-01,46784.442284139324,46731.22383396498,47102.4416616543,0.0,0.0,0.0
2023-05-02,47064.09448329949,47010.55792189199,46573.05139000565,0.0,0.0,0.0
2023-05-03,47177.81385818498,47124.14793820034,46253.375052655814,0.0,0.0,0.0
2023-05-04,47036.016273738736,46982.51165198303,45925.7621322807,0.0,0.0,0.0
2023-05-05,47277.294660942774,47223.51557910589,46775.967687798715,0.0,0.0,0.0
2023-05-08,47022.15897611509,46968.670117375186,46788.434827074125,0.0,0.0,0.0
2023-05-09,46874.990373213106,46821.66892236734,46583.255053286564,0.0,0.0,0.0
2023-05-10,47072.72769723932,47019.181315339294,46800.905570610674,0.0,0.0,0.0
