rcept_no,status,candidate_rows,documents_in_zip,error,updated_at_utc
20010331000022,ERROR,0,0,"RuntimeError('Not a zip for 20010331000022: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:57:55.416858+00:00
20010331000564,NO_CANDIDATES,0,1,,2026-09-02T18:57:56.088238+00:00
20010331000157,NO_CANDIDATES,0,1,,2026-09-02T18:57:56.330035+00:00
20010331000047,NO_CANDIDATES,0,1,,2026-09-02T18:57:56.672337+00:00
20010331000503,NO_CANDIDATES,0,1,,2026-09-02T18:57:56.940007+00:00
20010330001535,NO_CANDIDATES,0,1,,2026-09-02T18:57:57.283342+00:00
20010331000141,NO_CANDIDATES,0,1,,2026-09-02T18:57:57.721570+00:00
20010330001490,NO_CANDIDATES,0,1,,2026-09-02T18:57:58.138368+00:00
20010330001232,NO_CANDIDATES,0,1,,2026-09-02T18:57:58.360537+00:00
20010330001228,NO_CANDIDATES,0,1,,2026-09-02T18:57:58.881095+00:00
20010331000256,NO_CANDIDATES,0,1,,2026-09-02T18:57:59.022982+00:00
20010331000219,NO_CANDIDATES,0,1,,2026-09-02T18:57:59.132020+00:00
20010331000334,NO_CANDIDATES,0,1,,2026-09-02T18:57:59.229848+00:00
20010330001441,NO_CANDIDATES,0,1,,2026-09-02T18:57:59.508074+00:00
20010331000031,NO_CANDIDATES,0,1,,2026-09-02T18:58:00.028655+00:00
20010331000481,NO_CANDIDATES,0,1,,2026-09-02T18:58:00.341307+00:00
20010330001198,NO_CANDIDATES,0,1,,2026-09-02T18:58:00.408769+00:00
20010330001289,NO_CANDIDATES,0,1,,2026-09-02T18:58:00.430334+00:00
20010331000593,NO_CANDIDATES,0,1,,2026-09-02T18:58:00.617628+00:00
20010330001259,NO_CANDIDATES,0,1,,2026-09-02T18:58:00.925779+00:00
20010331000169,NO_CANDIDATES,0,1,,2026-09-02T18:58:01.473485+00:00
20010330001489,NO_CANDIDATES,0,1,,2026-09-02T18:58:02.419879+00:00
20010331000615,NO_CANDIDATES,0,1,,2026-09-02T18:58:02.498551+00:00
20010331000133,NO_CANDIDATES,0,1,,2026-09-02T18:58:02.508785+00:00
20010330001201,NO_CANDIDATES,0,1,,2026-09-02T18:58:02.781975+00:00
20010331000338,NO_CANDIDATES,0,1,,2026-09-02T18:58:03.036352+00:00
20010331000414,NO_CANDIDATES,0,1,,2026-09-02T18:58:03.087242+00:00
20010331000034,NO_CANDIDATES,0,1,,2026-09-02T18:58:03.644833+00:00
20010330001463,NO_CANDIDATES,0,1,,2026-09-02T18:58:04.099851+00:00
20010331000040,NO_CANDIDATES,0,1,,2026-09-02T18:58:04.436123+00:00
20010331000166,NO_CANDIDATES,0,1,,2026-09-02T18:58:04.815271+00:00
20010330001273,NO_CANDIDATES,0,1,,2026-09-02T18:58:05.047951+00:00
20010331000098,NO_CANDIDATES,0,1,,2026-09-02T18:58:05.067630+00:00
20010331000485,NO_CANDIDATES,0,1,,2026-09-02T18:58:05.121186+00:00
20010331000263,NO_CANDIDATES,0,1,,2026-09-02T18:58:05.394664+00:00
20010331000204,NO_CANDIDATES,0,1,,2026-09-02T18:58:05.781537+00:00
20010331000020,NO_CANDIDATES,0,1,,2026-09-02T18:58:05.787471+00:00
20010330001204,NO_CANDIDATES,0,1,,2026-09-02T18:58:06.691187+00:00
20010330001381,NO_CANDIDATES,0,1,,2026-09-02T18:58:07.076615+00:00
20010330001195,NO_CANDIDATES,0,1,,2026-09-02T18:58:07.392348+00:00
20010330001293,NO_CANDIDATES,0,1,,2026-09-02T18:58:07.564788+00:00
20010331000510,NO_CANDIDATES,0,1,,2026-09-02T18:58:07.624975+00:00
20010330001250,NO_CANDIDATES,0,1,,2026-09-02T18:58:07.992215+00:00
20010330001427,NO_CANDIDATES,0,1,,2026-09-02T18:58:09.029492+00:00
20010331000015,NO_CANDIDATES,0,1,,2026-09-02T18:58:09.030784+00:00
20010330001401,NO_CANDIDATES,0,1,,2026-09-02T18:58:09.644683+00:00
20010330001202,NO_CANDIDATES,0,1,,2026-09-02T18:58:09.715295+00:00
