corp_code,stock_code,status,reports_found,error,updated_at_utc
00156734,027840,OK,38,,2026-09-03T18:42:22.794233+00:00
00192499,027710,OK,60,,2026-09-03T18:42:22.794233+00:00
00268020,030390,OK,37,,2026-09-03T18:42:22.794233+00:00
00136004,025870,OK,60,,2026-09-03T18:42:22.794233+00:00
00110079,027700,OK,18,,2026-09-03T18:42:22.794233+00:00
00216647,030530,OK,60,,2026-09-03T18:42:22.794233+00:00
00172103,027440,OK,12,,2026-09-03T18:42:22.794233+00:00
00100258,030270,OK,60,,2026-09-03T18:42:22.794233+00:00
00218654,031970,OK,13,,2026-09-03T18:42:22.794233+00:00
00267775,031960,OK,36,,2026-09-03T18:42:22.794233+00:00
00130860,031950,OK,42,,2026-09-03T18:42:22.794233+00:00
00136095,031920,OK,60,,2026-09-03T18:42:22.794233+00:00
00180865,031860,OK,60,,2026-09-03T18:42:22.794233+00:00
00186559,031820,OK,60,,2026-09-03T18:42:22.794233+00:00
00267997,031800,OK,34,,2026-09-03T18:42:22.794233+00:00
00175173,031510,OK,60,,2026-09-03T18:42:22.794233+00:00
00198378,031390,OK,60,,2026-09-03T18:42:22.794233+00:00
00200910,031310,OK,60,,2026-09-03T18:42:22.794233+00:00
00139685,030960,OK,60,,2026-09-03T18:42:22.794233+00:00
00123514,030950,OK,60,,2026-09-03T18:42:22.794233+00:00
00118044,030720,OK,60,,2026-09-03T18:42:22.794233+00:00
00204262,030520,OK,60,,2026-09-03T18:42:22.794233+00:00
00208444,031980,OK,60,,2026-09-03T18:42:22.794233+00:00
00208374,027350,OK,16,,2026-09-03T18:42:22.794233+00:00
00110307,031990,OK,60,,2026-09-03T18:42:22.794233+00:00
00230036,030350,OK,59,,2026-09-03T18:42:22.794233+00:00
00183914,025920,OK,51,,2026-09-03T18:42:22.794233+00:00
00120243,025840,OK,4,,2026-09-03T18:42:22.794233+00:00
00160445,025830,OK,25,,2026-09-03T18:42:22.794233+00:00
00145464,025820,OK,60,,2026-09-03T18:42:22.794233+00:00
00203458,025690,OK,16,,2026-09-03T18:42:22.794233+00:00
00136776,025620,OK,60,,2026-09-03T18:42:22.794233+00:00
00160612,025850,OK,60,,2026-09-03T18:42:22.794233+00:00
00104704,025610,OK,49,,2026-09-03T18:42:22.794233+00:00
00158015,025550,OK,60,,2026-09-03T18:42:22.794233+00:00
00157070,025540,OK,60,,2026-09-03T18:42:22.794233+00:00
00181943,025530,OK,58,,2026-09-03T18:42:22.794233+00:00
00110583,025440,OK,60,,2026-09-03T18:42:22.794233+00:00
00101752,025880,OK,60,,2026-09-03T18:42:22.794233+00:00
00107987,025860,OK,60,,2026-09-03T18:42:22.794233+00:00
00197759,025560,OK,60,,2026-09-03T18:42:22.794233+00:00
00110060,026970,OK,60,,2026-09-03T18:42:22.794233+00:00
00159342,025770,OK,60,,2026-09-03T18:42:22.794233+00:00
