Date,60/40 비용전,60/40 비용후(5bp),S&P500 100%
2022-06-03,-0.12482531848900891,-0.1248834105391754,-0.1379384607174623
2022-06-06,-0.12592948702603568,-0.12598750578407514,-0.13531373391574886
2022-06-07,-0.1195176939461503,-0.11957613830403069,-0.12701942341285632
2022-06-08,-0.12654428129425666,-0.12660225924368917,-0.1365107109072441
2022-06-09,-0.13919811913852542,-0.1392552571557727,-0.15704684389485046
2022-06-10,-0.15736785348682392,-0.1574237854395658,-0.1814888017472741
2022-06-13,-0.18227587437316606,-0.18233015298968913,-0.2125661401076845
2022-06-14,-0.18645282978821898,-0.18650683114820266,-0.21493897895486336
2022-06-15,-0.17495654718528186,-0.17501131164163908,-0.20374680277125634
2022-06-16,-0.18852857660940647,-0.18858244018616688,-0.23009971436177534
2022-06-17,-0.18742663372905832,-0.18748057045021194,-0.2284398338462863
2022-06-20,-0.18742663372905832,-0.18748057045021194,-0.2284398338462863
2022-06-21,-0.17756625072878918,-0.17762084195912387,-0.2090170320388578
2022-06-22,-0.17404029453347025,-0.1740951198085372,-0.21045116391584884
2022-06-23,-0.1674043824701451,-0.16745964822154746,-0.2027114821732241
2022-06-24,-0.1534256722787184,-0.1534818659042363,-0.1773626597901481
2022-06-27,-0.15729899571495198,-0.15735493223831176,-0.18050487715505925
2022-06-28,-0.16690818465811064,-0.166963483345964,-0.19724938353648092
2022-06-29,-0.1644802180349293,-0.16453567788553314,-0.19790313801470605
2022-06-30,-0.16567976585784272,-0.16573514608526552,-0.2044197034497991
2022-07-01,-0.1568046006135403,-0.1568605699536917,-0.19600528788179272
2022-07-04,-0.1568046006135403,-0.1568605699536917,-0.19600528788179272
2022-07-05,-0.1545666789001634,-0.15462279678832813,-0.19448683125021093
2022-07-06,-0.15600112473079708,-0.15605714740379983,-0.19176637344690883
2022-07-07,-0.1509243345205794,-0.15098069417905247,-0.17966122224318648
2022-07-08,-0.15349213213321888,-0.15354832134728702,-0.1803360239628956
2022-07-11,-0.1563285612476608,-0.1563845621861929,-0.18969960222750437
2022-07-12,-0.15980023055877768,-0.15985600105601383,-0.19686985424649484
2022-07-13,-0.16080020894917146,-0.16085591307017877,-0.20108758565124008
2022-07-14,-0.16395396715595856,-0.16400946193786625,-0.2030278018444308
2022-07-15,-0.15358382679809124,-0.15364000992568172,-0.18780168420026344
2022-07-18,-0.15866002046874084,-0.15871586665045812,-0.19450781059736755
2022-07-19,-0.14722111360769552,-0.14727771907731857,-0.17274401238229575
2022-07-20,-0.14440176111421332,-0.14445855372586647,-0.16747181417920065
2022-07-21,-0.13526169769299845,-0.1353190970007021,-0.15899412109808742
2022-07-22,-0.13583505331644463,-0.13589241456614187,-0.16679687667083687
2022-07-25,-0.13651720219890218,-0.13657451816915067,-0.16578470803843692
2022-07-26,-0.14230853818151712,-0.14236546973641695,-0.1756544385135731
2022-07-27,-0.1287134486583028,-0.12877128262347493,-0.15424912234700372
2022-07-28,-0.11874681466490411,-0.11880531019194951,-0.1436412447447245
2022-07-29,-0.11110537490423966,-0.11116437765219933,-0.13115697161698026
2022-08-01,-0.11050628116041439,-0.11056532367481653,-0.13372969136392976
2022-08-02,-0.11904122470409972,-0.11909970068889475,-0.13944462847579064
2022-08-03,-0.10944116041852392,-0.10950027363315185,-0.12596882659116637
2022-08-04,-0.10794426325220996,-0.1080034758273738,-0.12655930355628453
2022-08-05,-0.11414211140703168,-0.11420091258351872,-0.12803559781057083
2022-08-08,-0.11261914637145021,-0.11267804863879716,-0.12904776644297078
2022-08-09,-0.11578028925569184,-0.11583898169376161,-0.13250630347908865
2022-08-10,-0.10462168828628926,-0.10468112140621488,-0.11428557073770773
2022-08-11,-0.10703249145484783,-0.10709176455129299,-0.11428557073770773
2022-08-12,-0.09658972964214829,-0.09664969590471884,-0.0992911764328469
2022-08-15,-0.09320631841650806,-0.09326650926200908,-0.09557952934430147
2022-08-16,-0.09256116322096675,-0.09262139689036208,-0.09380803055461984
2022-08-17,-0.0988720441499572,-0.09893185891782419,-0.10024033912944952
2022-08-18,-0.09660206856375564,-0.09666203400729734,-0.09762538911087681
2022-08-19,-0.10699804223574427,-0.10705731761884785,-0.10975138387310113
2022-08-22,-0.11970937639152679,-0.11976780802597431,-0.1282886399686708
2022-08-23,-0.12185004597148585,-0.12190833551328906,-0.13039750567104347
2022-08-24,-0.1213652931882434,-0.12142361490680353,-0.12761383824896189
2022-08-25,-0.11169345034199119,-0.11175241405487724,-0.11529773937010757
2022-08-26,-0.13010780514812204,-0.13016554655916857,-0.14524402613089704
2022-08-29,-0.13553031865677612,-0.13558770013404797,-0.15089582151830594
2022-08-30,-0.14123645050426747,-0.14129345322184184,-0.1602173052999467
2022-08-31,-0.14654375438660483,-0.14660040481775005,-0.16660731570882592
2022-09-01,-0.14777565314073382,-0.14783222180131872,-0.16399222990159878
2022-09-02,-0.15111279395568078,-0.15116914110465685,-0.1728073577897301
2022-09-05,-0.15111279395568078,-0.15116914110465685,-0.1728073577897301
2022-09-06,-0.1569084405837633,-0.1569644030312599,-0.17592852791315705
2022-09-07,-0.14573718848235084,-0.14579389245145602,-0.1611239661476167
2022-09-08,-0.14373743183089083,-0.14379426853916932,-0.1556409560580444
2022-09-09,-0.13582008808464618,-0.1358774503277006,-0.14252356832759483
2022-09-12,-0.13112221161802595,-0.13117988569514172,-0.13330772811933866
2022-09-13,-0.15572804140388463,-0.15578408220352036,-0.17099369662275288
2022-09-14,-0.15365207206933806,-0.15370825066696703,-0.16783022833337546
2022-09-15,-0.16051950315813013,-0.160575225911732,-0.17727833503555734
2022-09-16,-0.16401108593719682,-0.16406657692769322,-0.18355469034042282
2022-09-19,-0.16118614148796673,-0.16124181999167397,-0.17722300115875245
2022-09-20,-0.16899667373456218,-0.1690518337933914,-0.18666750946158361
2022-09-21,-0.17615688228882154,-0.1762115670697395,-0.20085511547433255
2022-09-22,-0.18537063518880648,-0.1854247083823385,-0.2075678276211913
2022-09-23,-0.19292910544576058,-0.19298267692570015,-0.22084503859826454
2022-09-26,-0.20319577041956072,-0.2032486604222714,-0.22855281000702632
2022-09-27,-0.20665412331905042,-0.20670678376437757,-0.23052215286665811
2022-09-28,-0.19010090540873625,-0.19015466461798514,-0.2153814462863194
2022-09-29,-0.20152472276368205,-0.20157772368663118,-0.23177134059589888
2022-09-30,-0.20953836579529028,-0.209590834791342,-0.24365101473843265
2022-10-03,-0.19355168974968517,-0.19360521990393376,-0.22368247832762145
2022-10-04,-0.17839528492363543,-0.17844982112461738,-0.19962690709224817
2022-10-05,-0.18274125952161424,-0.18279550724695848,-0.20149033480118617
2022-10-06,-0.1895497319592775,-0.18960352775413203,-0.2097275461747624
2022-10-07,-0.20444431603531688,-0.20449712316248758,-0.23177134059589888
2022-10-10,-0.2099328694247179,-0.20998531223454064,-0.2376370710088438
2022-10-11,-0.21199242683179087,-0.21204473293300596,-0.24246510452229852
2022-10-12,-0.21240682338525885,-0.21245910197979923,-0.24496388734674468
2022-10-13,-0.20183577071036207,-0.20188875098667558,-0.22503758120755635
2022-10-14,-0.2143065431411666,-0.21435869563674903,-0.24269791417084285
2022-10-17,-0.20226218253938988,-0.20231513451148242,-0.22323777048336224
2022-10-18,-0.19593604785198548,-0.19598941973811534,-0.21411100763261237
2022-10-19,-0.20275455051901092,-0.202807469808868,-0.2196802435179418
2022-10-20,-0.20914113146561308,-0.20919362682915166,-0.22622349142369036
2022-10-21,-0.19710536550385838,-0.19715865977341507,-0.20741954641021976
2022-10-24,-0.1916982972523723,-0.19175195043048365,-0.19772111332303277
2022-10-25,-0.17993194982723382,-0.17998638402799072,-0.18490979322035772
2022-10-26,-0.18193890120234102,-0.1819932021863555,-0.1910509030251063
2022-10-27,-0.18218505082567238,-0.18223933547085014,-0.19537067960388554
2022-10-28,-0.17240033614533834,-0.1724552702770108,-0.17622794189684943
2022-10-31,-0.1774840560693065,-0.17753865275553027,-0.1821783365360219
2022-11-01,-0.17969399157371224,-0.1797484415695818,-0.1857569107429261
2022-11-02,-0.19253568216599592,-0.1925892797604536,-0.20619140592246288
2022-11-03,-0.1988881577939604,-0.19894133372593104,-0.21436513609995012
2022-11-04,-0.19279613934237083,-0.19284971964828979,-0.20305733587683583
2022-11-07,-0.18937510147614622,-0.18942890886256414,-0.1954342965886291
2022-11-08,-0.18458770199923635,-0.18464182716204391,-0.19109326908538382
2022-11-09,-0.19347722294840564,-0.19353075804558661,-0.2077582712094579
2022-11-10,-0.15990012051658808,-0.15995588438336217,-0.16422130536213775
2022-11-11,-0.1557422323423212,-0.15579827219999587,-0.15613223941087828
2022-11-14,-0.1608642253025101,-0.16091992517426168,-0.163310842432135
2022-11-15,-0.15408088168989453,-0.15413703182414307,-0.1561746054711558
2022-11-16,-0.1554538215392206,-0.1555098805409304,-0.16261200612053772
2022-11-17,-0.15931292925968243,-0.1593687321028402,-0.1651742022467454
2022-11-18,-0.15823033707750733,-0.1582862117806041,-0.16138386563278095
2022-11-21,-0.16027340837919124,-0.16032914746798965,-0.1644329998748708
2022-11-22,-0.15158372710331247,-0.15164004299284706,-0.15318888453082746
2022-11-23,-0.14654980391233063,-0.14660645394192284,-0.14785279776567917
2022-11-24,-0.14654980391233063,-0.14660645394192284,-0.14785279776567917
2022-11-25,-0.1467696396840421,-0.14682627512144963,-0.14804324135394586
2022-11-28,-0.15479829668631806,-0.1548543992002358,-0.1616379941001186
2022-11-29,-0.157104376664553,-0.15716032610627095,-0.16307776120628126
2022-11-30,-0.1382049486799024,-0.1382621526214841,-0.1367143938893477
