Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
1995-11-02,113.46,2.0,-0.35,-0.0031,113.81,113.98,113.38,10730840.0,226366775400.0,
1995-11-03,112.87,2.0,-0.59,-0.0052,113.42,113.42,112.42,11034720.0,198426175900.0,
1995-11-04,112.87,3.0,0.0,0.0,112.87,113.16,112.56,8885020.0,188770900600.0,
1995-11-06,113.07,1.0,0.2,0.0018,112.88,113.48,112.87,10259180.0,227934814300.0,
1995-11-07,112.47,2.0,-0.6,-0.0053,113.06,113.32,111.93,11144780.0,238878137300.0,
1995-11-08,111.56,2.0,-0.91,-0.0081,112.43,112.84,111.56,12607100.0,290222211100.0,
1995-11-09,110.15,2.0,-1.41,-0.0126,111.44,111.44,109.42,12926640.0,339877623000.0,
1995-11-10,109.47,2.0,-0.68,-0.0062,110.1,110.14,108.72,9513230.0,253143413300.0,
1995-11-11,110.67,1.0,1.2,0.011,109.47,110.69,109.47,7924180.0,169128312300.0,
1995-11-13,108.0,2.0,-2.67,-0.0241,110.55,110.55,108.0,8626230.0,173987040500.0,
1995-11-14,107.47,2.0,-0.53,-0.0049,107.95,108.43,107.13,9041280.0,197597238500.0,
1995-11-15,106.01,2.0,-1.46,-0.0136,107.47,108.14,106.01,12940210.0,248166160700.0,
1995-11-16,105.49,2.0,-0.52,-0.0049,106.01,106.5,105.39,11011170.0,258109961000.0,
1995-11-17,107.7,1.0,2.21,0.0209,105.49,107.7,105.49,10290600.0,202130120400.0,
1995-11-18,106.97,2.0,-0.73,-0.0068,107.69,107.82,106.84,6583170.0,152235791500.0,
1995-11-20,105.31,2.0,-1.66,-0.0155,106.86,106.86,105.31,6725220.0,129201832800.0,
1995-11-21,103.81,2.0,-1.5,-0.0141999999999999,105.26,105.26,103.21,8460760.0,176112499200.0,
1995-11-22,104.11,1.0,0.3,0.0029,103.84,104.73,103.35,8193090.0,157409026800.0,
1995-11-23,105.5,1.0,1.39,0.0134,104.15,105.62,104.15,8378390.0,164116734900.0,
1995-11-24,106.94,1.0,1.44,0.0136,105.47,107.61,105.47,11264360.0,224578212000.0,
1995-11-25,106.59,2.0,-0.35,-0.0033,106.93,107.41,105.85,6894650.0,141880759800.0,
1995-11-27,107.36,1.0,0.77,0.0072,106.59,107.65,106.56,10160740.0,209937474300.0,
1995-11-28,107.74,1.0,0.38,0.0034999999999999,107.33,108.24,107.33,11191510.0,213376043800.0,
1995-11-29,107.13,2.0,-0.61,-0.0056999999999999,107.75,107.82,107.03,7551380.0,142308134800.0,
1995-11-30,104.82,2.0,-2.31,-0.0216,107.07,107.07,104.82,10128690.0,196201944300.0,
1995-12-01,105.85,1.0,1.03,0.0098,104.81,105.85,104.71,6774580.0,127952092800.0,
1995-12-02,104.87,2.0,-0.98,-0.0093,105.8,105.8,104.24,5356490.0,109004953900.0,
1995-12-04,105.52,1.0,0.65,0.0062,104.82,105.72,104.78,5397390.0,106303054700.0,
