Date,Open,High,Low,Close,Volume,Change,Amount,MarCap
2018-03-28,1505.42,1518.37,1491.56,1511.16,83864916,-0.0092,2209491712534,136832922818060
2018-03-29,1521.6,1550.01,1517.89,1550.01,68432564,0.0256999999999999,1950397262621,140219691634960
2018-03-30,1555.01,1561.13,1545.69,1551.48,67238395,0.0009,1770278194936,140323777909390
2018-04-02,1561.39,1561.73,1540.46,1540.85,106458540,-0.0069,2299317425110,139225688512881
2018-04-03,1520.74,1554.13,1518.96,1554.13,69670043,0.0086,1767926831871,140130219058906
2018-04-04,1561.72,1564.04,1529.31,1538.8,76698254,-0.0098999999999999,2385391293814,138365468803332
2018-04-05,1556.01,1565.44,1542.17,1550.54,78258680,0.0076,2204513686069,139550885892423
2018-04-06,1545.19,1553.21,1537.47,1550.16,56363604,-0.0002,1784348363732,139403103559010
2018-04-09,1553.03,1565.87,1548.45,1565.87,70227869,0.0101,2029985715268,140605670640653
2018-04-10,1566.38,1569.64,1550.06,1565.32,63002024,-0.0004,1864962568995,140491345611362
2018-04-11,1574.72,1577.59,1568.98,1573.25,94386237,0.0051,2304172507141,141293543849453
2018-04-12,1576.87,1578.95,1554.24,1554.38,119817107,-0.012,3361402214445,139896957549038
2018-04-13,1554.85,1574.9,1542.3,1568.24,92108521,0.0089,2697455126426,140865429625092
2018-04-16,1574.79,1579.13,1570.04,1570.28,67758545,0.0013,1928221374579,141461267750629
2018-04-17,1577.28,1577.79,1564.45,1570.71,75393409,0.0003,1857496033766,141491591448017
2018-04-18,1578.57,1580.16,1553.05,1554.23,84069897,-0.0105,2097019522693,140151403511534
2018-04-19,1548.49,1548.49,1520.02,1526.47,88486540,-0.0179,2213363670166,138052668147633
2018-04-20,1531.62,1539.27,1510.82,1530.6,110520456,0.0027,1967446714922,138343245765192
2018-04-23,1524.19,1529.86,1497.68,1502.48,107170339,-0.0184,2073578278512,136507544586455
2018-04-24,1506.04,1515.61,1482.76,1483.89,86772658,-0.0124,2270339567059,134964428926477
2018-04-25,1475.26,1493.69,1462.74,1481.56,64647684,-0.0016,1758557304451,134650643179767
2018-04-26,1493.76,1501.49,1486.78,1501.49,47673886,0.0135,1440541576559,136548534971259
2018-04-27,1515.23,1522.01,1501.73,1522.01,45884193,0.0137,1323683264605,138269077527123
2018-04-30,1517.86,1520.7,1485.6,1495.09,107080998,-0.0177,1792562531444,136086694251895
2018-05-02,1478.9,1504.15,1466.43,1479.79,105349147,-0.0102,1903358832162,134681265818595
2018-05-03,1483.95,1489.32,1463.79,1463.79,210962220,-0.0108,1322211129406,133369483536159
2018-05-04,1467.62,1473.57,1429.91,1429.91,114671703,-0.0231,1583737677052,130700033512492
2018-05-08,1442.23,1454.18,1362.2,1362.2,125819389,-0.0474,1939483029257,125119356271344
2018-05-09,1376.64,1428.31,1346.97,1424.56,114925070,0.0458,2498041402027,130841881564224
2018-05-10,1422.4,1429.09,1404.86,1420.08,73074940,-0.0031,1529678728926,130479611911402
2018-05-11,1417.01,1448.13,1417.01,1436.5,77252929,0.0116,1731609596308,131665697159677
2018-05-14,1438.14,1438.84,1402.7,1402.7,78985873,-0.0235,1491757193818,128782077877411
2018-05-15,1420.69,1429.27,1408.2,1420.24,77759947,0.0125,1552747497139,130210635150666
2018-05-16,1417.01,1434.24,1410.27,1419.77,74672071,-0.0003,1443739745016,129985154027721
2018-05-17,1426.71,1429.93,1414.9,1429.93,78361902,0.0072,1395040830877,130987244803896
2018-05-18,1432.9,1455.55,1429.48,1453.9,64873731,0.0168,1438824091619,133151552947782
2018-05-21,1455.97,1467.39,1450.77,1454.22,74088695,0.0002,1371340145466,133008257386122
2018-05-23,1459.36,1460.26,1439.81,1450.79,67258941,-0.0024,1652994667939,132560719973972
2018-05-24,1455.47,1471.84,1455.35,1469.65,59098304,0.013,1498319528411,133952989303129
2018-05-25,1466.16,1488.41,1462.57,1485.8,72786417,0.011,1842992132046,135177779653305
2018-05-28,1472.76,1493.22,1470.52,1490.31,113213554,0.003,1704600818200,135503261739023
2018-05-29,1494.03,1507.72,1454.17,1459.2,84768132,-0.0209,2207630543970,133101407981957
2018-05-30,1478.12,1482.11,1447.84,1482.11,78667080,0.0157,1945349447541,134793941970416
2018-05-31,1496.9,1496.9,1471.92,1491.9,88968173,0.0066,2742523538273,135620355461845
2018-06-01,1487.13,1500.28,1485.51,1494.74,72582445,0.0019,1510157434891,135763786575871
2018-06-04,1496.82,1498.04,1467.99,1470.09,58542104,-0.0165,1500020648096,133829017067439
