Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
1997-02-12,1196.1,2.0,-3.5,-0.0029,1199.6,1199.6,1190.2,43103,1331593700,7691465423240.0
1997-02-13,1193.0,2.0,-3.1,-0.0026,1196.1,1199.7,1193.0,61597,1224548110,7675618959480.0
1997-02-14,1197.9,1.0,4.9,0.0040999999999999,1193.0,1199.0,1187.8,52117,1106128450,7705892427980.0
1997-02-15,1201.3,1.0,3.4,0.0028,1197.9,1204.9,1197.9,41424,864774890,7722592142880.0
1997-02-17,1201.0,2.0,-0.3,-0.0002,1201.3,1204.5,1198.2,61602,1027236050,7720693873860.0
1997-02-18,1196.2,2.0,-4.8,-0.004,1200.9,1203.9,1194.6,98902,1596229510,7687620290780.0
1997-02-19,1198.2,1.0,2.0,0.0017,1196.2,1200.9,1193.1,74876,1232448480,7703277432540.0
1997-02-20,1194.7,2.0,-3.5,-0.0029,1198.1,1200.0,1189.2,193861,3391599000,7671877731380.0
1997-02-21,1196.9,1.0,2.2,0.0018,1194.7,1196.9,1189.5,78399,1295035830,7685905443360.0
1997-02-22,1197.1,1.0,0.2,0.0002,1196.9,1202.3,1194.0,75371,1040239220,7685662078040.0
1997-02-24,1195.6,2.0,-1.5,-0.0013,1197.3,1199.2,1189.6,98064,1743919150,7670469179560.0
1997-02-25,1192.0,2.0,-3.6,-0.003,1195.6,1197.0,1189.6,140969,1544373550,7645996093560.0
1997-02-26,1169.2,2.0,-22.8,-0.0191,1192.0,1194.0,1169.2,120245,1324763580,7503638133260.0
1997-02-27,1171.4,1.0,2.2,0.0019,1169.2,1172.7,1168.0,77184,1290661570,7513688661120.0
1997-02-28,1183.5,1.0,12.1,0.0103,1171.4,1183.5,1169.3,193136,7169386410,7595662293720.0
1997-03-03,1180.1,2.0,-3.4,-0.0029,1183.5,1192.6,1177.3,127704,2407158250,7572239537220.0
1997-03-04,1185.8,1.0,5.7,0.0048,1180.1,1185.8,1178.4,52595,703459960,7607709393180.0
1997-03-05,1176.8,2.0,-9.0,-0.0076,1185.9,1186.3,1173.6,40126,980565490,7551135258680.0
1997-03-06,1184.2,1.0,7.4,0.0063,1176.8,1184.2,1176.8,44148,1237625450,7596266850640.0
1997-03-07,1188.4,1.0,4.2,0.0034999999999999,1184.2,1188.4,1179.8,108849,1297797440,7547205261040.0
1997-03-08,1188.4,3.0,0.0,0.0,1188.4,1189.7,1184.4,48762,2613773910,7546806841940.0
1997-03-10,1184.1,2.0,-4.3,-0.0036,1188.4,1189.6,1182.5,91087,1291780530,7518628665700.0
1997-03-11,1178.5,2.0,-5.6,-0.0046999999999999,1184.1,1184.2,1172.1,84971,2053982520,7482795074740.0
1997-03-12,1166.3,2.0,-12.2,-0.0104,1178.5,1179.1,1161.4,211748,3733409650,7405130906040.0
1997-03-13,1167.5,1.0,1.2,0.001,1166.3,1168.1,1162.4,58782,1045051230,7409783362300.0
1997-03-14,1161.3,2.0,-6.2,-0.0053,1167.5,1171.5,1159.4,156397,3278661560,7369306482700.0
1997-03-15,1160.7,2.0,-0.6,-0.0005,1161.3,1163.7,1152.1,42384,1491830670,7384570256040.0
1997-03-17,1166.9,1.0,6.2,0.0053,1160.7,1166.9,1157.6,137106,5473407470,7426774268120.0
1997-03-18,1171.4,1.0,4.5,0.0039,1166.9,1171.6,1164.3,59378,985581700,7455412283240.0
1997-03-19,1165.2,2.0,-6.2,-0.0053,1171.4,1172.7,1161.6,95736,1531577390,7417916675820.0
1997-03-20,1159.2,2.0,-6.0,-0.0051,1165.2,1167.3,1155.3,49560,903304060,7375709752120.0
