Code,Name,Market,Marcap,Amount,Volume,Close,fs_div,equity,revenue_q,net_income_q,ocf_q,EY,EY_rank,BY,BY_rank,CFY,CFY_rank,SY,SY_rank,avg_rank,overall_rank,signal_date,target_weight
084690,대상홀딩스,KOSPI,240451252320.0,72038700.0,10868.0,6640.0,CFS,1150594165870.0,874934359578.0,37631183109.0,63851126108.0,0.6260093510998936,21.0,4.785145241575841,2.0,1.0621882895918535,52.0,14.554872992112516,17.0,23.0,1,2019-10-31,0.05
001040,CJ,KOSPI,2404184635200.0,6185653000.0,74796.0,82400.0,CFS,14291844603000.0,8453696547000.0,290381887000.0,517723703000.0,0.4831274316431086,35.0,5.9445703103460215,1.0,0.8613709536612715,69.0,14.064970590408505,21.0,31.5,2,2019-10-31,0.05
010100,한국프랜지,KOSPI,71406234900.0,1346078115.0,577016.0,2345.0,CFS,226865246286.0,235474581382.0,4805429978.0,8708474223.0,0.2691882570047115,114.0,3.1771069655711535,18.0,0.48782710558514547,182.0,13.190701440106318,28.0,85.5,3,2019-10-31,0.05
067570,엔브이에이치코리아,KOSDAQ,78268054950.0,42846165.0,15660.0,2725.0,CFS,181493351581.0,224443406385.0,4070583725.0,12944458522.0,0.20803295687367787,175.0,2.3188688117641796,43.0,0.6615449192020582,104.0,11.470498738131731,35.0,89.25,4,2019-10-31,0.05
001530,DI동일,KOSPI,174584382000.0,143246600.0,1993.0,72100.0,CFS,512328968772.0,252640706696.0,11715458306.0,29484432099.0,0.2684193894503118,115.0,2.934563578384692,22.0,0.6755342433551702,101.0,5.78839192376326,142.0,95.0,5,2019-10-31,0.05
049070,인탑스,KOSDAQ,236500000000.0,1417953700.0,101943.0,13750.0,CFS,496050144723.0,230770151430.0,21390698690.0,34433872704.0,0.3617877156871036,63.0,2.09746361405074,55.0,0.5823910816744186,135.0,3.9030892419450316,251.0,126.0,6,2019-10-31,0.05
038110,에코플라스틱,KOSDAQ,42867847900.0,81660430.0,49141.0,1670.0,CFS,2555063847.0,318488080614.0,4935250942.0,24934011436.0,0.4605083934712757,38.0,0.059603268467321405,565.0,2.326593254148408,9.0,29.718131067083497,6.0,154.5,7,2019-10-31,0.05
014130,한익스프레스,KOSPI,60240000000.0,600806665.0,120676.0,5020.0,CFS,69412315021.0,141048788344.0,2272241684.0,10892216549.0,0.15087926188579018,298.0,1.152262865554449,169.0,0.7232547509296149,92.0,9.365789398671978,62.0,155.25,8,2019-10-31,0.05
092230,KPX홀딩스,KOSPI,231088136200.0,55349600.0,1010.0,54700.0,CFS,216868407523.0,255873221778.0,13828241306.0,43487537574.0,0.2393587404942686,136.0,0.938466210724495,208.0,0.752743750312873,88.0,4.429015283701959,203.0,158.75,9,2019-10-31,0.05
002900,동양물산,KOSPI,56299842900.0,346153024.0,402945.0,861.0,CFS,16466590247.0,149250014427.0,2979514485.0,29128793847.0,0.21168900881604413,166.0,0.29248021661886375,417.0,2.069547078398686,11.0,10.603938251984003,48.0,160.5,10,2019-10-31,0.05
003240,태광산업,KOSPI,1221399800000.0,1040891000.0,947.0,1097000.0,CFS,3463717526619.0,791206003364.0,102981204519.0,168622683268.0,0.33725633332836635,73.0,2.8358589272890007,26.0,0.5522276432925566,150.0,2.5911450234853484,420.0,167.25,11,2019-10-31,0.05
