Code,Name,Market,Marcap,Amount,Volume,Close,fs_div,equity,revenue_q,net_income_q,ocf_q,EY,EY_rank,BY,BY_rank,CFY,CFY_rank,SY,SY_rank,avg_rank,overall_rank,signal_date,target_weight
016450,한세예스24홀딩스,KOSPI,354000000000.0,637325650.0,71882.0,8850.0,CFS,745784579671.0,674679852741.0,33908295039.0,89177789810.0,0.3831445767118644,50.0,2.1067361007655365,25.0,1.007658641920904,52.0,7.6235011609152545,42.0,42.25,3,2021-04-30,0.05
049800,우진플라임,KOSPI,55300000000.0,425732920.0,76774.0,5530.0,CFS,60776607628.0,59532121717.0,4348196314.0,11055981881.0,0.3145169124050633,60.0,1.0990344959855334,110.0,0.7997093584810127,70.0,4.306120919855335,120.0,90.0,4,2021-04-30,0.05
024830,세원물산,KOSDAQ,52438000000.0,0.0,0.0,6280.0,OFS,28046722062.0,56088020378.0,8045929573.0,36383188427.0,0.6137480127388535,22.0,0.5348549155574202,246.0,2.7753299841336436,5.0,4.27842559807773,122.0,98.75,5,2021-04-30,0.05
034220,LG디스플레이,KOSPI,8694921510000.0,147090925400.0,6000759.0,24300.0,CFS,12736939000000.0,7461208000000.0,620970000000.0,1099251000000.0,0.2856702038245311,70.0,1.4648710727694654,66.0,0.5056979519531051,149.0,3.432444095748945,177.0,115.5,6,2021-04-30,0.05
001790,대한제당,KOSPI,160108395300.0,6766605000.0,1841047.0,3570.0,CFS,64739093000.0,303550471000.0,8709951000.0,47650041000.0,0.21760135647302936,105.0,0.4043453991197425,300.0,1.1904445337976604,30.0,7.583624092446326,43.0,119.5,7,2021-04-30,0.05
005860,한일사료,KOSDAQ,81959664800.0,5810179695.0,2785877.0,2080.0,CFS,63049549555.0,80174725603.0,4150238251.0,13457712380.0,0.2025502793906009,114.0,0.769275346706884,177.0,0.6567968481979443,97.0,3.912886944993948,150.0,134.5,8,2021-04-30,0.05
012450,한화에어로스페이스,KOSPI,1954318000000.0,7639445300.0,198989.0,38600.0,CFS,2989725530836.0,1724217087290.0,75536335588.0,235094922185.0,0.15460398069914927,157.0,1.5298050423912588,60.0,0.48118048789398654,162.0,3.529041000062426,170.0,137.25,9,2021-04-30,0.05
002880,대유에이텍,KOSPI,133726126035.0,1894622890.0,1501014.0,1245.0,CFS,13818412393.0,439537807018.0,14883779046.0,87287736343.0,0.4452018311546536,43.0,0.10333367758954837,493.0,2.610940402779761,7.0,13.147402681895091,7.0,137.5,10,2021-04-30,0.05
054930,유신,KOSDAQ,57000000000.0,565654400.0,30119.0,19000.0,OFS,82823065218.0,62040942752.0,1323517453.0,10065220188.0,0.09287841775438596,300.0,1.4530362318947367,68.0,0.7063312412631579,83.0,4.353750368561403,117.0,142.0,11,2021-04-30,0.05
002380,KCC,KOSPI,2781465423000.0,19483282500.0,62516.0,313000.0,CFS,5245995001770.0,1340715709098.0,608591195195.0,354383521283.0,0.8752094348001536,16.0,1.8860543648649197,36.0,0.5096357026085526,146.0,1.9280710060410484,372.0,142.5,12,2021-04-30,0.05
031820,콤텍시스템,KOSPI,89903192450.0,15758324190.0,11952652.0,1325.0,CFS,99548776010.0,172766442105.0,2910621011.0,8432950485.0,0.12950022937700473,199.0,1.1072885544677897,108.0,0.3752013807380652,236.0,7.686776738260311,41.0,146.0,13,2021-04-30,0.05
