entry_year,horizon_trading_days,n,up_n,up_probability,mean_return,median_return
2011,126,487308,212459,0.4359850443661914,0.06982055167504725,-0.034536289278093935
2012,126,485169,240778,0.4962765551797415,0.105761380780106,0.0
2013,126,478104,228917,0.47880168331576395,0.215861930994706,-0.006779661016949157
2014,126,484321,277548,0.5730662102200813,0.17960553409683644,0.04534883720930227
2015,126,510341,239193,0.46869250168024906,0.1872533721468553,-0.015437392795883409
2016,126,537490,241195,0.4487432324322313,0.031635665630937275,-0.019933554817275767
2017,126,551251,255349,0.4632173002860766,0.08680602040657004,-0.012917115177610294
2018,126,567521,200381,0.3530812075676495,-0.02792752576275922,-0.07699443413729123
2019,126,592396,186942,0.3155693151202912,-0.020016347449352944,-0.0898876404494382
2020,126,616593,415592,0.6740134902601879,0.33526994170964913,0.14347826086956528
2021,126,637536,235116,0.3687885860563168,0.035870068965150076,-0.06285714285714283
2022,126,648947,210408,0.3242298677704034,-0.019004906732688634,-0.08441558441558439
2023,126,669537,250471,0.3740958304022033,0.036830108749037374,-0.05279999999999996
2024,126,687708,231546,0.33669231708806646,0.024132790711085157,-0.07570093457943927
2025,126,696524,356661,0.5120584502472276,0.2132543206299495,0.0066006600660066805
2026,126,75234,20608,0.27391870696759446,0.12911721763307532,-0.15580079105050326
1998,252,71220,49697,0.6977955630440887,2.2568938342051648,0.561038961038961
1999,252,316569,85520,0.2701464767554625,0.2781908563662319,-0.4040404040404041
2000,252,350945,132422,0.3773297810198179,0.10194221981483569,-0.14415584415584415
2001,252,376848,164735,0.4371391117904301,0.20271463022783373,-0.06976744186046513
2002,252,408894,85708,0.20960933640503407,-0.1832729035186322,-0.30000000000000004
2003,252,427617,163358,0.3820194239237448,0.09024719277540214,-0.1135531135531136
2004,252,433100,329058,0.7597737243130916,0.9956529398288295,0.4368421052631579
2005,252,435237,262621,0.6033976890751476,0.5429754163864191,0.14107142857142851
2006,252,448855,274951,0.6125608492720366,0.5118841205779349,0.1357340720221607
2007,252,464581,124051,0.26701694645282525,-0.0336066741353125,-0.28340517241379315
2008,252,485807,192885,0.397040388467025,0.10045889722072981,-0.12262958280657399
2009,252,495750,281091,0.5670015128593041,0.2965218589011442,0.06638711114236817
2010,252,489223,206254,0.42159505992154905,0.15407744591679517,-0.06738868832731648
2011,252,487308,224182,0.4600416984740657,0.11401493794915135,-0.02898550724637683
2012,252,485169,250170,0.5156347581976589,0.1985922778286702,0.013081395348837122
2013,252,478104,247257,0.5171615380753978,0.29209544447415575,0.01388888888888884
2014,252,484195,304689,0.6292691993928066,0.4319243692279265,0.12680115273775217
2015,252,510215,241776,0.4738708191644699,0.20862857629079876,-0.018104366347177825
2016,252,537364,225920,0.4204226557789506,0.016263925074761727,-0.05144291091593478
2017,252,551251,226388,0.410680434139802,0.09438438865148828,-0.06329113924050633
2018,252,567521,177477,0.31272322962498306,-0.04257853008344456,-0.13153153153153152
2019,252,592396,239365,0.40406248522947485,0.12219437463257753,-0.07077625570776258
2020,252,616593,444973,0.7216640474348557,0.5887594777874228,0.2713936430317849
2021,252,637536,165714,0.2599288510766451,-0.0651431888769055,-0.1899641577060932
2022,252,648947,196787,0.30324048034739354,0.008250713064415391,-0.1316831683168317
2023,252,669537,214417,0.32024667792818023,0.03592341327395046,-0.1266666666666667
2024,252,687708,266938,0.388156019706038,0.10984570009679277,-0.0669710806697108
2025,252,408287,208124,0.5097492695089484,0.41834225944950726,0.007352941176470562
