,최신 K-올웨더 성장형,최신 K-올웨더 성장형,강환국 정적 원본,강환국 정적 원본,강환국 계절형 원본,강환국 계절형 원본
,CAGR10Y,MDD10Y,CAGR10Y,MDD10Y,CAGR10Y,MDD10Y
2013-08-31,0.11016915848681119,-0.07682058591929408,0.09003195636895778,-0.04974989186910561,0.10195951104791545,-0.05638365630621678
2013-09-30,0.10917242440719899,-0.07682058591929408,0.09035005624417702,-0.04974989186910561,0.10044062580100377,-0.06370946651119169
2013-10-31,0.10589389141077454,-0.07682058591929408,0.08722283793972219,-0.04974989186910572,0.09830906368078107,-0.0637094665111918
2013-11-30,0.1033199781939107,-0.07682058591929408,0.08521634115416088,-0.0497498918691055,0.09591926203630541,-0.0637094665111918
2013-12-31,0.09854440617514837,-0.07682058591929408,0.08331793834628964,-0.0497498918691055,0.09353052301405884,-0.06370946651119191
2014-01-31,0.10051810144332762,-0.07682058591929408,0.08298272856930566,-0.04974989186910572,0.09199055269378364,-0.06521538732694954
2014-02-28,0.10108306820335167,-0.07682058591929408,0.08387047412668558,-0.0497498918691055,0.09274747000013228,-0.06521538732694954
2014-03-31,0.10127459619750367,-0.07682058591929408,0.08282534135470043,-0.04974989186910561,0.09222583351715552,-0.06521538732694965
2014-04-30,0.10164602735767869,-0.07682058591929408,0.08388652048528167,-0.0497498918691055,0.09342169869301076,-0.06521538732694998
2014-05-31,0.1047686424303711,-0.07682058591929408,0.08610662739077846,-0.04974989186910561,0.09517704755665846,-0.06521538732694987
2014-06-30,0.1069670236708391,-0.07682058591929408,0.08725866870293886,-0.0497498918691055,0.0960581984596558,-0.06521538732694954
2014-07-31,0.10892676886664532,-0.07682058591929408,0.08894086749226782,-0.04974989186910561,0.09662584345869951,-0.06521538732694976
2014-08-31,0.10717723412790714,-0.0768205859192942,0.08563690634106602,-0.04974989186910561,0.09336910043680957,-0.06521538732694987
2014-09-30,0.1062205621906549,-0.07682058591929408,0.08360775841035317,-0.04974989186910572,0.09199805160545727,-0.06521538732694965
2014-10-31,0.11019878448516063,-0.07682058591929408,0.08537232751946444,-0.04974989186910561,0.09410042530662888,-0.06521538732694998
2014-11-30,0.11733150314643104,-0.07682058591929408,0.08805713211243837,-0.04974989186910572,0.09644868331548762,-0.06521538732694943
2014-12-31,0.11743513303989306,-0.07682058591929408,0.08680753125424068,-0.0497498918691055,0.09458897678833389,-0.06521538732694943
2015-01-31,0.12486347586675728,-0.07682058591929408,0.09151799385732651,-0.04974989186910561,0.09814684945582086,-0.06521538732694976
2015-02-28,0.12513204938945766,-0.07682058591929408,0.0906051070086622,-0.0497498918691055,0.09664070326251406,-0.06521538732694987
2015-03-31,0.12737374772131616,-0.07682058591929408,0.09225742460391917,-0.0497498918691055,0.0987410167411491,-0.06521538732694965
2015-04-30,0.128683843173359,-0.07682058591929408,0.09343033645042587,-0.04974989186910561,0.10129739889928269,-0.06521538732694976
2015-05-31,0.128585746191328,-0.07682058591929408,0.09152635606681714,-0.04974989186910572,0.099765075648659,-0.06521538732694965
2015-06-30,0.12127188240799702,-0.07682058591929408,0.0866852891626857,-0.04974989186910561,0.09541914876768853,-0.06521538732694954
2015-07-31,0.12220384523886363,-0.07682058591929408,0.0859792979535523,-0.04974989186910561,0.09657262936261168,-0.06521538732694998
2015-08-31,0.11865013711602179,-0.07682058591929408,0.08659364963934313,-0.0497498918691055,0.09817952454030698,-0.06521538732694976
2015-09-30,0.11424157721620132,-0.07682058591929408,0.08262715190669812,-0.0497498918691055,0.09559431558936615,-0.06521538732694954
2015-10-31,0.11957495260579964,-0.07682058591929397,0.08659464579943421,-0.04974989186910561,0.0979725822711559,-0.06521538732694998
2015-11-30,0.11406180978502989,-0.07682058591929408,0.08095400664434149,-0.0497498918691055,0.09132364176440388,-0.06521538732694987
2015-12-31,0.11392022026271187,-0.07682058591929408,0.08022876424561454,-0.0497498918691055,0.09015871902308148,-0.06521538732694987
2016-01-31,0.1146029915046669,-0.07682058591929408,0.0810814322753961,-0.04974989186910561,0.08965755583147428,-0.06521538732694976
2016-02-29,0.11745528951305562,-0.07682058591929408,0.08488606600919191,-0.04974989186910572,0.093575214629108,-0.06521538732694954
2016-03-31,0.11328948259598515,-0.07682058591929408,0.08235486538124248,-0.04974989186910561,0.09168920978331063,-0.06521538732694965
2016-04-30,0.11300457038750289,-0.0768205859192942,0.08192855641163721,-0.0497498918691055,0.09029469822866543,-0.06521538732694954
2016-05-31,0.11574278643314395,-0.07682058591929408,0.08458215887223974,-0.04974989186910561,0.09205162848766224,-0.06521538732694943
2016-06-30,0.1179920461833146,-0.07682058591929397,0.08707352982337113,-0.04974989186910561,0.09429308441589135,-0.06521538732694998
2016-07-31,0.11677289829519055,-0.07682058591929397,0.08594459829353696,-0.04974989186910561,0.09280511419839654,-0.06521538732694965
2016-08-31,0.11348262557998878,-0.07682058591929408,0.08341852687314799,-0.04974989186910561,0.0900679733461236,-0.06521538732694976
2016-09-30,0.11103086301135967,-0.07682058591929408,0.08317541091243097,-0.0497498918691055,0.0897374268169755,-0.06521538732694987
2016-10-31,0.10984631529267253,-0.07682058591929408,0.08216285891309161,-0.04974989186910561,0.08884175147137108,-0.06521538732694943
2016-11-30,0.10441385867101816,-0.07682058591929408,0.07881648601608271,-0.0497498918691055,0.08606954057296123,-0.06521538732694965
2016-12-31,0.1021329578177943,-0.07682058591929408,0.07965949491905544,-0.04974989186910561,0.08753337886259871,-0.06521538732694987
2017-01-31,0.09972347140589655,-0.07682058591929408,0.07948113680951696,-0.04974989186910561,0.08784998959662116,-0.06521538732694987
2017-02-28,0.10002134082310787,-0.07682058591929408,0.07887720522688335,-0.04974989186910561,0.08742077603084808,-0.06521538732694965
2017-03-31,0.09808305176353449,-0.07682058591929408,0.07785112974030417,-0.04974989186910561,0.08672928290230231,-0.06521538732694976
2017-04-30,0.09657573112713602,-0.07682058591929408,0.07862600667409692,-0.04974989186910561,0.08669652083815249,-0.06521538732694954
