,전략(비용전),전략(비용후),정적4자산25%
2000-10-31,1.3190176015827484,1.3169520305258562,1.6801959194002285
2000-11-30,1.2932059841995045,1.2911808339298214,1.6778611158741317
2000-12-31,1.2941888736817444,1.2921621842149618,1.7046943641915284
2001-01-31,1.3028345626679614,1.299735049542958,1.8334497208065204
2001-02-28,1.315740053916881,1.312609837937765,1.7687024581942044
2001-03-31,1.305167563110857,1.3020624996529868,1.6852558505874025
2001-04-30,1.287248213146825,1.2841857807811876,1.743170205060138
2001-05-31,1.2917354335048945,1.2886623258019632,1.771255535487209
2001-06-30,1.3037063169778358,1.3006047299026913,1.7578051107403028
2001-07-31,1.3229954435625808,1.3198479666233411,1.7372856345989092
2001-08-31,1.339695719377515,1.3365085115886626,1.7387237058366087
2001-09-30,1.3447999223055493,1.341600571344861,1.657759357761174
2001-10-31,1.362140100970749,1.3588994967973331,1.7357152933423823
2001-11-30,1.3377557360280292,1.3345731435633525,1.8220705685162795
2001-12-31,1.3290807289886146,1.3259187748297894,1.8594400818587031
2002-01-31,1.354557504767552,1.350641534482808,1.8945386142627012
2002-02-28,1.394487517867079,1.3904561115493748,1.9484698218963554
2002-03-31,1.4227551202666548,1.4186419934678132,1.9906704227828984
2002-04-30,1.4045798481316927,1.4005192653004175,1.9535117934609647
2002-05-31,1.3858942691250322,1.3818877055375955,1.9279331597231162
2002-06-30,1.3596129490888673,1.3556823637215825,1.875643248436345
2002-07-31,1.349999017896142,1.3460962260102987,1.8489394532052574
2002-08-31,1.3770782507924972,1.3730971739530933,1.9006483854533118
2002-09-30,1.3370585348623605,1.3331931533831274,1.826849443101674
2002-10-31,1.342529898687092,1.3386486997190632,1.847542433482684
2002-11-30,1.3841435684104366,1.3801420660270842,1.9221761047349462
2002-12-31,1.3445708148744324,1.34068371570127,1.8607529111658687
2003-01-31,1.348781741728658,1.3444116642762445,1.829739597446888
2003-02-28,1.363366750724941,1.3589494175772685,1.8322173500776435
2003-03-31,1.3600431502547528,1.3556365856332446,1.7999170765142811
2003-04-30,1.370984208447661,1.3665421945979825,1.8960234516237073
2003-05-31,1.4007921192657233,1.3962535272411338,1.9857745328305423
2003-06-30,1.3991148358362646,1.3945816782405893,2.016019981947904
2003-07-31,1.3625089896841338,1.3580944356978837,2.0042638617307102
2003-08-31,1.3654452288012748,1.361021161346712,2.0532426723266406
2003-09-30,1.390827136415834,1.3863208311174942,2.038880811763261
2003-10-31,1.3857512758278892,1.381261416410466,2.1236738717808157
2003-11-30,1.3813822049301687,1.37690650138217,2.1355087911698796
2003-12-31,1.3889904876949322,1.3844901331719586,2.179682266643678
2004-01-31,1.4191958221064047,1.41372019046903,2.231953668233566
2004-02-29,1.4469726999725958,1.4413898978173387,2.2821238497201723
2004-03-31,1.4491457714881468,1.443554585050076,2.2918151118679826
2004-04-30,1.4181364383336783,1.4126648940781938,2.2288645208469275
2004-05-31,1.3983305147974319,1.3929353870165686,2.198792156180998
2004-06-30,1.4018324220475193,1.396423782985245,2.2085440124123226
2004-07-31,1.3738480972186584,1.3685474290593398,2.1698533376878957
2004-08-31,1.414649632536996,1.409191541297534,2.2483729089865556
2004-09-30,1.439548573394126,1.4339944154764999,2.292484533050414
2004-10-31,1.4506303943971068,1.4450334798924485,2.3155086353583774
2004-11-30,1.481521918448934,1.4758058163002663,2.3599645520640093
2004-12-31,1.5066414687490408,1.5008284487528163,2.407400633008156
2005-01-31,1.5207522103621791,1.514536721054877,2.435004368339468
2005-02-28,1.540654348680311,1.5343575170431631,2.4753259500613853
2005-03-31,1.5195841855984291,1.5133734701427646,2.436375748312304
2005-04-30,1.5123832825004198,1.5062019979644696,2.4186031678536963
2005-05-31,1.5617039321874282,1.555321068479888,2.5037293858160563
2005-06-30,1.5833716209963224,1.5769001989508833,2.542346224720705
2005-07-31,1.615778833773663,1.6091749597198528,2.6062176058103006
2005-08-31,1.613840538828237,1.6072445868089476,2.6003092386485807
2005-09-30,1.6481044263467644,1.6413684338757517,2.670254489862412
2005-10-31,1.6039347682037153,1.5973793022090244,2.59209681603559
2005-11-30,1.6659047930543323,1.6590960484359394,2.706007944098883
2005-12-31,1.711155454059543,1.704161764781718,2.7883037901308865
2006-01-31,1.7244921344858446,1.7170060229438417,2.812769650436143
2006-02-28,1.724613284507326,1.717126647046674,2.8317544155456016
2006-03-31,1.71243892687535,1.7050051389449232,2.7949893107567827
2006-04-30,1.7302299064357063,1.722718886922272,2.836385110235412
2006-05-31,1.6864658326788642,1.679144795323727,2.7701158051194112
2006-06-30,1.6828534463587321,1.6755480905636233,2.7697534580033953
2006-07-31,1.696483744670651,1.6891192190298392,2.8183742206196296
2006-08-31,1.7327378062006218,1.7252158997616973,2.8946009825922983
2006-09-30,1.7582223923743585,1.7505898559993018,2.9568888015689283
2006-10-31,1.7705755950050452,1.7628894327241669,2.973282377201619
2006-11-30,1.8059165761034661,1.7980769967549097,3.0324139884648362
2006-12-31,1.8038470720401403,1.796016476518152,3.023856829674572
2007-01-31,1.78717104795356,1.7790993360827065,2.9964067340070812
2007-02-28,1.813928120147957,1.8057355606517413,3.047655707677385
2007-03-31,1.8230975784536605,1.814863605335878,3.060702896431753
2007-04-30,1.869309568037322,1.8608668796623595,3.1370500922397544
2007-05-31,1.9176335537388838,1.9089726113308332,3.2136239348433713
2007-06-30,1.910751541652645,1.9021216816744018,3.1964593771018186
2007-07-31,1.9719999537982227,1.9630934669487279,3.307673981026038
2007-08-31,1.963172573242206,1.9543059550289585,3.2913069114030398
2007-09-30,2.003351893550999,1.9943038064755119,3.358492613525308
2007-10-31,2.0541017573129317,2.0448244597887637,3.4485765070671275
2007-11-30,2.008341989498526,1.9992713647835993,3.377615382627869
2007-12-31,2.0023305053446325,1.993287031342595,3.36865521632316
2008-01-31,1.9586345554351998,1.9491944952244606,3.2615721492669723
2008-02-29,1.963687958774913,1.9542235426006462,3.275836265557152
2008-03-31,1.9717388878037991,1.9622356684466855,3.28745676153193
2008-04-30,2.0015508786042537,1.9919039739499635,3.3830103634254822
2008-05-31,1.9832719821378675,1.9737131765537943,3.3267143448758603
2008-06-30,1.9313136228823813,1.9220052417781897,3.1678049746194383
2008-07-31,1.9191357811292675,1.9098860937507978,3.1447517919813404
2008-08-31,1.9143629357583076,1.9051362521339343,3.124779783666634
2008-09-30,1.896630462967439,1.8874892448069354,3.0708676500423517
2008-10-31,1.8043644757213513,1.795667953317179,2.8448498536953406
2008-11-30,1.841271497417683,1.8323970936899912,2.874573782131819
2008-12-31,1.9610147174290427,1.9515631855160045,3.1814636954601836
2009-01-31,1.865847407795391,1.8562203877764343,2.9920097703334565
2009-02-28,1.8399132703280774,1.8304200599976992,2.81196976679079
2009-03-31,1.869185559947214,1.8595413164096257,3.003577624917235
2009-04-30,1.8575476571644554,1.8479634605109798,3.0109786696380465
