Date,WealthMultiple_Net,Drawdown_Net,SPY_WealthMultiple
2011-02-28,1.4070023248728658,-0.026095029888571042,1.1655161579655937
2011-03-31,1.4115115427784048,-0.011133970283122685,1.1656565780674333
2011-04-30,1.4554023795074884,-0.01091491919381593,1.199415238038401
2011-05-31,1.466682813178766,-0.009526944388034808,1.1859647475334332
2011-06-30,1.4370380775666085,-0.022073023142686,1.1659580424735703
2011-07-31,1.4744302078694174,-0.017261491651682226,1.1426335614574905
2011-08-31,1.532828696090978,-0.015534123367590413,1.0798160145615645
2011-09-30,1.5646445577116284,-0.02901985850039346,1.004854498445725
2011-10-31,1.5886838438638429,-0.024173425290916817,1.1145313742388792
2011-11-30,1.6042399805419678,-0.015624511488847359,1.110002211616604
2011-12-31,1.6215033754191366,-0.009187816512621017,1.1215999466403612
2012-01-31,1.6585236802579963,-0.012161981372022068,1.1736136586633061
2012-02-29,1.663149944762311,-0.008710267429204555,1.2245547366333227
2012-03-31,1.6450218075029446,-0.027677188833225452,1.2639409077106436
2012-04-30,1.675136854793809,-0.023943309098422794,1.2555034148413518
2012-05-31,1.685987227859948,-0.012038180929636377,1.1801032614323905
2012-06-30,1.698666728547869,-0.013608002843195188,1.227993449402249
2012-07-31,1.742273819511091,-0.0034721521015069756,1.242519908937564
2012-08-31,1.7586460504736747,-0.02041562514730144,1.2736485881636386
2012-09-30,1.7591868142102651,-0.012764415588427003,1.3059364353303997
2012-10-31,1.735835482721217,-0.025686478325657958,1.2821705963817251
2012-11-30,1.751108414871091,-0.022137808636173317,1.2894271561945454
2012-12-31,1.7318644630023452,-0.018931494940523486,1.300947572399727
2013-01-31,1.736176962061354,-0.023542089702542235,1.3675434731859042
2013-02-28,1.7415546262512747,-0.020838634046547733,1.3849917239902478
2013-03-31,1.7619497175485304,-0.01853221267290539,1.4375819482938081
2013-04-30,1.7947522969894454,-0.011996339150489255,1.465200563786709
2013-05-31,1.7423667362018078,-0.032552804425912574,1.4997935824502957
2013-06-30,1.6907988048185485,-0.07190550894362491,1.4797803829607228
2013-07-31,1.7159316547056283,-0.0706763460756028,1.556249835445193
2013-08-31,1.6943661655567481,-0.07305370262604205,1.5095747201690657
2013-09-30,1.712313209483453,-0.06873756405048759,1.5573473940661975
2013-10-31,1.7510483785261979,-0.05758850170721996,1.6294629457680014
2013-11-30,1.7436764922457841,-0.04413093426832404,1.6777565782429584
2013-12-31,1.7408378199988617,-0.0448508936178158,1.7212552152903449
2014-01-31,1.7720144770653343,-0.03561909035234023,1.6605835508382203
2014-02-28,1.8146820338627996,-0.02280630728826838,1.7361666014298276
2014-03-31,1.818517856663484,-0.01022079659195041,1.7505686136498868
2014-04-30,1.8420501955087125,-0.006395559316468513,1.7627375952004407
2014-05-31,1.8757727497908618,-0.006424154308385721,1.8036446037432488
2014-06-30,1.8958248403852775,-0.011492678443665416,1.840880153198331
2014-07-31,1.8812291740888443,-0.01646252793929115,1.8161428704326168
2014-08-31,1.9444560749331126,-0.013729825910770987,1.8878145190874798
2014-09-30,1.898406918841623,-0.03060145975117856,1.8617702762238928
2014-10-31,1.9302117305165514,-0.022629300790542817,1.9056164530233328
2014-11-30,1.9640248722287317,-0.010364361501222219,1.9579673488158198
2014-12-31,1.9821139640137084,-0.009113923109800526,1.9530006898137504
2015-01-31,2.0603159895310896,-0.0038070903180675852,1.8951351455717642
2015-02-28,2.0288981699039503,-0.03042361651423231,2.001650462771998
2015-03-31,2.0184434318248137,-0.04707937773022208,1.9702132103721308
2015-04-30,2.004065849509284,-0.029256305950883577,1.989587849448588
2015-05-31,1.9878897788996233,-0.048080452905415405,2.0151660730991945
2015-06-30,1.9390127153102745,-0.06428131944239512,1.9742344910385647
2015-07-31,1.9625933790349168,-0.06572712524679336,2.0188305111818283
2015-08-31,1.9245660919935494,-0.07690616341151457,1.895782482241245
2015-09-30,1.9226932198120739,-0.07724171009082159,1.8474095124087488
2015-10-31,1.9692501986992346,-0.06669570305625849,2.0045490847242236
2015-11-30,1.945451054303902,-0.07131399567248775,2.0118770832638546
2015-12-31,1.9237170442815732,-0.06841702851256004,1.9771062576463134
2016-01-31,1.948057389791324,-0.08112462376152563,1.8786729949325893
2016-02-29,1.9929525244830555,-0.05852802411616653,1.877121177282134
2016-03-31,2.0338179961628917,-0.037082091294209696,2.0033878104820095
2016-04-30,2.052025462449437,-0.015570993472194927,2.0112836328084547
2016-05-31,2.059266323615735,-0.011038388798553234,2.0454989213980928
2016-06-30,2.1498144193274107,-0.009257378913664627,2.0526087422044905
2016-07-31,2.183294163063292,-0.016846021977148906,2.127469682422387
2016-08-31,2.1670248055543913,-0.01703789269654188,2.1300174296451413
2016-09-30,2.1621933590884646,-0.03433325589651226,2.130140648284505
2016-10-31,2.1021843909940237,-0.043603579845907126,2.093210512550925
2016-11-30,2.031151710258245,-0.07591987157559654,2.170321333850547
2016-12-31,2.0440903879582546,-0.0783270366376545,2.214317935684083
2017-01-31,2.069641181411773,-0.0650586174685589,2.2539423821217124
2017-02-28,2.114182346259236,-0.058661014973896086,2.342503585100725
2017-03-31,2.104034799047075,-0.05939840625415693,2.3454309931738275
2017-04-30,2.1258064622248702,-0.039313123436683695,2.368712470533719
2017-05-31,2.151292810039162,-0.04029124068547785,2.4021417576033097
2017-06-30,2.155715917909051,-0.018245794260473347,2.4174545697089265
2017-07-31,2.1744973165797408,-0.027436616350108634,2.46714397799617
2017-08-31,2.2181106199582215,-0.006703762035056182,2.4743422634667267
2017-09-30,2.2035834812433914,-0.014762088156670461,2.5241989472002873
2017-10-31,2.2237844057756533,-0.014701598520564962,2.5836796736636827
2017-11-30,2.253220560877441,-0.00973444517681843,2.6626521144634463
2017-12-31,2.2865658883312814,-0.011868972780256781,2.694943472132753
2018-01-31,2.2987729960344905,-0.01245458009128908,2.846828524237387
2018-02-28,2.2335697475314986,-0.0538044793579997,2.7433166174903767
2018-03-31,2.248193465651227,-0.0419857092235153,2.6681216529552283
2018-04-30,2.233074882066006,-0.04584350508073798,2.6819110824810126
2018-05-31,2.2730878392579292,-0.04212430541213541,2.747106380513902
2018-06-30,2.273803594879349,-0.02502476052763858,2.7629036419708664
2018-07-31,2.276941346255143,-0.022621467107572846,2.865259715754609
2018-08-31,2.3129492664899423,-0.02438622299893578,2.956718312009956
2018-09-30,2.2927193027826456,-0.016982494877030296,2.974297504559265
2018-10-31,2.2072619362717782,-0.04992906574921174,2.7687600378432173
2018-11-30,2.2231269605713484,-0.0569100145675695,2.8201204453423534
2018-12-31,2.2216962225924184,-0.06288492333657725,2.5718125953320854
2019-01-31,2.2974123889430893,-0.03985468776903989,2.7777262123959354
2019-02-28,2.3107926926089473,-0.012494903756910869,2.8677677942985933
2019-03-31,2.378628870909525,-0.012519242928903718,2.919676717820539
2019-04-30,2.3904420493949363,-0.008912733057126476,3.038952536250327
2019-05-31,2.4045250614513387,-0.007737431110317661,2.845155067673713
2019-06-30,2.4899295017089114,-0.005327494934799226,3.0431384594861677
2019-07-31,2.5024692549514875,-0.011987401356932437,3.0891506163564846
2019-08-31,2.6178509088694883,-0.004639892636855492,3.037428276044857
2019-09-30,2.5952760680726756,-0.03144230428013317,3.096528639557396
2019-10-31,2.610160379345706,-0.02303328748760447,3.1649760671488925
2019-11-30,2.626595219065452,-0.025187815616658393,3.2795430729886137
2019-12-31,2.631782223585743,-0.012524353740448357,3.3748311009462557
2020-01-31,2.7178823607370375,-0.006265839376585869,3.3734683238579017
2020-02-29,2.7291126906267835,-0.02332961791880339,3.1064050874202898
2020-03-31,2.701147013885744,-0.13591924321457305,2.718504561020433
2020-04-30,2.809199070104437,-0.05417186442624056,3.0637100044056806
2020-05-31,2.8385466330556164,-0.02644045551279306,3.209681614971591
2020-06-30,2.8691129380025484,-0.014125025444190586,3.2666030095538328
2020-07-31,3.0074414361868533,-0.001155141831599149,3.4589803043254657
2020-08-31,2.99878337281998,-0.02532160924049842,3.7004066917199534
2020-09-30,2.9609987168885374,-0.036240577112542804,3.561849964631687
2020-10-31,2.8844631137357823,-0.052897499750659605,3.473039515971909
2020-11-30,2.997720522297958,-0.04490655104773489,3.850825757961381
2020-12-31,3.0402575712982243,-0.01989816447166981,3.9934932835310035
2021-01-31,2.9827852655011773,-0.020613794917181627,3.952797080666082
2021-02-28,2.9409555644100185,-0.0421418441517627,4.062707053828291
2021-03-31,2.9110519921704205,-0.05245720414056998,4.247151665996745
2021-04-30,3.020592248182242,-0.03211841717277941,4.471869114423075
2021-05-31,3.055815138933837,-0.02409731263620951,4.501232010868517
2021-06-30,3.1250894236803566,-0.01123727284917464,4.602182830483097
2021-07-31,3.2104250618301284,-0.00401287558532748,4.714534007115789
2021-08-31,3.2319606444202207,-0.014547152059597002,4.8548386134217045
2021-09-30,3.1477455339963853,-0.03025610308903559,4.628576192824884
2021-10-31,3.269638442991957,-0.02886034769627055,4.953332783354601
2021-11-30,3.266584307613915,-0.018998098450793588,4.9135349180912
2021-12-31,3.319939475619784,-0.02069330532569702,5.140774311546569
2022-01-31,3.2273617532509014,-0.04795847885171134,4.869643104758661
2022-02-28,3.209470446418271,-0.05727806734581553,4.725905578013021
2022-03-31,3.1833281186120077,-0.0681187374249893,4.9035542083026895
2022-04-30,2.9795342057719303,-0.10595548107279351,4.473174319269676
2022-05-31,2.9661371256685585,-0.13184169983187932,4.483270875642202
2022-06-30,2.8485777207832528,-0.16008884913936383,4.1135795014735335
2022-07-31,2.9470872346588717,-0.15288842915511347,4.4923880018043985
2022-08-31,2.833488161992766,-0.1497783258311528,4.309089919767464
