Date,NAV_Gross,NAV_Net,Drawdown_Net,Turnover,Cost
2010-02-24,12343.857410892673,12340.380534334552,-0.02501633199681208,0.0,0.0
2010-02-25,12367.449051454798,12363.96552987322,-0.02315293844941302,0.0,0.0
2010-02-26,12423.343609233763,12419.84434391251,-0.018738088281372134,0.0,0.0
2010-03-01,12452.021772752218,12448.514429693903,-0.016472934032738085,0.0,0.0
2010-03-02,12479.264988192326,12475.749971576714,-0.014321119633573076,0.0,0.0
2010-03-03,12481.508961649923,12477.993312977535,-0.014143878646435737,0.0,0.0
2010-03-04,12508.214868325826,12504.691697439126,-0.012034503758060255,0.0,0.0
2010-03-05,12495.43550729113,12491.915935948668,-0.013043885824103096,0.0,0.0
2010-03-08,12455.905644380384,12452.397207357537,-0.016166165145182432,0.0,0.0
2010-03-09,12457.163688780303,12453.654897405899,-0.01606679809137479,0.0,0.0
2010-03-10,12449.947340931045,12446.440582174957,-0.01663678371754118,0.0,0.0
2010-03-11,12481.268418698664,12477.752837779663,-0.014162878011150015,0.0,0.0
2010-03-12,12505.025662658683,12501.503390070953,-0.012286404224491898,0.0,0.0
2010-03-15,12492.491395591116,12488.97265351236,-0.013276427462323825,0.0,0.0
2010-03-16,12598.83316934076,12595.284474127582,-0.004876987224064044,0.0,0.0
2010-03-17,12646.369078798387,12642.806994213981,-0.0011223476635028318,0.0,0.0
2010-03-18,12627.175153703209,12623.61847544407,-0.0026383861974673684,0.0,0.0
2010-03-19,12582.054342596199,12578.510373451008,-0.006202268414510104,0.0,0.0
2010-03-22,12609.8892836727,12606.337474299702,-0.004003716369873622,0.0,0.0
2010-03-23,12610.152025199772,12606.600141820747,-0.003982963643292758,0.0,0.0
2010-03-24,12453.358846017603,12449.851126347783,-0.016367324857803678,0.0,0.0
2010-03-25,12407.714451447562,12404.219588368695,-0.019972562488174472,0.0,0.0
2010-03-26,12440.547739844997,12437.043628661022,-0.017379214324083736,0.0,0.0
2010-03-29,12463.822291241257,12460.311624347874,-0.01554086616952477,0.0,0.0
2010-03-30,12479.157801770962,12475.642815346391,-0.014329585788583232,0.0,0.0
2010-03-31,12511.89483830666,12508.370630888106,-0.011743840109686876,0.0,0.0
2010-04-01,12550.245782491074,12546.710772817247,-0.008714678074867033,0.0,0.0
2010-04-05,12501.713251366667,12498.19191178106,-0.012548036128030904,0.0,0.0
2010-04-06,12524.708617534492,12521.180800877179,-0.010731739511253946,0.0,0.0
2010-04-07,12585.486778328926,12581.941842374501,-0.005931156340748922,0.0,0.0
2010-04-08,12599.00377519988,12595.455031932393,-0.0048635118637476715,0.0,0.0
2010-04-09,12648.792063563493,12645.22929650045,-0.0009309674089228448,0.0,0.0
2010-04-12,12680.292001350826,12676.720361745625,0.0,0.0,0.0
2010-04-13,12703.64434763005,12700.06613040307,0.0,0.0,0.0
2010-04-14,12721.446403493359,12717.863171986914,0.0,0.0,0.0
2010-04-15,12742.068165125542,12738.479125117165,0.0,0.0,0.0
2010-04-16,12689.128430138544,12685.554301589158,-0.004154720748700047,0.0,0.0
2010-04-19,12674.842620781576,12671.272516095558,-0.005275873859155733,0.0,0.0
2010-04-20,12738.464360492824,12734.876335562913,-0.0002828272919290775,0.0,0.0
2010-04-21,12790.274934437986,12786.67231609825,0.0,0.0,0.0
2010-04-22,12780.861737306617,12777.261770368574,-0.0007359651907109521,0.0,0.0
2010-04-23,12801.094153579672,12797.488487806046,0.0,0.0,0.0
2010-04-26,12784.632479480264,12781.031450442697,-0.0012859583643329842,0.0,0.0
2010-04-27,12780.943895914923,12777.343905835383,-0.0015741043244428266,0.0,0.0
2010-04-28,12757.589913078267,12753.996501081474,-0.0033984782847050754,0.0,0.0
2010-04-29,12837.522089537408,12833.906163159467,0.0,0.0,0.0
2010-04-30,12856.328793215132,12852.707569580023,0.0,0.0,0.0
2010-05-03,12902.913947533902,12899.279602325396,0.0,0.0,0.0
2010-05-04,12883.355309114875,12879.726472959916,-0.0015158311136969083,0.0,0.0
2010-05-05,12880.467033903424,12876.839011284786,-0.001739677852751087,0.0,0.0
2010-05-06,12948.046676375348,12944.399618696041,0.0,0.0,0.0
