Code,Name,Market,Marcap,Amount,Volume,Close,fs_div,available_date,equity,revenue_q,net_income_q,ocf_q,EY_1_PER,BY_1_PBR,CFY_1_PCR,SY_1_PSR,EY_1_PER_rank,BY_1_PBR_rank,CFY_1_PCR_rank,SY_1_PSR_rank,avg_rank,overall_rank,signal_date,target_weight,top_n
084690,대상홀딩스,KOSPI,378421022100.0,895104300.0,87187.0,10450.0,CFS,2016-08-16,1033987700576.0,835311543593.0,9754645512.0,54022874419.0,0.10310891776432311,2.7323738381076583,0.571034601822138,8.829441228793721,377.0,53.0,104.0,39.0,143.25,29,2016-10-31,0.03333333333333333,30
005160,동국산업,KOSDAQ,247500000000.0,1627609270.0,323034.0,4950.0,CFS,2016-08-12,465288782848.0,203101885687.0,17774159074.0,35352136021.0,0.287259136549495,1.8799546781737373,0.5713476528646465,3.2824547181737374,60.0,167.0,103.0,248.0,144.5,30,2016-10-31,0.03333333333333333,30
004140,동방,KOSPI,45200337000.0,570045120.0,267511.0,2100.0,CFS,2016-08-16,135578281991.0,142598636481.0,17770927541.0,9745266406.0,1.572636729765975,2.9994971495677123,0.8624065263938187,12.619254275117463,2.0,42.0,44.0,13.0,25.25,1,2016-10-31,0.02,50
010100,한국프랜지,KOSPI,88306218000.0,163964650.0,11271.0,14500.0,CFS,2016-08-16,286079270050.0,308561565105.0,6578008277.0,23410228220.0,0.2979635376072838,3.239627701528334,1.0604113164488598,13.976889604987953,58.0,33.0,29.0,11.0,32.75,2,2016-10-31,0.02,50
010770,평화홀딩스,KOSPI,57331826720.0,47899440.0,12239.0,3920.0,CFS,2016-08-16,150741141923.0,156365217982.0,4282154653.0,18903428162.0,0.2987628267219461,2.629275056230059,1.318878482928618,10.909487935604366,57.0,60.0,18.0,20.0,38.75,3,2016-10-31,0.02,50
000880,한화,KOSPI,2799708752250.0,8264490250.0,222244.0,37350.0,CFS,2016-08-16,15153896000000.0,10864899000000.0,128298000000.0,1441132000000.0,0.18330192366887116,5.412668724138357,2.0589741684263796,15.522898931924072,141.0,7.0,4.0,8.0,40.0,4,2016-10-31,0.02,50
007860,서연,KOSPI,249583544400.0,1301812750.0,118180.0,11100.0,CFS,2016-08-16,1027343294528.0,814105427994.0,23816213414.0,36846037776.0,0.38169525112329483,4.116230086393468,0.590520306370006,13.047421534959177,38.0,17.0,96.0,12.0,40.75,5,2016-10-31,0.02,50
013580,계룡건설,KOSPI,130391242200.0,97271350.0,6690.0,14600.0,CFS,2016-08-16,322317473013.0,478857641391.0,8288745545.0,49161900918.0,0.2542730755578307,2.471925779483064,1.5081350584142221,14.689871292322115,78.0,72.0,11.0,9.0,42.5,6,2016-10-31,0.02,50
097230,한진중공업,KOSPI,413604781200.0,846517920.0,217637.0,3900.0,CFS,2016-08-16,1230559000000.0,853477000000.0,107867000000.0,70742000000.0,1.0431891013159302,2.9752049684477875,0.6841506985944872,8.254034177494658,7.0,43.0,76.0,44.0,42.5,7,2016-10-31,0.02,50
058650,세아홀딩스,KOSPI,480000000000.0,76982500.0,642.0,120000.0,CFS,2016-08-16,2861583776740.0,1039521706752.0,33314468406.0,87182767409.0,0.27762057005,5.9616328682083335,0.7265230617416667,8.6626808896,66.0,3.0,62.0,40.0,42.75,8,2016-10-31,0.02,50
