Date,Top20_Gross,Top20_Minimum,Top20_Base,Top20_Conservative,KOSPI
2018-02-26,1.0571706212066727,1.052000385862309,1.04384840674046,1.031494708153956,1.223813483783905
2018-02-27,1.0532588295226986,1.0481077253225595,1.0399859105313276,1.027677923672361,1.2230615628999246
2018-02-28,1.05247485393209,1.0473275838701936,1.0392118144159381,1.0269129888010993,1.2087302496277743
2018-03-02,1.0541269137875038,1.04897156410432,1.0408430554032682,1.0285249244378158,1.196181636199762
2018-03-05,1.035416873357747,1.0303530276478896,1.0223687944837214,1.0102693020193532,1.1826868971561455
2018-03-06,1.052619483218,1.0474715058270965,1.0393546211177482,1.0270541054194273,1.2007877740652029
2018-03-07,1.0489253970089036,1.0437954860442706,1.035707086910521,1.0234497389153732,1.196012329510654
2018-03-08,1.0645433904227262,1.0593370975572567,1.0511282660602908,1.038688412063472,1.2115785856915928
2018-03-09,1.0787962460181517,1.0735202476422572,1.0652015105360075,1.0525951030250342,1.2247098133144771
2018-03-12,1.0880147647845562,1.0826936820007216,1.074303859706319,1.0615897280494324,1.236994507491821
2018-03-13,1.081486255293792,1.0761971010651388,1.0678576209501327,1.0552197790016906,1.242158361509618
2018-03-14,1.079568615339282,1.0742888395871697,1.0659641466413856,1.053348713512788,1.237970510758444
2018-03-15,1.079781585792578,1.0745007684797727,1.0661744332913325,1.0535565114700536,1.2411076641154473
2018-03-16,1.077067010272436,1.0717994689569177,1.0634940662107162,1.0509078658988071,1.2418994218674526
2018-03-19,1.0696567819166218,1.0644254813211789,1.0561772198023562,1.043677612634192,1.2324680433624309
2018-03-20,1.0708748597516935,1.0656376019824993,1.0573799477082586,1.044866106540277,1.237691652682266
2018-03-21,1.0637901664510503,1.0585875573288883,1.0503845340391953,1.0379534819346423,1.237417774214591
2018-03-22,1.0555031157899073,1.05034103560543,1.0422019148330943,1.0298677020882294,1.2429202416106044
2018-03-23,1.030310018978461,1.025271149027938,1.0173262954770914,1.005286479793804,1.2034518646144041
2018-03-26,1.0448012595580631,1.039691518243235,1.0316349208657203,1.01942576599094,1.2135704290928646
2018-03-27,1.0474193963177396,1.0422968506523744,1.0342200644843516,1.021980315047314,1.2210298826306276
2018-03-28,1.0424419195606738,1.0373437169159516,1.0293053127137053,1.0171237281994763,1.2047117055657084
2018-03-29,1.0487077584459294,1.0435789118720091,1.0354921909773114,1.02323738622462,1.213216876889139
2018-03-30,1.0582791065478687,1.0531034500066099,1.044942923211209,1.0325762712815854,1.2179375457501531
2018-04-02,1.049288932630054,1.044157243745491,1.0360660413416403,1.023804445205843,1.2170959919131157
2018-04-03,1.0558587136335353,1.050694894349898,1.0425530315166887,1.0302146633890594,1.2162345196420656
2018-04-04,1.0506298137999144,1.0454915671553473,1.0373900250437122,1.0251127598744776,1.1991196052166377
2018-04-05,1.0634287025376015,1.0582278612034046,1.050027625208607,1.0376007970355052,1.2137895318670047
2018-04-06,1.0638399320767238,1.0586370795690654,1.0504336725302093,1.0380020388832565,1.2098357227154801
2018-04-09,1.0641166051570745,1.0589123995424434,1.0507068590417512,1.0382719922971573,1.2170561550450902
2018-04-10,1.0678684192849939,1.0626458649179282,1.054411393694204,1.041932684659672,1.2203725743082077
2018-04-11,1.0715325968186933,1.0662921222977635,1.0580293961280973,1.0455078688919328,1.2171258695641347
2018-04-12,1.0845612660329997,1.0792570730500635,1.0708938811303188,1.0582201057619907,1.2163739486801548
2018-04-13,1.0873749238889057,1.082056970333171,1.0736720819345067,1.060965427217869,1.2225287447900846
2018-04-16,1.1051806248895146,1.0997755901542638,1.091253399696788,1.0783386742497776,1.2237338100478539
2018-04-17,1.109565224902964,1.104138746690657,1.0955827460165042,1.0826167837815033,1.2218813956846712
