,성장형,중립형,안정형
2003-11-30,12614629.907584015,12614580.296129093,12557239.416416984
2003-12-31,13110817.741163194,13041956.693375695,12895906.338124095
2004-01-31,13078346.171995088,13022458.876223832,12892547.199165076
2004-02-29,13292208.668742776,13208297.385669397,13040748.021623747
2004-03-31,13306305.486790942,13228637.513551202,13066839.12764066
2004-04-30,13007247.832714282,12983991.490149768,12896131.403800676
2004-05-31,12764458.897606937,12791099.719985057,12762959.94605048
2004-06-30,12707217.674674757,12751135.004985027,12743998.045345835
2004-07-31,12749346.51895854,12794451.961608542,12787454.091171056
2004-08-31,13034085.003079135,13043858.1043925,12983019.714474222
2004-09-30,13375254.20701981,13335502.445118707,13209402.454602946
2004-10-31,13270802.250033928,13255335.543996725,13159944.744627606
2004-11-30,13136173.654041935,13146637.025312398,13089058.490728894
2004-12-31,13185945.413744843,13194037.505785983,13134334.264311498
2005-01-31,12837518.380611999,12905904.86410293,12928422.195803754
2005-02-28,12802488.43881098,12878431.266459268,12916037.5720152
2005-03-31,12671470.213402774,12776206.071624605,12849928.297312867
2005-04-30,12459282.463519067,12606978.866026264,12732982.144764008
2005-05-31,12718966.686253814,12831725.518079014,12911127.50295849
2005-06-30,13302075.681516405,13327422.72036925,13291086.55436175
2005-07-31,13345408.33528196,13364677.161372913,13328654.212221341
2005-08-31,13538997.567419562,13534100.994798992,13464968.074819712
2005-09-30,14034630.15010486,13953196.1786691,13787735.9382735
2005-10-31,13586944.037323233,13585100.082415517,13522806.298516043
2005-11-30,14042892.750951398,13971556.279579878,13822235.661470652
2005-12-31,14217082.757207721,14124660.690310832,13947839.927974604
2006-01-31,14238496.333175572,14148526.907194331,13977261.348532818
2006-02-28,14513075.063097212,14385647.906678436,14164064.586651476
2006-03-31,14681761.505107675,14530735.650604928,14284565.604132999
2006-04-30,14900832.659848206,14719841.659988966,14436382.691947546
2006-05-31,14860185.315764291,14698976.42583552,14432145.459283723
2006-06-30,14769607.180654593,14630591.059019312,14394125.093462968
2006-07-31,14986648.294130836,14821674.40516396,14549024.65926608
2006-08-31,15427545.49750093,15198342.709575336,14842141.175564818
2006-09-30,15498312.084649153,15264636.184088832,14904932.546377586
2006-10-31,15815533.32729308,15537141.041724578,15120934.315318815
2006-11-30,16338546.078824472,15980258.917254727,15461982.847433642
2006-12-31,16849803.62971495,16412602.64434541,15794542.983227063
2007-01-31,17133789.096040886,16653748.843080284,15984454.819017623
2007-02-28,17241269.03374542,16755045.902672295,16071195.829927173
2007-03-31,17491461.647749547,16968969.71892298,16241631.13910033
2007-04-30,18166601.322843283,17527320.91387666,16660100.184185755
2007-05-31,18451660.17964959,17766549.444429792,16848970.486330364
2007-06-30,18076918.16126993,17469529.69220393,16651193.123040725
2007-07-31,18665363.731737375,17961502.609241024,17022293.690839753
2007-08-31,19442731.189503923,18609431.898665756,17505717.008861464
2007-09-30,20065273.606458146,19125438.0193813,17895841.89580633
2007-10-31,20881462.646242715,19800266.44028206,18402109.780617036
2007-11-30,20383200.21612349,19409530.49736941,18139359.78992523
2007-12-31,21160462.988973025,20054345.312579304,18623590.274460465
2008-01-31,20832993.892414343,19819612.261914946,18482066.212858863
