,성장형,중립형,안정형
2003-12-31,15037459.820452899,14678470.763016297,14205610.143339187
2004-01-31,14990960.23143151,14648368.10825026,14195370.198901188
2004-02-29,15237600.316363515,14859839.271796264,14361386.555358645
2004-03-31,15249058.65863455,14878556.281497952,14386878.115867311
2004-04-30,14898901.996838082,14594855.216645261,14190545.853464823
2004-05-31,14751558.783944214,14450518.885028495,14050207.95344971
2004-06-30,14791790.244931847,14489929.329395015,14088526.642438874
2004-07-31,15200207.658737855,14890012.035068253,14477526.183425026
2004-08-31,15589823.372925043,15271676.733574132,14848617.936265409
2004-09-30,15737846.033220189,15416678.646886185,14989602.979909288
2004-10-31,15570685.627519883,15252929.538417025,14830390.07935612
2004-11-30,15391453.203548882,15109490.991977032,14736694.014326729
2004-12-31,15425055.009537201,15143340.148061482,14772760.802905662
2005-01-31,15017702.524098516,14813460.985027457,14542602.442229688
2005-02-28,14974405.75981171,14780165.955398817,14527559.901464099
2005-03-31,14824648.079507213,14666138.109749857,14455963.69782545
2005-04-30,14562388.522553157,14461030.458716912,14317011.567464203
2005-05-31,15139794.770816624,15034417.807245607,14884688.492352676
2005-06-30,15921574.608816722,15810756.251438418,15653295.302047608
2005-07-31,15264343.665646877,15158099.80892757,15007138.732245533
2005-08-31,15987337.988448497,15876061.90060788,15717950.565533092
2005-09-30,15460154.563608363,15352547.811409052,15199650.207049847
2005-10-31,15129657.541033968,15024351.135255156,14874722.075385049
2005-11-30,15564967.073540334,15390971.623182688,15158968.644080263
2005-12-31,15734001.582829438,15539701.595868409,15281829.725445602
2006-01-31,15773305.506609762,15578841.509249818,15323512.248211466
2006-02-28,16069610.681784578,15834339.733822018,15525305.180474473
2006-03-31,16273166.147812974,16008556.785728896,15668773.950073434
2006-04-30,16533906.62376662,16232743.99602177,15847842.399733964
2006-05-31,16546107.883428391,16244723.011569966,15859537.375676313
2006-06-30,16797751.8601703,16491783.331042225,16100739.541322729
2006-07-31,17276922.07784814,16962225.535118878,16560026.887332587
2006-08-31,17920528.16921512,17594108.438123945,17176926.942207158
2006-09-30,17976765.175796248,17649321.096070245,17230830.429000136
2006-10-31,18056142.074267216,17727252.156248443,17306913.632188145
2006-11-30,18589861.143969737,18176016.33753085,17651068.907893967
2006-12-31,18997495.059252657,18519614.729481794,17918048.622913335
2007-01-31,19347065.888008438,18817345.271148685,18153480.299993403
2007-02-28,19483255.61507284,18944197.010136105,18261277.782523617
2007-03-31,19832642.04820481,19242136.942625996,18496923.874752764
2007-04-30,20730394.846403673,19988482.099366166,19060080.98538576
2007-05-31,20172436.586105276,19450492.409309547,18547079.197115563
2007-06-30,19864630.279474445,19153702.073392246,18264073.823813956
2007-07-31,20443856.27544947,19712198.355678104,18796629.738639668
2007-08-31,21241838.31151977,20481621.69574411,19530315.82349596
2007-09-30,20734272.046729676,19992220.53994514,19063645.787347216
2007-10-31,20870523.698522396,20123595.92970721,19188919.21010657
2007-11-30,20633582.16702699,19950672.152421,19086780.73716892
2007-12-31,21239538.758664824,20453232.384001825,19468238.18445608
2008-01-31,20981348.249899827,20270620.349072114,19360270.688219376
2008-02-29,21292574.617571183,20540344.904530853,19574844.7679028
2008-03-31,21447652.66478187,20684065.90979866,19699125.38089085
2008-04-30,21915447.669972766,21072797.613056026,19998002.052541673
2008-05-31,21824970.964890562,20985799.741800778,19915441.414895188
2008-06-30,22802762.331817355,21925994.981858466,20807682.999791082
2008-07-31,21952877.617258463,21108788.37700011,20032157.145967916
2008-08-31,24282286.130179048,23348631.01631619,22157759.00106576
2008-09-30,27294827.126196332,26245339.660652332,24906724.11138214
2008-10-31,28368006.88170636,27277255.600990497,25886008.28009392
2008-11-30,32177402.874034025,30389761.672720503,28132444.87053047
2008-12-31,30561100.662706345,29119357.123653352,27258727.301846176
2009-01-31,32339087.65717834,30572575.070633166,28317701.361833528
2009-02-28,33585550.09316093,31589141.5680073,29056818.80450807
2009-03-31,32373905.97804384,30616384.86796234,28378011.153676484
2009-04-30,31611385.045685988,29993089.460280582,27948261.39762887
2009-05-31,29775855.89596861,28251527.36438187,26325433.153781652
2009-06-30,30587930.354928497,29022028.937178876,27043404.518229865
2009-07-31,29524897.59132272,28013416.478978835,26103555.868493065
2009-08-31,30820695.10037839,29242877.65429103,27249196.51186078
2009-09-30,29731163.48208901,28209122.908969697,26285919.691660557
2009-10-31,29125878.248941056,27634824.30988725,25750774.841420837
2009-11-30,30361840.679661587,28627387.839599382,26459557.540571935
2009-12-31,30198543.802438263,28500720.996773288,26385825.63392839
2010-01-31,29395334.085476413,27876989.90592908,25965374.995741397
2010-02-28,29865582.694794998,28260486.691907667,26247564.841447044
2010-03-31,30431871.665025227,28719577.794235844,26584579.301249824
2010-04-30,30524171.474888712,28805366.171065755,26659905.09479055
2010-05-31,34588154.981476404,32640508.203233134,30209400.76845869
2010-06-30,37400741.57344963,35294719.03861222,32665922.53431802
2010-07-31,35867903.80229717,33848194.82041317,31327137.31820647
2010-08-31,39403807.00090069,37184992.56003433,34415406.029338785
2010-09-30,36554290.98017749,34495931.778981656,31926629.98701239
2010-10-31,34427440.84508944,32488843.82304508,30069032.54824369
2010-11-30,34778394.86091386,32774840.967261426,30283316.53676385
2010-12-31,35159643.2083952,33080097.11047499,30512565.168456957
2011-01-31,34098545.82064233,32249309.3943749,29951613.820549056
2011-02-28,34861427.03744672,32865643.700643748,30396213.081692815
2011-03-31,35132774.83394046,33093766.08927483,30574919.634300288
2011-04-30,35431184.1841201,33346275.8667821,30770125.716792412
2011-05-31,36973146.443564914,34797503.085505955,32109239.090116557
2011-06-30,35722283.84723124,33620246.09652062,31022930.5111086
2011-07-31,36869010.22266843,34699494.64379842,32018802.242394917
2011-08-31,40813117.490892805,38411515.34090334,35444052.60527077
2011-09-30,51284047.397543386,48266295.11440586,44537506.21170606
2011-10-31,46444713.61306367,43711726.50190588,40334798.55846594
2011-11-30,46676732.48438832,43928097.04669288,40511753.64081137
2011-12-31,46081130.69865215,43481983.7028947,40232655.29987636
2012-01-31,47800253.83102037,44850967.86978788,41212127.593192026
2012-02-29,48544117.06302951,45449488.520726025,41654426.78595662
2012-03-31,47950288.21103473,44993407.3198639,41368624.050488405
